Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Danny Murphy,eng ENG,MF,36,36,7.0,7.0,2002-2003,/en/players/03a97c40/Danny-Murphy,03a97c40,Liverpool,"3,163",35.1,7.0,0.0,123,6.0,6260.0,Liverpool
,Sami Hyypiä,fi FIN,DF,36,36,2.0,3.0,2002-2003,/en/players/087b932d/Sami-Hyypia,087b932d,Liverpool,"3,154",35.0,1.0,1.0,123,83.0,6261.0,Liverpool
,Jamie Carragher,eng ENG,"DF,MF",35,34,2.0,0.0,2002-2003,/en/players/d0ebce19/Jamie-Carragher,d0ebce19,Liverpool,"3,011",33.5,3.0,0.0,123,6.0,6262.0,Liverpool
,Steven Gerrard,eng ENG,MF,34,32,7.0,5.0,2002-2003,/en/players/caeb5442/Steven-Gerrard,caeb5442,Liverpool,"2,864",31.8,5.0,1.0,123,6.0,6263.0,Liverpool
,Michael Owen,eng ENG,FW,35,32,5.0,19.0,2002-2003,/en/players/88b3f52c/Michael-Owen,88b3f52c,Liverpool,"2,836",31.5,0.0,0.0,123,6.0,32.0,Liverpool
,John Arne Riise,no NOR,"DF,MF",37,31,5.0,6.0,2002-2003,/en/players/9bf988c2/John-Arne-Riise,9bf988c2,Liverpool,"2,899",32.2,1.0,0.0,123,21.0,6264.0,Liverpool
,Jerzy Dudek,pl POL,GK,30,30,0.0,0.0,2002-2003,/en/players/1064659d/Jerzy-Dudek,1064659d,Liverpool,"2,700",30.0,0.0,0.0,123,14.0,69.0,Liverpool
,Djimi Traoré,ml MLI,DF,32,30,0.0,0.0,2002-2003,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Liverpool,"2,674",29.7,4.0,0.0,123,12.0,6265.0,Liverpool
,Dietmar Hamann,de GER,MF,30,29,2.0,2.0,2002-2003,/en/players/01c05efb/Dietmar-Hamann,01c05efb,Liverpool,"2,547",28.3,7.0,0.0,123,13.0,6266.0,Liverpool
,Emile Heskey,eng ENG,FW,32,22,3.0,6.0,2002-2003,/en/players/30184789/Emile-Heskey,30184789,Liverpool,"2,057",22.9,3.0,0.0,123,6.0,6267.0,Liverpool
,El Hadji Diouf,sn SEN,"FW,MF",29,21,2.0,3.0,2002-2003,/en/players/1a4542c8/El-Hadji-Diouf,1a4542c8,Liverpool,"1,881",20.9,6.0,0.0,123,34.0,6268.0,Liverpool
,Stéphane Henchoz,ch SUI,DF,19,19,0.0,0.0,2002-2003,/en/players/17476497/Stephane-Henchoz,17476497,Liverpool,"1,615",17.9,3.0,0.0,123,39.0,6269.0,Liverpool
,Milan Baroš,cz CZE,FW,27,17,2.0,9.0,2002-2003,/en/players/f3a9a99b/Milan-Baros,f3a9a99b,Liverpool,"1,537",17.1,3.0,0.0,123,84.0,6270.0,Liverpool
,Salif Diao,sn SEN,MF,26,13,1.0,1.0,2002-2003,/en/players/acc326da/Salif-Diao,cc326da,Liverpool,"1,222",13.6,3.0,1.0,123,34.0,6271.0,Liverpool
