2014-2015,Livorno
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Luca Mazzoni,it ITA,GK,41,41,0,0,"3,690",41.0,3,1,/en/players/e72469d8/Luca-Mazzoni,72469d8,Luca-Mazzoni
Emerson,br BRA,"DF,MF",35,35,4,2,"3,028",33.6,12,3,/en/players/3f718f87/Emerson,3f718f87,Emerso
Daniele Vantaggiato,it ITA,"FW,MF",40,34,6,15,"3,110",34.6,5,0,/en/players/49579375/Daniele-Vantaggiato,49579375,Daniele-Vantaggiato
Alessandro Bernardini,it ITA,DF,35,34,1,1,"2,979",33.1,10,1,/en/players/0936ba4d/Alessandro-Bernardini,0936ba4d,Alessandro-Bernardini
Marco Moscati,it ITA,MF,36,31,3,0,"2,723",30.3,4,0,/en/players/bfae3a5a/Marco-Moscati,bfae3a5a,Marco-Moscati
Alessandro Lambrughi,it ITA,DF,32,31,0,0,"2,704",30.0,8,1,/en/players/8a66708d/Alessandro-Lambrughi,8a66708d,Alessandro-Lambrughi
Damjan Đoković,hr CRO,MF,33,29,1,1,"2,506",27.8,10,1,/en/players/0ac893aa/Damjan-Djokovic,0ac893aa,Damjan-Djokovic
Federico Ceccherini,it ITA,DF,27,27,0,1,"2,191",24.3,11,3,/en/players/d9624b51/Federico-Ceccherini,d9624b51,Federico-Ceccherini
Luca Siligardi,it ITA,"FW,MF",31,27,9,10,"2,114",23.5,3,0,/en/players/1cac99dc/Luca-Siligardi,1cac99dc,Luca-Siligardi
Andrea Luci,it ITA,MF,28,21,0,3,"1,791",19.9,11,0,/en/players/b050aa68/Andrea-Luci,b050aa68,Andrea-Luci
Marco Biagianti,it ITA,MF,26,20,2,0,"1,961",21.8,7,0,/en/players/5e6f51b1/Marco-Biagianti,5e6f51b1,Marco-Biagianti
Enej Jelenič,si SVN,"FW,MF",32,20,3,4,"1,915",21.3,6,1,/en/players/f796341a/Enej-Jelenic,f796341a,Enej-Jelenic
Maicon da Silva,br BRA,"DF,MF",22,19,0,2,"1,690",18.8,6,0,/en/players/052c649e/Maicon-da-Silva,052c649e,Maicon-da-Silv
Giuseppe Gemiti,de GER,"DF,MF",29,17,0,0,"1,761",19.6,1,0,/en/players/dd67558e/Giuseppe-Gemiti,dd67558e,Giuseppe-Gemiti
Aniello Cutolo,it ITA,FW,21,16,3,6,"1,320",14.7,1,0,/en/players/90b3e70d/Aniello-Cutolo,90b3e70d,Aniello-Cutolo
Gabriel,br BRA,MF,17,15,1,1,"1,409",15.7,2,0,/en/players/0d10333c/Gabriel,0d10333c,Gabri
Jonny Mosquera,co COL,MF,14,13,1,0,"1,081",12.0,6,0,/en/players/fcc1ac2d/Jonny-Mosquera,fcc1ac2d,Jonny-Mosqu
Andrey Galabinov,bg BUL,FW,29,12,1,6,"1,387",15.4,3,0,/en/players/0a1efd3c/Andrey-Galabinov,0a1efd3c,Andrey-Galabinov
Lorenzo Gonnelli,it ITA,DF,13,7,0,1,712,7.9,2,2,/en/players/bbecb498/Lorenzo-Gonnelli,bbecb498,Lorenzo-Gonnelli
Luca Belingheri,it ITA,MF,15,5,0,0,500,5.6,2,0,/en/players/55add253/Luca-Belingheri,55add253,Luca-Belingheri
Jefferson,br BRA,FW,15,3,0,2,344,3.8,0,0,/en/players/0390efc9/Jefferson,0390efc9,Jefferso
Juan Surraco,uy URU,MF,4,2,0,0,145,1.6,2,0,/en/players/220870f9/Juan-Surraco,220870f9,Juan-Surraco
Matteo Cipriani,,,1,1,0,0,90,1.0,0,0,No detected,,
Antonio Meola,it ITA,DF,1,1,1,0,90,1.0,0,0,/en/players/934a1264/Antonio-Meola,934a1264,Antonio-Meo
Rodney Strasser,sl SLE,MF,2,1,0,0,61,0.7,0,0,/en/players/83eff74e/Rodney-Strasser,83eff74e,Rodney-St
Emanuel Rivas,ar ARG,MF,2,0,0,0,39,0.4,0,0,/en/players/ba306a1a/Emanuel-Rivas,ba306a1a,Emanuel-Riv
Alan Empereur,br BRA,DF,1,0,0,0,8,0.1,0,0,/en/players/825b8997/Alan-Empereur,825b8997,Alan-Empereu
Daniele Bartolini,it ITA,MF,0,0,,,,,,,/en/players/0a2ac435/Daniele-Bartolini,0a2ac435,Daniele-Bartolini
Elia Bastianoni,it ITA,GK,0,0,,,,,,,/en/players/a44033c4/Elia-Bastianoni,44033c4,Elia-Bastianoni
Matteo Cipriani,it ITA,GK,0,0,,,,,,,/en/players/6b721baa/Matteo-Cipriani,6b721baa,Matteo-Cipriani
Achille Coser,it ITA,GK,0,0,,,,,,,/en/players/6cf27771/Achille-Coser,6cf27771,Achille-Co
Andrea Favilli,it ITA,FW,0,0,,,,,,,/en/players/44510fde/Andrea-Favilli,44510fde,Andrea-Favilli
Manuele Macera,it ITA,DF,0,0,,,,,,,/en/players/1843613a/Manuele-Macera,1843613a,Manuele-Mac
Andrea Molinelli,it ITA,MF,0,0,,,,,,,/en/players/75f59873/Andrea-Molinelli,75f59873,Andrea-Molinelli
Guido Pulidori,it ITA,GK,0,0,,,,,,,/en/players/12b562d5/Guido-Pulidori,12b562d5,Guido-Pulidori
Jami Rafati,it ITA,MF,0,0,,,,,,,/en/players/862b9534/Jami-Rafati,862b9534,Jami-Rafati
Lorenzo Remedi,it ITA,MF,0,0,,,,,,,/en/players/527568af/Lorenzo-Remedi,527568af,Lorenzo-Remedi
Giacomo Ricci,it ITA,DF,0,0,,,,,,,/en/players/cfb38237/Giacomo-Ricci,cfb38237,Giacomo-Ricci
