2015-2016,Lorient
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Benjamin Lecomte,fr FRA,GK,37,37,0,0,"3,241",36.0,0,1,/en/players/2fa2a875/Benjamin-Lecomte,2fa2a875,Benjamin-Lecomt
Didier Ibrahim Ndong,ga GAB,MF,34,34,1,2,"3,055",33.9,11,0,/en/players/885b7aa7/Didier-Ibrahim-Ndong,885b7aa7,Didier-Ibrahim-Ndong
Lamine Gassama,sn SEN,DF,31,31,1,0,"2,706",30.1,6,2,/en/players/2361ce33/Lamine-Gassama,2361ce33,Lamine-Gassam
Zargo Touré,sn SEN,DF,29,29,0,4,"2,556",28.4,1,0,/en/players/a32d6732/Zargo-Toure,32d6732,Zargo-Tou
Raphaël Guerreiro,pt POR,"DF,MF",34,27,2,3,"2,506",27.8,3,0,/en/players/048a1cbc/Raphael-Guerreiro,048a1cbc,Raphael-Guerreiro
François Bellugou,fr FRA,"MF,DF",33,27,1,0,"2,298",25.5,6,1,/en/players/2174bc8d/Francois-Bellugou,2174bc8d,Francois-Bellugou
Benjamin Moukandjo,cm CMR,FW,31,26,1,13,"2,225",24.7,3,0,/en/players/e0312377/Benjamin-Moukandjo,0312377,Benjamin-Moukandjo
Walid Mesloub,dz ALG,MF,29,23,4,1,"2,120",23.6,3,0,/en/players/6565c9ef/Walid-Mesloub,6565c9ef,Walid-Mesloub
Yann Jouffre,fr FRA,MF,27,21,5,2,"1,775",19.7,3,0,/en/players/5d66c10d/Yann-Jouffre,5d66c10d,Yann-Jouff
Abdul Majeed Waris,gh GHA,FW,21,20,3,11,"1,651",18.3,1,1,/en/players/46907171/Abdul-Majeed-Waris,46907171,Abdul-Majeed-Wari
Vincent Le Goff,fr FRA,DF,27,19,0,0,"1,785",19.8,4,0,/en/players/2321ea6e/Vincent-Le-Goff,2321ea6e,Vincent-Le-Goff
Benjamin Jeannot,fr FRA,FW,29,19,1,7,"1,781",19.8,4,0,/en/players/2e52206e/Benjamin-Jeannot,2e52206e,Benjamin-Jeannot
Lamine Koné,ci CIV,DF,18,17,0,0,"1,552",17.2,4,1,/en/players/a46472d0/Lamine-Kone,46472d0,Lamine-Ko
Romain Philippoteaux,fr FRA,"MF,FW",31,16,3,0,"1,427",15.9,3,0,/en/players/f98b15f0/Romain-Philippoteaux,f98b15f0,Romain-Philippoteaux
Maxime Barthelmé,fr FRA,MF,24,16,5,0,"1,261",14.0,1,0,/en/players/9b8b52d3/Maxime-Barthelme,9b8b52d3,Maxime-Barthelm
Wesley Lautoa,nc NCL,DF,13,11,0,0,"1,009",11.2,1,0,/en/players/6e5b5a45/Wesley-Lautoa,6e5b5a45,Wesley-Lauto
Lindsay Rose,mu MRI,"DF,MF",10,10,0,0,900,10.0,1,0,/en/players/6ee683f5/Lindsay-Rose,6ee683f5,Lindsay-Ro
Jimmy Cabot,fr FRA,"MF,FW",13,8,3,1,746,8.3,1,0,/en/players/46359159/Jimmy-Cabot,46359159,Jimmy-Cabot
Pape Paye,fr FRA,"DF,MF",10,8,0,0,685,7.6,1,0,/en/players/91cad9fd/Pape-Paye,91cad9fd,Pape-P
Rafidine Abdullah,km COM,MF,12,6,0,1,579,6.4,6,1,/en/players/4d9ee090/Rafidine-Abdullah,4d9ee090,Rafidine-Abdullah
Hamadou Karamoko,ci CIV,DF,3,3,0,0,270,3.0,0,0,/en/players/46c21294/Hamadou-Karamoko,46c21294,Hamadou-Karamoko
Denis Bouanga,ga GAB,"FW,MF",4,3,0,1,194,2.2,0,0,/en/players/0b0cbe5b/Denis-Bouanga,0b0cbe5b,Denis-Bouang
Yrondu Musavu-King,ga GAB,DF,3,2,0,0,187,2.1,0,0,/en/players/c9cfd7e8/Yrondu-Musavu-King,c9cfd7e8,Yrondu-Musavu-King
Florent Chaigneau,fr FRA,GK,2,1,0,0,178,2.0,0,0,/en/players/e3a4b82d/Florent-Chaigneau,3a4b82d,Florent-Chaigneau
Valentin Lavigne,fr FRA,FW,6,1,0,0,155,1.7,0,0,/en/players/b61da2b5/Valentin-Lavigne,b61da2b5,Valentin-Lavig
Rémi Mulumba,cd COD,MF,6,1,0,0,154,1.7,1,0,/en/players/05099e0e/Remi-Mulumba,05099e0e,Remi-Mulumb
Erwin Koffi,fr FRA,FW,1,1,0,0,90,1.0,0,0,/en/players/b4d4fc0d/Erwin-Koffi,b4d4fc0d,Erwin-Koffi
Mehdi Mostefa,dz ALG,MF,1,1,0,0,90,1.0,0,0,/en/players/b2a138bc/Mehdi-Mostefa,b2a138bc,Mehdi-Mostef
Moryké Fofana,ci CIV,"FW,MF",6,0,0,0,120,1.3,1,0,/en/players/d4f8f243/Moryke-Fofana,d4f8f243,Moryke-Fof
Marvin Gakpa,fr FRA,"FW,MF",3,0,0,0,44,0.5,0,0,/en/players/c1b16364/Marvin-Gakpa,c1b16364,Marvin-Gak
Alain Traoré,bf BFA,"FW,MF",3,0,0,0,34,0.4,0,0,/en/players/8c7ae73d/Alain-Traore,8c7ae73d,Alain-Trao
Anthony Lamonge,fr FRA,GK,0,0,,,,,,,/en/players/c7a735bc/Anthony-Lamonge,c7a735bc,Anthony-Lamong
Bradley Mazikou,cg CGO,DF,0,0,,,,,,,/en/players/d1562e2e/Bradley-Mazikou,d1562e2e,Bradley-Mazikou
Ibrahima Sy,sn SEN,GK,0,0,,,,,,,/en/players/0bf12110/Ibrahima-Sy,0bf12110,Ibrahima-S
