2017-2018,Lyon
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Lucas Tousart,fr FRA,MF,37,37,0,0,"3,132",34.8,8,0,/en/players/71ec39ef/Lucas-Tousart,71ec39ef,Lucas-Tousart
Marcelo,br BRA,DF,35,35,1,3,"3,105",34.5,5,1,/en/players/e3d0b0c4/Marcelo,3d0b0c4,Marcelo
Anthony Lopes,pt POR,GK,34,34,0,0,"3,060",34.0,1,0,/en/players/f00de885/Anthony-Lopes,f00de885,Anthony-Lo
Jérémy Morel,mg MAD,DF,33,32,0,0,"2,916",32.4,4,0,/en/players/e97150c0/Jeremy-Morel,97150c0,Jeremy-Mo
Mariano,do DOM,FW,34,30,4,18,"2,507",27.9,6,0,/en/players/5c4dc0ff/Mariano,5c4dc0ff,Mariano
Memphis Depay,nl NED,"MF,FW",36,28,13,19,"2,555",28.4,2,0,/en/players/8f696594/Memphis-Depay,8f696594,Memphis-D
Nabil Fekir,fr FRA,"MF,FW",30,28,8,18,"2,477",27.5,8,0,/en/players/bece776f/Nabil-Fekir,bece776f,Nabil-Feki
Tanguy Ndombele,fr FRA,MF,32,28,6,0,"2,352",26.1,5,0,/en/players/5cdddffa/Tanguy-Ndombele,5cdddffa,Tanguy-Ndomb
Houssem Aouar,fr FRA,MF,32,27,5,6,"2,433",27.0,1,0,/en/players/a5db0bec/Houssem-Aouar,5db0bec,Houssem-Aou
Bertrand Traoré,bf BFA,"FW,MF",31,27,4,13,"2,284",25.4,3,0,/en/players/c47541e0/Bertrand-Traore,c47541e0,Bertrand-Trao
Ferland Mendy,fr FRA,DF,27,24,5,0,"2,122",23.6,4,0,/en/players/3cefcaef/Ferland-Mendy,3cefcaef,Ferland-Mend
Rafael,br BRA,DF,24,22,2,1,"1,812",20.1,9,0,/en/players/9a1f2e1c/Rafael,9a1f2e1c,Raf
Kenny Tete,nl NED,DF,22,16,4,1,"1,608",17.9,3,0,/en/players/77d7c96f/Kenny-Tete,77d7c96f,Kenny-Tet
Fernando Marçal,br BRA,DF,18,14,3,0,"1,295",14.4,1,0,/en/players/9ae9eaea/Fernando-Marcal,9ae9eaea,Fernando-Marc
Maxwel Cornet,ci CIV,"MF,FW",30,13,6,4,"1,272",14.1,1,0,/en/players/beb391dd/Maxwel-Cornet,beb391dd,Maxwel-Cornet
Mouctar Diakhaby,gn GUI,DF,12,8,0,1,728,8.1,2,0,/en/players/d2110326/Mouctar-Diakhaby,d2110326,Mouctar-Diakhab
Jordan Ferri,fr FRA,MF,24,4,1,0,638,7.1,4,0,/en/players/375622c5/Jordan-Ferri,375622c5,Jordan-Ferri
Mathieu Gorgelin,fr FRA,GK,4,4,0,0,360,4.0,0,0,/en/players/4d3e9033/Mathieu-Gorgelin,4d3e9033,Mathieu-Gorgeli
Sergi Darder,es ESP,MF,3,3,0,0,209,2.3,2,1,/en/players/070a3904/Sergi-Darder,070a3904,Sergi-Dard
Myziane Maolida,fr FRA,"FW,MF",13,2,0,1,331,3.7,0,0,/en/players/706a60e1/Myziane-Maolida,706a60e1,Myziane-Maolid
Mapou Yanga-Mbiwa,fr FRA,DF,2,1,0,0,128,1.4,1,0,/en/players/20573d10/Mapou-Yanga-Mbiwa,20573d10,Mapou-Yanga-Mbiw
Christopher Martins,lu LUX,MF,2,1,0,0,69,0.8,1,0,/en/players/0e96a5e1/Christopher-Martins,0e96a5e1,Christopher-Marti
Amine Gouiri,fr FRA,"FW,MF",7,0,0,0,83,0.9,0,0,/en/players/aad56ca3/Amine-Gouiri,d56ca3,Amine-Gouiri
Willem Geubbels,fr FRA,MF,2,0,0,0,33,0.4,0,0,/en/players/9836e892/Willem-Geubbels,9836e892,Willem-Geubb
Pape Cheikh Diop,sn SEN,MF,1,0,0,0,10,0.1,0,0,/en/players/873ce3a2/Pape-Cheikh-Diop,873ce3a2,Pape-Cheikh-Dio
Clément Grenier,fr FRA,MF,1,0,0,0,5,0.1,0,0,/en/players/8b298f56/Clement-Grenier,8b298f56,Clement-Greni
Dorian Grange,fr FRA,GK,0,0,,,,,,,/en/players/db6b062f/Dorian-Grange,db6b062f,Dorian-Grang
Dylan Mboumbouni,cf CTA,DF,0,0,,,,,,,/en/players/218bfaa2/Dylan-Mboumbouni,218bfaa2,Dylan-Mboumbouni
Elisha Owusu,gh GHA,MF,0,0,,,,,,,/en/players/e2781082/Elisha-Owusu,2781082,Elisha-Owusu
Anthony Racioppi,ch SUI,GK,0,0,,,,,,,/en/players/abc06eb3/Anthony-Racioppi,bc06eb3,Anthony-Racioppi
Oumar Solet,fr FRA,DF,0,0,,,,,,,/en/players/0670ee51/Oumar-Solet,0670ee51,Oumar-Solet
