Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Dirk Langerbein,de GER,GK,34,34.0,0.0,0.0,2003-2004,/en/players/e2e26bd4/Dirk-Langerbein,2e26bd4,MSV-Duisburg,"3,060",34.0,3.0,0.0,23,13.0,17757,MSV-Duisburg
,Carsten Wolters,de GER,"DF,MF",33,33.0,0.0,0.0,2003-2004,/en/players/1004e227/Carsten-Wolters,1004e227,MSV-Duisburg,"2,911",32.3,8.0,0.0,23,13.0,18363,MSV-Duisburg
,Rob Maas,nl NED,"DF,MF",33,33.0,0.0,0.0,2003-2004,/en/players/65007930/Rob-Maas,65007930,MSV-Duisburg,"2,745",30.5,9.0,0.0,23,11.0,15990,MSV-Duisburg
,Alexander Bugera,de GER,DF,33,32.0,6.0,9.0,2003-2004,/en/players/497859aa/Alexander-Bugera,497859aa,MSV-Duisburg,"2,872",31.9,6.0,0.0,23,13.0,17354,MSV-Duisburg
,Pavel Drsek,cz CZE,DF,32,31.0,0.0,4.0,2003-2004,/en/players/90d497ff/Pavel-Drsek,90d497ff,MSV-Duisburg,"2,761",30.7,2.0,0.0,23,84.0,16540,MSV-Duisburg
,Ralf Keidel,de GER,MF,30,25.0,0.0,1.0,2003-2004,/en/players/3f39a234/Ralf-Keidel,3f39a234,MSV-Duisburg,"2,211",24.6,12.0,0.0,23,13.0,18364,MSV-Duisburg
,Abdelaziz Ahanfouf,ma MAR,FW,30,22.0,0.0,14.0,2003-2004,/en/players/fcdc023f/Abdelaziz-Ahanfouf,fcdc023f,MSV-Duisburg,"2,059",22.9,2.0,1.0,23,26.0,17605,MSV-Duisburg
,Markus Kurth,de GER,FW,26,22.0,2.0,11.0,2003-2004,/en/players/13b09154/Markus-Kurth,13b09154,MSV-Duisburg,"1,910",21.2,2.0,0.0,23,13.0,18365,MSV-Duisburg
,Dietmar Hirsch,de GER,"DF,MF",24,22.0,0.0,1.0,2003-2004,/en/players/3e8f06bb/Dietmar-Hirsch,3e8f06bb,MSV-Duisburg,"1,909",21.2,9.0,0.0,23,13.0,17105,MSV-Duisburg
,Mirosław Spiżak,pl POL,FW,29,20.0,6.0,3.0,2003-2004,/en/players/be791654/Miroslaw-Spizak,be791654,MSV-Duisburg,"1,828",20.3,2.0,0.0,23,14.0,18366,MSV-Duisburg
,Kai Oswald,de GER,DF,21,20.0,0.0,0.0,2003-2004,/en/players/8ee871a3/Kai-Oswald,8ee871a3,MSV-Duisburg,"1,700",18.9,3.0,0.0,23,13.0,16868,MSV-Duisburg
,Rouven Schröder,de GER,DF,19,16.0,0.0,1.0,2003-2004,/en/players/3f4c7046/Rouven-Schroder,3f4c7046,MSV-Duisburg,"1,461",16.2,4.0,0.0,23,13.0,18367,MSV-Duisburg
,Thomas Bælum,dk DEN,DF,16,16.0,0.0,2.0,2003-2004,/en/players/da9a6741/Thomas-Baelum,da9a6741,MSV-Duisburg,"1,440",16.0,4.0,0.0,23,7.0,18368,MSV-Duisburg
,Nasir El Kasmi,ma MAR,MF,22,12.0,0.0,1.0,2003-2004,/en/players/80da3581/Nasir-El-Kasmi,80da3581,MSV-Duisburg,"1,222",13.6,4.0,0.0,23,26.0,18369,MSV-Duisburg
,Andreas Voss,de GER,MF,11,10.0,0.0,1.0,2003-2004,/en/players/21121bde/Andreas-Voss,21121bde,MSV-Duisburg,848,9.4,4.0,0.0,23,13.0,18370,MSV-Duisburg
,Peter Peschel,de GER,MF,14,9.0,0.0,0.0,2003-2004,/en/players/cc0a32c1/Peter-Peschel,cc0a32c1,MSV-Duisburg,726,8.1,1.0,0.0,23,13.0,18371,MSV-Duisburg
,Cacá,br BRA,MF,15,6.0,0.0,0.0,2003-2004,/en/players/155f4ebf/Caca,155f4ebf,MSV-Duisburg,575,6.4,1.0,0.0,23,2.0,18372,MSV-Duisburg
,Benjamin Kruse,de GER,DF,6,6.0,0.0,0.0,2003-2004,/en/players/c4b35666/Benjamin-Kruse,c4b35666,MSV-Duisburg,516,5.7,3.0,0.0,23,13.0,18373,MSV-Duisburg
,Peter Van Houdt,be BEL,FW,13,3.0,0.0,1.0,2003-2004,/en/players/621857b0/Peter-Van-Houdt,621857b0,MSV-Duisburg,385,4.3,2.0,1.0,23,27.0,16998,MSV-Duisburg
,Iliya Gruev,bg BUL,MF,16,2.0,0.0,2.0,2003-2004,/en/players/a247178d/Iliya-Gruev,247178d,MSV-Duisburg,375,4.2,2.0,0.0,23,65.0,18374,MSV-Duisburg
,Steven Tweed,sct SCO,DF,1,0.0,0.0,0.0,2003-2004,/en/players/02c7b072/Steven-Tweed,02c7b072,MSV-Duisburg,45,0.5,0.0,0.0,23,67.0,18375,MSV-Duisburg
,Rafael Kazior,de GER,"FW,MF",4,0.0,0.0,0.0,2003-2004,/en/players/6b4b9261/Rafael-Kazior,6b4b9261,MSV-Duisburg,32,0.4,0.0,0.0,23,13.0,18376,MSV-Duisburg
,Josef Ivanović,de GER,FW,2,0.0,0.0,0.0,2003-2004,/en/players/debb223e/Josef-Ivanovic,debb223e,MSV-Duisburg,23,0.3,0.0,0.0,23,13.0,18377,MSV-Duisburg
,﻿Georg Koch,de GER,GK,33,33.0,0.0,0.0,2004-2005,/en/players/2aeb9841/Georg-Koch,2aeb9841,MSV-Duisburg,"2,970",33.0,5.0,0.0,23,13.0,17311,MSV-Duisburg
,Alexander Bugera,de GER,DF,33,33.0,2.0,3.0,2004-2005,/en/players/497859aa/Alexander-Bugera,497859aa,MSV-Duisburg,"2,962",32.9,6.0,0.0,23,13.0,17354,MSV-Duisburg
,Thomas Bælum,dk DEN,DF,33,33.0,0.0,1.0,2004-2005,/en/players/da9a6741/Thomas-Baelum,da9a6741,MSV-Duisburg,"2,945",32.7,5.0,0.0,23,7.0,18368,MSV-Duisburg
,Markus Kurth,de GER,FW,33,32.0,5.0,11.0,2004-2005,/en/players/13b09154/Markus-Kurth,13b09154,MSV-Duisburg,"2,778",30.9,9.0,0.0,23,13.0,18365,MSV-Duisburg
,Pavel Drsek,cz CZE,DF,32,32.0,1.0,2.0,2004-2005,/en/players/90d497ff/Pavel-Drsek,90d497ff,MSV-Duisburg,"2,718",30.2,3.0,0.0,23,84.0,16540,MSV-Duisburg
,Carsten Wolters,de GER,"DF,MF",32,31.0,0.0,0.0,2004-2005,/en/players/1004e227/Carsten-Wolters,1004e227,MSV-Duisburg,"2,796",31.1,9.0,0.0,23,13.0,18363,MSV-Duisburg
,Ivica Grlić,ba BIH,MF,31,31.0,8.0,3.0,2004-2005,/en/players/7900696d/Ivica-Grlic,7900696d,MSV-Duisburg,"2,772",30.8,8.0,1.0,23,49.0,18378,MSV-Duisburg
,Abdelaziz Ahanfouf,ma MAR,FW,32,31.0,4.0,17.0,2004-2005,/en/players/fcdc023f/Abdelaziz-Ahanfouf,fcdc023f,MSV-Duisburg,"2,655",29.5,9.0,0.0,23,26.0,17605,MSV-Duisburg
,Andreas Voss,de GER,MF,30,29.0,1.0,1.0,2004-2005,/en/players/21121bde/Andreas-Voss,21121bde,MSV-Duisburg,"2,522",28.0,8.0,0.0,23,13.0,18370,MSV-Duisburg
,Peter Van Houdt,be BEL,FW,29,24.0,1.0,6.0,2004-2005,/en/players/621857b0/Peter-Van-Houdt,621857b0,MSV-Duisburg,"1,983",22.0,2.0,0.0,23,27.0,16998,MSV-Duisburg
,Holger Wehlage,de GER,MF,28,20.0,3.0,0.0,2004-2005,/en/players/9d90997b/Holger-Wehlage,9d90997b,MSV-Duisburg,"1,629",18.1,4.0,0.0,23,13.0,16128,MSV-Duisburg
,Dirk Lottner,de GER,"DF,MF",22,20.0,3.0,3.0,2004-2005,/en/players/849bc5be/Dirk-Lottner,849bc5be,MSV-Duisburg,"1,509",16.8,3.0,0.0,23,13.0,18182,MSV-Duisburg
,Alexander Meyer,de GER,DF,14,9.0,1.0,0.0,2004-2005,/en/players/7c0e3a7c/Alexander-Meyer,7c0e3a7c,MSV-Duisburg,856,9.5,1.0,1.0,23,13.0,18379,MSV-Duisburg
,Nasir El Kasmi,ma MAR,MF,25,5.0,2.0,0.0,2004-2005,/en/players/80da3581/Nasir-El-Kasmi,80da3581,MSV-Duisburg,940,10.4,3.0,1.0,23,26.0,18369,MSV-Duisburg
,Markus Anfang,de GER,MF,11,5.0,0.0,1.0,2004-2005,/en/players/6f326dd6/Markus-Anfang,6f326dd6,MSV-Duisburg,618,6.9,0.0,0.0,23,13.0,17307,MSV-Duisburg
,Rob Maas,nl NED,"DF,MF",8,2.0,0.0,0.0,2004-2005,/en/players/65007930/Rob-Maas,65007930,MSV-Duisburg,148,1.6,0.0,0.0,23,11.0,15990,MSV-Duisburg
