2015-2016,Mainz-05
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Loris Karius,de GER,GK,34,34,0,0,"3,060",34.0,1,0,/en/players/32e7ce92/Loris-Karius,32e7ce92,Loris-Kariu
Yunus Mallı,tr TUR,MF,34,33,4,11,"2,778",30.9,0,0,/en/players/f3722c97/Yunus-Malli,f3722c97,Yunus-Malli
Julian Baumgartlinger,at AUT,MF,31,30,1,2,"2,717",30.2,7,0,/en/players/69374ff5/Julian-Baumgartlinger,69374ff5,Julian-Baumgartling
Stefan Bell,de GER,DF,30,29,2,1,"2,635",29.3,3,0,/en/players/857a5abe/Stefan-Bell,857a5abe,Stefan-B
Jairo Samperio,es ESP,MF,31,26,5,7,"2,298",25.5,5,0,/en/players/c0a0c18f/Jairo-Samperio,c0a0c18f,Jairo-Samperio
Daniel Brosinski,de GER,DF,30,24,3,1,"2,248",25.0,3,0,/en/players/a7813ac4/Daniel-Brosinski,7813ac4,Daniel-Brosinski
Danny Latza,de GER,MF,27,20,2,0,"1,858",20.6,8,0,/en/players/33b554b7/Danny-Latza,33b554b7,Danny-Latz
Niko Bungert,de GER,DF,21,20,0,0,"1,745",19.4,2,0,/en/players/0e0ab524/Niko-Bungert,0e0ab524,Niko-Bungert
Christian Clemens,de GER,MF,28,20,3,5,"1,718",19.1,1,0,/en/players/612cb8d3/Christian-Clemens,612cb8d3,Christian-Clem
Pablo de Blasis,ar ARG,MF,26,18,4,4,"1,643",18.3,1,0,/en/players/9ab48bde/Pablo-de-Blasis,9ab48bde,Pablo-de-Blasi
Yoshinori Mutō,jp JPN,FW,20,18,2,7,"1,487",16.5,2,0,/en/players/5343eb4e/Yoshinori-Muto,5343eb4e,Yoshinori-Muto
Leon Balogun,ng NGA,DF,21,17,0,1,"1,513",16.8,4,0,/en/players/78e68b4d/Leon-Balogun,78e68b4d,Leon-Balogu
Jhon Córdoba,co COL,FW,22,14,2,5,"1,391",15.5,2,0,/en/players/9f381d8b/Jhon-Cordoba,9f381d8b,Jhon-Cordob
Pierre Bengtsson,se SWE,DF,16,14,0,0,"1,273",14.1,1,0,/en/players/d1992a3b/Pierre-Bengtsson,d1992a3b,Pierre-Bengtsso
Gaëtan Bussmann,fr FRA,DF,13,13,0,1,"1,170",13.0,3,0,/en/players/278f6efc/Gaetan-Bussmann,278f6efc,Gaetan-Bussm
Fabian Frei,ch SUI,MF,18,11,2,0,964,10.7,1,0,/en/players/9fb640a8/Fabian-Frei,9fb640a8,Fabian-Frei
Giulio Donati,it ITA,DF,11,11,0,0,933,10.4,4,1,/en/players/22051fbe/Giulio-Donati,22051fbe,Giulio-Donati
Alexander Hack,de GER,DF,7,7,0,0,630,7.0,1,0,/en/players/a5ec3ede/Alexander-Hack,5ec3ede,Alexander-Hack
Gonzalo Jara,cl CHI,"MF,DF",6,5,0,0,444,4.9,1,0,/en/players/9b1b4782/Gonzalo-Jara,9b1b4782,Gonzalo-J
Karim Onisiwo,at AUT,MF,9,3,1,1,336,3.7,1,0,/en/players/f26834c7/Karim-Onisiwo,f26834c7,Karim-Onisiwo
Christoph Moritz,de GER,MF,8,3,0,0,248,2.8,0,0,/en/players/08a41cc9/Christoph-Moritz,08a41cc9,Christoph-Moritz
Suat Serdar,de GER,MF,12,2,0,0,208,2.3,0,0,/en/players/b3325a30/Suat-Serdar,b3325a30,Suat-Serd
Florian Niederlechner,de GER,FW,12,1,0,0,184,2.0,2,0,/en/players/d6862409/Florian-Niederlechner,d6862409,Florian-Niederlech
Park Joo-ho,kr KOR,DF,1,1,0,0,90,1.0,0,0,/en/players/502fd802/Park-Joo-ho,502fd802,Park-Joo-ho
Philipp Klement,de GER,MF,2,0,0,0,30,0.3,0,0,/en/players/0cddeaa7/Philipp-Klement,0cddeaa7,Philipp-Klement
Koo Ja-cheol,kr KOR,MF,2,0,0,0,18,0.2,0,0,/en/players/3c05e082/Koo-Ja-cheol,3c05e082,Koo-Ja-cheo
Maximilian Beister,de GER,"FW,MF",1,0,0,0,6,0.1,0,0,/en/players/25df5f56/Maximilian-Beister,25df5f56,Maximilian-Beist
Devante Parker,de GER,MF,1,0,0,0,1,0.0,0,0,/en/players/43000fbc/Devante-Parker,43000fbc,Devante-Park
Elkin Soto,co COL,MF,1,0,0,0,1,0.0,0,0,/en/players/47bf23f2/Elkin-Soto,47bf23f2,Elkin-Soto
Gianluca Curci,it ITA,GK,0,0,,,,,,,/en/players/40ca7873/Gianluca-Curci,40ca7873,Gianluca-Curci
Julian Derstroff,de GER,"FW,MF",0,0,,,,,,,/en/players/5325cf2b/Julian-Derstroff,5325cf2b,Julian-Derstroff
Jannik Huth,de GER,GK,0,0,,,,,,,/en/players/e8fd2e5b/Jannik-Huth,8fd2e5b,Jannik-Huth
Todor Nedelev,bg BUL,MF,0,0,,,,,,,/en/players/e0bdd49a/Todor-Nedelev,0bdd49a,Todor-Nedelev
Henrique Sereno,pt POR,DF,0,0,,,,,,,/en/players/70b198d8/Henrique-Sereno,70b198d8,Henrique-Sereno
Daniel Zeaiter,lb LIB,GK,0,0,,,,,,,/en/players/6cdc8fdd/Daniel-Zeaiter,6cdc8fdd,Daniel-Zeait
Robin Zentner,de GER,GK,0,0,,,,,,,/en/players/5c4bf6ba/Robin-Zentner,5c4bf6ba,Robin-Zent
Niki Zimling,dk DEN,MF,0,0,,,,,,,/en/players/80588923/Niki-Zimling,80588923,Niki-Zimling
