,Player,Link,Player_name(param),Player_id(param)
0,﻿Dimo Wache,/en/players/0aba5dbb/Dimo-Wache,Dimo-Wache,0aba5dbb
1,Marco Rose,/en/players/38ca2063/Marco-Rose,Marco-Rose,38ca2063
2,Michael Thurk,/en/players/e06944cd/Michael-Thurk,Michael-Thurk,e06944cd
3,Benjamin Auer,/en/players/9b837fcd/Benjamin-Auer,Benjamin-Auer,9b837fcd
4,Niclas Weiland,/en/players/2c7fa689/Niclas-Weiland,Niclas-Weiland,2c7fa689
5,Tamás Bódog,/en/players/78b4e156/Tamas-Bodog,Tamas-Bodog,78b4e156
6,Antônio da Silva,/en/players/e87b31ae/Antonio-da-Silva,Antonio-da-Silva,e87b31ae
7,Robert Nikolic,/en/players/8d30445e/Robert-Nikolic,Robert-Nikolic,8d30445e
8,Mimoun Azaouagh,/en/players/28b9a134/Mimoun-Azaouagh,Mimoun-Azaouagh,28b9a134
9,Mathias Abel,/en/players/b0157081/Mathias-Abel,Mathias-Abel,b0157081
10,Manuel Friedrich,/en/players/789b80e9/Manuel-Friedrich,Manuel-Friedrich,789b80e9
11,Jürgen Kramny,/en/players/7f240ba3/Jurgen-Kramny,Jurgen-Kramny,7f240ba3
12,Fabian Gerber,/en/players/29c0da5a/Fabian-Gerber,Fabian-Gerber,29c0da5a
13,Christof Babatz,/en/players/853bb174/Christof-Babatz,Christof-Babatz,853bb174
14,Marco Walker,/en/players/d627ffd1/Marco-Walker,Marco-Walker,d627ffd1
15,Sandro Schwarz,/en/players/c09672d6/Sandro-Schwarz,Sandro-Schwarz,c09672d6
16,Christoph Teinert,/en/players/46c0a80e/Christoph-Teinert,Christoph-Teinert,46c0a80e
17,Dennis Weiland,/en/players/19a3abc3/Dennis-Weiland,Dennis-Weiland,19a3abc3
18,Michael Falkenmayer,/en/players/72097cc3/Michael-Falkenmayer,Michael-Falkenmayer,72097cc3
19,Markus Dworrak,/en/players/64041728/Markus-Dworrak,Markus-Dworrak,64041728
20,Rajko Tavčar,/en/players/290cdb30/Rajko-Tavcar,Rajko-Tavcar,290cdb30
21,Spasoje Bulajič,/en/players/fd1826f0/Spasoje-Bulajic,Spasoje-Bulajic,fd1826f0
22,Claudius Weber,/en/players/9a8f231a/Claudius-Weber,Claudius-Weber,9a8f231a
23,Peter Neustädter,/en/players/37c9186e/Peter-Neustadter,Peter-Neustadter,37c9186e
