2003-2004,Mainz-05
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dimo Wache,de GER,GK,34,34,0,0,"3,060",34.0,1,0,/en/players/0aba5dbb/Dimo-Wache,0aba5dbb,Dimo-Wach
Marco Rose,de GER,DF,32,30,0,1,"2,735",30.4,5,0,/en/players/38ca2063/Marco-Rose,38ca2063,Marco-Ro
Michael Thurk,de GER,FW,31,29,5,13,"2,314",25.7,8,0,/en/players/e06944cd/Michael-Thurk,06944cd,Michael-Thurk
Benjamin Auer,de GER,FW,30,28,1,5,"2,429",27.0,2,0,/en/players/9b837fcd/Benjamin-Auer,9b837fcd,Benjamin-Au
Niclas Weiland,de GER,FW,23,23,0,3,"1,897",21.1,7,0,/en/players/2c7fa689/Niclas-Weiland,2c7fa689,Niclas-Weiland
Tamás Bódog,hu HUN,DF,25,22,0,0,"2,057",22.9,10,1,/en/players/78b4e156/Tamas-Bodog,78b4e156,Tamas-Bodog
Antônio da Silva,br BRA,MF,25,20,7,5,"1,852",20.6,3,0,/en/players/e87b31ae/Antonio-da-Silva,87b31ae,Antonio-da-Silv
Robert Nikolic,de GER,DF,22,20,0,0,"1,782",19.8,5,1,/en/players/8d30445e/Robert-Nikolic,8d30445e,Robert-Nikolic
Mimoun Azaouagh,de GER,MF,24,18,0,1,"1,604",17.8,5,0,/en/players/28b9a134/Mimoun-Azaouagh,28b9a134,Mimoun-Azaouagh
Mathias Abel,de GER,DF,18,18,0,0,"1,528",17.0,1,0,/en/players/b0157081/Mathias-Abel,b0157081,Mathias-Ab
Manuel Friedrich,de GER,DF,17,17,0,4,"1,530",17.0,2,0,/en/players/789b80e9/Manuel-Friedrich,789b80e9,Manuel-Friedrich
Jürgen Kramny,de GER,MF,29,16,6,3,"1,544",17.2,1,0,/en/players/7f240ba3/Jurgen-Kramny,7f240ba3,Jurgen-Kram
Fabian Gerber,ch SUI,MF,25,15,0,3,"1,440",16.0,0,0,/en/players/29c0da5a/Fabian-Gerber,29c0da5a,Fabian-Gerb
Christof Babatz,de GER,MF,20,15,0,3,"1,411",15.7,5,0,/en/players/853bb174/Christof-Babatz,853bb174,Christof-Babatz
Marco Walker,ch SUI,DF,17,15,0,0,"1,228",13.6,6,0,/en/players/d627ffd1/Marco-Walker,d627ffd1,Marco-Walk
Sandro Schwarz,de GER,MF,22,13,0,0,"1,211",13.5,2,0,/en/players/c09672d6/Sandro-Schwarz,c09672d6,Sandro-Schwarz
Christoph Teinert,de GER,FW,26,9,0,4,"1,025",11.4,4,1,/en/players/46c0a80e/Christoph-Teinert,46c0a80e,Christoph-Teinert
Dennis Weiland,de GER,MF,16,9,0,0,767,8.5,3,1,/en/players/19a3abc3/Dennis-Weiland,19a3abc3,Dennis-Weiland
Michael Falkenmayer,de GER,MF,8,8,0,0,680,7.6,0,0,/en/players/72097cc3/Michael-Falkenmayer,72097cc3,Michael-Falkenm
Markus Dworrak,de GER,"FW,MF",9,8,0,1,602,6.7,3,0,/en/players/64041728/Markus-Dworrak,64041728,Markus-Dworrak
Rajko Tavčar,si SVN,"DF,MF",7,4,0,0,381,4.2,2,0,/en/players/290cdb30/Rajko-Tavcar,290cdb30,Rajko-Tavc
Spasoje Bulajič,si SVN,DF,2,2,0,0,144,1.6,1,1,/en/players/fd1826f0/Spasoje-Bulajic,fd1826f0,Spasoje-Bulajic
Claudius Weber,de GER,FW,10,1,0,2,266,3.0,0,0,/en/players/9a8f231a/Claudius-Weber,9a8f231a,Claudius-Web
Peter Neustädter,kz KAZ,"DF,FW",1,0,0,0,24,0.3,0,0,/en/players/37c9186e/Peter-Neustadter,37c9186e,Peter-Neustadt
Stefan Kühne,de GER,MF,2,0,0,0,23,0.3,0,0,/en/players/b7dfdf96/Stefan-Kuhne,b7dfdf96,Stefan-Kuh
﻿2004-2005,Mainz-05
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Manuel Friedrich,de GER,DF,33,33,1,1,"2,957",32.9,2,0,/en/players/789b80e9/Manuel-Friedrich,789b80e9,Manuel-Friedrich
Christof Babatz,de GER,MF,34,32,3,4,"2,627",29.2,4,0,/en/players/853bb174/Christof-Babatz,853bb174,Christof-Babatz
Antônio da Silva,br BRA,MF,32,31,6,5,"2,711",30.1,0,0,/en/players/e87b31ae/Antonio-da-Silva,87b31ae,Antonio-da-Silv
Fabian Gerber,ch SUI,MF,30,30,5,7,"2,537",28.2,1,0,/en/players/29c0da5a/Fabian-Gerber,29c0da5a,Fabian-Gerb
Dimo Wache,de GER,GK,28,28,0,0,"2,476",27.5,2,0,/en/players/0aba5dbb/Dimo-Wache,0aba5dbb,Dimo-Wach
Benjamin Auer,de GER,FW,31,28,3,6,"2,397",26.6,0,0,/en/players/9b837fcd/Benjamin-Auer,9b837fcd,Benjamin-Au
Nikolče Noveski,mk MKD,DF,27,27,0,2,"2,430",27.0,2,0,/en/players/d7d03597/Nikolce-Noveski,d7d03597,Nikolce-Noveski
Mathias Abel,de GER,DF,23,22,2,3,"1,854",20.6,3,0,/en/players/b0157081/Mathias-Abel,b0157081,Mathias-Ab
Niclas Weiland,de GER,FW,28,21,3,4,"1,857",20.6,4,0,/en/players/2c7fa689/Niclas-Weiland,2c7fa689,Niclas-Weiland
Benjamin Weigelt,de GER,DF,21,17,1,1,"1,631",18.1,3,0,/en/players/d0fcd0c0/Benjamin-Weigelt,d0fcd0c0,Benjamin-Weigelt
Marco Rose,de GER,DF,17,17,2,1,"1,472",16.4,3,1,/en/players/38ca2063/Marco-Rose,38ca2063,Marco-Ro
Conor Casey,us USA,FW,28,14,2,2,"1,403",15.6,4,0,/en/players/2c5b8e3a/Conor-Casey,2c5b8e3a,Conor-C
Robert Nikolic,de GER,DF,15,12,1,0,"1,120",12.4,4,0,/en/players/8d30445e/Robert-Nikolic,8d30445e,Robert-Nikolic
Hanno Balitsch,de GER,MF,14,12,,0,"1,054",11.7,5,0,/en/players/2b48fa93/Hanno-Balitsch,2b48fa93,Hanno-Balitsch
Michael Thurk,de GER,FW,13,11,2,6,928,10.3,2,0,/en/players/e06944cd/Michael-Thurk,06944cd,Michael-Thurk
Jürgen Kramny,de GER,MF,20,8,0,2,744,8.3,2,1,/en/players/7f240ba3/Jurgen-Kramny,7f240ba3,Jurgen-Kram
Tamás Bódog,hu HUN,DF,12,8,0,1,735,8.2,1,0,/en/players/78b4e156/Tamas-Bodog,78b4e156,Tamas-Bodog
Christian Wetklo,de GER,GK,7,6,0,0,584,6.5,1,0,/en/players/9567b6e2/Christian-Wetklo,9567b6e2,Christian-Wetklo
Mimoun Azaouagh,de GER,MF,8,6,0,1,520,5.8,3,0,/en/players/28b9a134/Mimoun-Azaouagh,28b9a134,Mimoun-Azaouagh
Dennis Weiland,de GER,MF,12,4,0,0,513,5.7,2,0,/en/players/19a3abc3/Dennis-Weiland,19a3abc3,Dennis-Weiland
Ranisav Jovanović,de GER,FW,16,2,2,0,390,4.3,1,0,/en/players/6f961767/Ranisav-Jovanovic,6f961767,Ranisav-Jovanovic
Christoph Teinert,de GER,FW,10,2,0,1,339,3.8,1,0,/en/players/46c0a80e/Christoph-Teinert,46c0a80e,Christoph-Teinert
Markus Dworrak,de GER,"FW,MF",3,2,0,0,146,1.6,0,0,/en/players/64041728/Markus-Dworrak,64041728,Markus-Dworrak
Claudius Weber,de GER,FW,8,1,1,1,251,2.8,0,0,/en/players/9a8f231a/Claudius-Weber,9a8f231a,Claudius-Web
Christian Demirtaş,de GER,DF,3,0,,0,28,0.3,0,0,/en/players/0a366683/Christian-Demirtas,0a366683,Christian-Demirt
﻿2005-2006,Mainz-05
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Manuel Friedrich,de GER,DF,34,34,0,3,"2,987",33.2,2,0,/en/players/789b80e9/Manuel-Friedrich,789b80e9,Manuel-Friedrich
Nikolče Noveski,mk MKD,DF,33,33,0,2,"2,957",32.9,7,0,/en/players/d7d03597/Nikolce-Noveski,d7d03597,Nikolce-Noveski
Antônio da Silva,br BRA,MF,33,33,8,3,"2,924",32.5,2,0,/en/players/e87b31ae/Antonio-da-Silva,87b31ae,Antonio-da-Silv
Michael Thurk,de GER,FW,32,32,6,12,"2,637",29.3,12,0,/en/players/e06944cd/Michael-Thurk,06944cd,Michael-Thurk
Benjamin Auer,de GER,FW,29,25,3,9,"2,217",24.6,2,0,/en/players/9b837fcd/Benjamin-Auer,9b837fcd,Benjamin-Au
Christian Demirtaş,de GER,DF,28,25,0,0,"2,149",23.9,5,0,/en/players/0a366683/Christian-Demirtas,0a366683,Christian-Demirt
Milorad Peković,me MNE,MF,24,23,0,0,"2,043",22.7,10,0,/en/players/cad8afdf/Milorad-Pekovic,cad8afdf,Milorad-Pekovic
Mohamed Zidan,eg EGY,FW,26,21,3,9,"1,841",20.5,0,0,/en/players/858ecfad/Mohamed-Zidan,858ecfad,Mohamed-Zid
Benjamin Weigelt,de GER,DF,23,21,1,0,"1,828",20.3,5,0,/en/players/d0fcd0c0/Benjamin-Weigelt,d0fcd0c0,Benjamin-Weigelt
