Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Pedro Contreras,es ESP,GK,36,36,0.0,0.0,2002-2003,/en/players/7d21afdb/Pedro-Contreras,7d21afdb,Malaga,"3,132",34.8,0.0,2.0,49,1.0,1375,Malaga
,Fernando Sanz,es ESP,DF,35,35,0.0,1.0,2002-2003,/en/players/d23f0cc6/Fernando-Sanz,d23f0cc6,Malaga,"3,150",35.0,10.0,1.0,49,1.0,2292,Malaga
,Vicente Valcarce,es ESP,DF,35,35,3.0,0.0,2002-2003,/en/players/1fecb68c/Vicente-Valcarce,1fecb68c,Malaga,"2,935",32.6,7.0,0.0,49,1.0,2293,Malaga
,Kiki Musampa,nl NED,"FW,MF",35,34,4.0,8.0,2002-2003,/en/players/4095895b/Kiki-Musampa,4095895b,Malaga,"2,938",32.6,5.0,0.0,49,11.0,2140,Malaga
,Mikel Roteta,es ESP,DF,33,33,0.0,2.0,2002-2003,/en/players/05ec1ccf/Mikel-Roteta,05ec1ccf,Malaga,"2,960",32.9,14.0,0.0,49,1.0,2294,Malaga
,Josemi,es ESP,DF,32,32,2.0,0.0,2002-2003,/en/players/e85dd0fc/Josemi,85dd0fc,Malaga,"2,777",30.9,13.0,1.0,49,1.0,1608,Malaga
,Julio Dely Valdés,pa PAN,FW,33,31,2.0,10.0,2002-2003,/en/players/16753970/Julio-Dely-Valdes,16753970,Malaga,"2,607",29.0,3.0,0.0,49,89.0,2295,Malaga
,Darío Silva,uy URU,FW,28,28,4.0,10.0,2002-2003,/en/players/1efa0295/Dario-Silva,1efa0295,Malaga,"2,411",26.8,11.0,2.0,49,8.0,1799,Malaga
,Marcelo Romero,uy URU,MF,29,28,0.0,2.0,2002-2003,/en/players/679ff318/Marcelo-Romero,679ff318,Malaga,"2,316",25.7,12.0,2.0,49,8.0,2296,Malaga
,Gerardo,es ESP,"DF,MF",28,28,3.0,1.0,2002-2003,/en/players/07c345de/Gerardo,07c345de,Malaga,"2,270",25.2,8.0,0.0,49,1.0,241,Malaga
