2012-2013,Mallorca
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dudu Aouate,il ISR,GK,35,35,0,0,"3,121",34.7,2,0,/en/players/4d1b3701/Dudu-Aouate,4d1b3701,Dudu-Aouat
Tomás Pina Isla,es ESP,MF,36,34,0,0,"2,869",31.9,9,0,/en/players/e54bd0a2/Tomas-Pina-Isla,54bd0a2,Tomas-Pina-I
Víctor Casadesús,es ESP,FW,33,31,6,8,"2,593",28.8,7,0,/en/players/73cd0a2a/Victor-Casadesus,73cd0a2a,Victor-Casadesu
Pedro Geromel,br BRA,DF,30,29,0,1,"2,611",29.0,11,0,/en/players/78f81520/Pedro-Geromel,78f81520,Pedro-Gerom
Tomer Hemed,il ISR,FW,37,28,2,11,"2,397",26.6,4,0,/en/players/27d7453c/Tomer-Hemed,27d7453c,Tomer-Hemed
Giovani dos Santos,mx MEX,"FW,MF",29,27,6,6,"2,386",26.5,4,0,/en/players/7dba6233/Giovani-dos-Santos,7dba6233,Giovani-dos-Santo
Emilio Nsue,gq EQG,"DF,FW",32,25,2,2,"2,159",24.0,2,1,/en/players/1c9bc4fa/Emilio-Nsue,1c9bc4fa,Emilio-Nsu
Pedro Bigas,es ESP,"DF,MF",24,24,1,1,"2,056",22.8,7,0,/en/players/697295b1/Pedro-Bigas,697295b1,Pedro-Big
José Nunes,pt POR,DF,23,21,0,0,"1,969",21.9,4,1,/en/players/adacff32/Jose-Nunes,dacff32,Jose-Nu
Javi Márquez,es ESP,MF,25,19,2,3,"1,502",16.7,8,2,/en/players/40c7cdd2/Javi-Marquez,40c7cdd2,Javi-Marquez
José Luis Martí,es ESP,MF,29,18,1,1,"1,754",19.5,9,0,/en/players/111c668a/Jose-Luis-Marti,111c668a,Jose-Luis-Marti
Alan Hutton,sct SCO,DF,17,17,0,0,"1,485",16.5,4,0,/en/players/688ae34c/Alan-Hutton,688ae34c,Alan-Hutto
Michael Pereira,fr FRA,"FW,MF",25,17,0,1,"1,453",16.1,6,0,/en/players/2969ccd2/Michael-Pereira,2969ccd2,Michael-Perei
Anderson Conceição,br BRA,DF,16,14,0,0,"1,242",13.8,1,0,/en/players/d50b1371/Anderson-Conceicao,d50b1371,Anderson-Conceicao
Alejandro Alfaro,es ESP,"FW,MF",27,13,1,6,"1,302",14.5,1,0,/en/players/7c293728/Alejandro-Alfaro,7c293728,Alejandro-Alfaro
Ximo Navarro,es ESP,DF,16,13,0,0,995,11.1,3,2,/en/players/8db394aa/Ximo-Navarro,8db394aa,Ximo-Navarro
Fernando Tissone,ar ARG,MF,15,12,0,0,"1,091",12.1,3,0,/en/players/e224238d/Fernando-Tissone,224238d,Fernando-Tisso
Antonio Luna,es ESP,DF,11,11,0,0,925,10.3,4,1,/en/players/ed239245/Antonio-Luna,d239245,Antonio-Lu
Kevin,es ESP,DF,11,8,1,1,824,9.2,2,0,/en/players/38ccaadc/Kevin,38ccaadc,Kevi
Antonio López,es ESP,"DF,MF",8,7,0,0,663,7.4,3,0,/en/players/e55190d5/Antonio-Lopez,55190d5,Antonio-Lopez
Javier Arizmendi,es ESP,"FW,MF",21,5,1,2,810,9.0,5,0,/en/players/14a6c075/Javier-Arizmendi,14a6c075,Javier-Arizmendi
Andreu Fontàs,es ESP,DF,9,5,0,0,371,4.1,2,1,/en/players/0f138d5a/Andreu-Fontas,0f138d5a,Andreu-Font
Juan Calatayud,es ESP,GK,3,3,0,0,270,3.0,0,0,/en/players/f1714283/Juan-Calatayud,f1714283,Juan-Calatayud
João Victor,br BRA,"DF,MF",7,2,0,0,280,3.1,1,0,/en/players/dbc94b4c/Joao-Victor,dbc94b4c,Joao-Victo
Marc Fernández,es ESP,"FW,MF",6,0,0,0,113,1.3,0,0,/en/players/9c3ef867/Marc-Fernandez,9c3ef867,Marc-Fernandez
Rubén Miño,es ESP,GK,1,0,0,0,29,0.3,0,0,/en/players/60afe7a3/Ruben-Mino,60afe7a3,Ruben-Mino
Brandon,es ESP,"FW,MF",1,0,0,0,19,0.2,1,0,/en/players/3e016e5a/Brandon,3e016e5a,Brando
Charlie Took,cm CMR,DF,1,0,0,0,15,0.2,0,0,/en/players/9a7434c7/Charlie-Took,9a7434c7,Charlie-Took
Álvaro Giménez,es ESP,"FW,MF",1,0,0,0,12,0.1,0,0,/en/players/18017beb/Alvaro-Gimenez,18017beb,Alvaro-Gimenez
