2013-2014,Manchester-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Yaya Touré,ci CIV,MF,35,35,9,20,"2,917",32.4,4,0,/en/players/c204f844/Yaya-Toure,c204f844,Yaya-Tou
Pablo Zabaleta,ar ARG,"DF,MF",35,34,6,1,"3,080",34.2,11,0,/en/players/6813ac34/Pablo-Zabaleta,6813ac34,Pablo-Zabalet
Joe Hart,eng ENG,GK,31,31,0,0,"2,790",31.0,1,0,/en/players/cb4f24c6/Joe-Hart,cb4f24c6,Joe-Hart
Fernandinho,br BRA,"DF,MF",33,29,3,5,"2,608",29.0,8,0,/en/players/101da2b5/Fernandinho,101da2b5,Fernandinho
Samir Nasri,fr FRA,"FW,MF",34,29,7,7,"2,487",27.6,3,0,/en/players/165bed61/Samir-Nasri,165bed61,Samir-Nasri
Vincent Kompany,be BEL,DF,28,28,1,4,"2,363",26.3,6,1,/en/players/d2bff301/Vincent-Kompany,d2bff301,Vincent-Kom
Martín Demichelis,ar ARG,"DF,MF",27,27,1,2,"2,430",27.0,6,0,/en/players/e9c7102a/Martin-Demichelis,9c7102a,Martin-Demicheli
David Silva,es ESP,"FW,MF",27,26,9,7,"2,161",24.0,5,0,/en/players/e2716bd0/David-Silva,2716bd0,David-Silv
Edin Džeko,ba BIH,FW,31,23,1,16,"1,986",22.1,4,0,/en/players/3bb7f478/Edin-Dzeko,3bb7f478,Edin-Dzeko
Aleksandar Kolarov,rs SRB,DF,30,21,7,1,"1,977",22.0,2,0,/en/players/eda40760/Aleksandar-Kolarov,da40760,Aleksandar-Kolarov
Álvaro Negredo,es ESP,FW,32,21,3,9,"1,723",19.1,1,0,/en/players/63b0ca6b/Alvaro-Negredo,63b0ca6b,Alvaro-Negredo
Sergio Agüero,ar ARG,FW,23,20,6,17,"1,528",17.0,4,0,/en/players/4d034881/Sergio-Aguero,4d034881,Sergio-Aguero
Jesús Navas,es ESP,"DF,MF",29,18,7,4,"1,750",19.4,0,0,/en/players/3f10bd22/Jesus-Navas,3f10bd22,Jesus-Nav
Gaël Clichy,fr FRA,DF,20,18,0,0,"1,662",18.5,1,0,/en/players/450ad405/Gael-Clichy,450ad405,Gael-Clich
Javi García,es ESP,"DF,MF",29,14,0,0,"1,545",17.2,7,0,/en/players/167c1bb0/Javi-Garcia,167c1bb0,Javi-Garci
James Milner,eng ENG,"DF,MF",31,12,4,1,"1,374",15.3,3,0,/en/players/2f90f6b8/James-Milner,2f90f6b8,James-Mi
Matija Nastasić,rs SRB,DF,13,11,0,0,"1,029",11.4,4,0,/en/players/f35430a4/Matija-Nastasic,f35430a4,Matija-Nastasic
Joleon Lescott,eng ENG,DF,10,8,0,0,785,8.7,0,0,/en/players/62393d3b/Joleon-Lescott,62393d3b,Joleon-Lescott
Costel Pantilimon,ro ROU,GK,7,7,0,0,630,7.0,1,0,/en/players/d24e154c/Costel-Pantilimon,d24e154c,Costel-Pantilimo
Stevan Jovetić,me MNE,"FW,MF",13,2,1,3,389,4.3,1,0,/en/players/f36c432f/Stevan-Jovetic,f36c432f,Stevan-Jovetic
Micah Richards,eng ENG,DF,2,2,0,0,160,1.8,0,0,/en/players/ff87875a/Micah-Richards,ff87875a,Micah-Richard
Jack Rodwell,eng ENG,"DF,MF",5,1,0,0,112,1.2,0,0,/en/players/a07579ee/Jack-Rodwell,07579ee,Jack-Rodw
Dedryck Boyata,be BEL,DF,1,1,0,0,54,0.6,0,0,/en/players/7c473e12/Dedryck-Boyata,7c473e12,Dedryck-Boyat
