2011-2012,Manchester-United
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Patrice Evra,fr FRA,DF,37,37,4,0,"3,234",35.9,6,0,/en/players/51a3caf1/Patrice-Evra,51a3caf1,Patrice-Ev
Wayne Rooney,eng ENG,"FW,MF",34,32,4,27,"2,830",31.4,1,0,/en/players/f07be45a/Wayne-Rooney,f07be45a,Wayne-Roo
David de Gea,es ESP,GK,29,29,0,0,"2,610",29.0,0,0,/en/players/7ba6d84e/David-de-Gea,7ba6d84e,David-de-G
Rio Ferdinand,eng ENG,DF,30,29,0,0,"2,562",28.5,4,0,/en/players/52465662/Rio-Ferdinand,52465662,Rio-Ferdinand
Jonny Evans,nir NIR,DF,29,28,3,1,"2,424",26.9,6,1,/en/players/f8fcd2a5/Jonny-Evans,f8fcd2a5,Jonny-Ev
Michael Carrick,eng ENG,MF,30,27,3,2,"2,501",27.8,4,0,/en/players/ab7263c1/Michael-Carrick,b7263c1,Michael-Carrick
Phil Jones,eng ENG,"DF,MF",29,25,2,1,"2,125",23.6,6,0,/en/players/def899bd/Phil-Jones,def899bd,Phil-Jo
Nani,pt POR,"FW,MF",29,24,10,8,"2,104",23.4,2,0,/en/players/15e9c7e6/Nani,15e9c7e6,Nani
Danny Welbeck,eng ENG,"FW,MF",30,23,4,9,"2,012",22.4,3,0,/en/players/ce5143da/Danny-Welbeck,ce5143da,Danny-Welbeck
Antonio Valencia,ec ECU,"DF,MF",27,22,13,4,"2,124",23.6,3,0,/en/players/08aa17d0/Antonio-Valencia,08aa17d0,Antonio-Valenci
Ashley Young,eng ENG,"DF,FW",25,19,7,6,"1,565",17.4,3,0,/en/players/be927d03/Ashley-Young,be927d03,Ashley-Young
Javier Hernández,mx MEX,FW,28,18,2,10,"1,477",16.4,0,0,/en/players/189cee7b/Javier-Hernandez,189cee7b,Javier-Hernandez
Ryan Giggs,wls WAL,"FW,MF",25,14,8,2,"1,478",16.4,3,0,/en/players/561de8d0/Ryan-Giggs,561de8d0,Ryan-Gigg
Chris Smalling,eng ENG,DF,19,14,0,1,"1,297",14.4,1,0,/en/players/b6964eb6/Chris-Smalling,b6964eb6,Chris-Smalling
Paul Scholes,eng ENG,MF,17,14,0,4,"1,163",12.9,3,0,/en/players/24a3a72c/Paul-Scholes,24a3a72c,Paul-Scho
Park Ji-sung,kr KOR,MF,17,10,1,2,932,10.4,0,0,/en/players/3de4cb30/Park-Ji-sung,3de4cb30,Park-Ji-sung
Rafael,br BRA,"DF,MF",12,10,4,0,911,10.1,2,0,/en/players/9a1f2e1c/Rafael,9a1f2e1c,Raf
Anders Lindegaard,dk DEN,GK,8,8,0,0,720,8.0,0,0,/en/players/636f1a28/Anders-Lindegaard,636f1a28,Anders-Lindegaard
Anderson,br BRA,MF,10,8,1,2,690,7.7,2,0,/en/players/ffcbeb74/Anderson,ffcbeb74,Anderso
Darren Fletcher,sct SCO,MF,8,7,1,1,644,7.2,1,0,/en/players/184e4970/Darren-Fletcher,184e4970,Darren-Fletch
Nemanja Vidić,rs SRB,DF,6,6,0,0,501,5.6,0,0,/en/players/4b30b37e/Nemanja-Vidic,4b30b37e,Nemanja-Vidic
Dimitar Berbatov,bg BUL,FW,12,5,0,7,521,5.8,0,0,/en/players/f5781978/Dimitar-Berbatov,f5781978,Dimitar-Berbatov
Tom Cleverley,eng ENG,MF,10,5,1,0,450,5.0,0,0,/en/players/6cdd8245/Tom-Cleverley,6cdd8245,Tom-Clev
Fábio,br BRA,DF,5,2,0,0,248,2.8,1,0,/en/players/bc7b4580/Fabio,bc7b4580,Fabio
Ben Amos,eng ENG,GK,1,1,0,0,90,1.0,0,0,/en/players/f6799cd2/Ben-Amos,f6799cd2,Ben-Amo
Darron Gibson,ie IRL,MF,1,1,2,0,90,1.0,0,0,/en/players/f0e72e1c/Darron-Gibson,f0e72e1c,Darron-Gibso
Michael Owen,eng ENG,FW,1,0,0,0,80,0.9,0,0,/en/players/88b3f52c/Michael-Owen,88b3f52c,Michael-Ow
Paul Pogba,fr FRA,MF,3,0,0,0,71,0.8,0,0,/en/players/867239d3/Paul-Pogba,867239d3,Paul-Pogb
Zeki Fryers,eng ENG,DF,2,0,0,0,69,0.8,0,0,/en/players/f58d6213/Zeki-Fryers,f58d6213,Zeki-F
Federico Macheda,it ITA,FW,3,0,0,0,48,0.5,0,0,/en/players/e14daddc/Federico-Macheda,14daddc,Federico-Mached
Will Keane,ie IRL,"FW,MF",1,0,0,0,6,0.1,0,0,/en/players/fc7f8f87/Will-Keane,fc7f8f87,Will-K
