Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Mikaël Silvestre,fr FRA,DF,34,34,6.0,1.0,2002-2003,4dde97ea,Manchester-United,"2,921",32.5,2.0,0.0,119.0,4.0,5706.0,Manchester-United
,Ruud van Nistelrooy,nl NED,FW,34,33,4.0,25.0,2002-2003,80a30989,Manchester-United,"2,907",32.3,5.0,0.0,119.0,11.0,51.0,Manchester-United
,Ryan Giggs,wls WAL,"FW,MF",36,32,10.0,8.0,2002-2003,561de8d0,Manchester-United,"2,848",31.6,0.0,0.0,119.0,18.0,5707.0,Manchester-United
,Paul Scholes,eng ENG,MF,33,31,3.0,14.0,2002-2003,24a3a72c,Manchester-United,"2,737",30.4,4.0,0.0,119.0,6.0,5708.0,Manchester-United
,Fabien Barthez,fr FRA,GK,30,30,0.0,0.0,2002-2003,321646f0,Manchester-United,"2,541",28.2,1.0,0.0,119.0,4.0,5709.0,Manchester-United
,Ole Gunnar Solskjær,no NOR,FW,37,29,6.0,9.0,2002-2003,65cb97b8,Manchester-United,"2,601",28.9,4.0,0.0,119.0,21.0,5710.0,Manchester-United
,David Beckham,eng ENG,MF,31,27,8.0,6.0,2002-2003,53539318,Manchester-United,"2,516",28.0,5.0,0.0,119.0,6.0,24.0,Manchester-United
,Rio Ferdinand,eng ENG,DF,28,27,1.0,0.0,2002-2003,52465662,Manchester-United,"2,437",27.1,3.0,0.0,119.0,6.0,5711.0,Manchester-United
,John O'Shea,ie IRL,"DF,MF",32,26,1.0,0.0,2002-2003,7c1f4685,Manchester-United,"2,287",25.4,0.0,0.0,119.0,99.0,5712.0,Manchester-United
,Wes Brown,eng ENG,DF,22,22,1.0,0.0,2002-2003,659ccc97,Manchester-United,"1,849",20.5,3.0,0.0,119.0,6.0,5713.0,Manchester-United
,Juan Sebastián Verón,ar ARG,MF,25,21,3.0,3.0,2002-2003,f11a57c1,Manchester-United,"1,762",19.6,1.0,0.0,119.0,5.0,5714.0,Manchester-United
,Gary Neville,eng ENG,DF,26,19,4.0,0.0,2002-2003,1b013e33,Manchester-United,"1,823",20.3,3.0,0.0,119.0,6.0,5715.0,Manchester-United
,Roy Keane,ie IRL,MF,21,19,1.0,0.0,2002-2003,8f218498,Manchester-United,"1,763",19.6,4.0,1.0,119.0,99.0,5716.0,Manchester-United
,Phil Neville,eng ENG,"DF,MF",25,19,1.0,1.0,2002-2003,3db5e0ec,Manchester-United,"1,668",18.5,7.0,0.0,119.0,6.0,5717.0,Manchester-United
,Laurent Blanc,fr FRA,"DF,MF",19,15,0.0,0.0,2002-2003,51a9b34c,Manchester-United,"1,422",15.8,2.0,0.0,119.0,4.0,5718.0,Manchester-United
,Nicky Butt,eng ENG,"DF,MF",18,14,1.0,0.0,2002-2003,616b3f9a,Manchester-United,"1,218",13.5,1.0,0.0,119.0,6.0,5719.0,Manchester-United
,Roy Carroll,nir NIR,GK,10,8,0.0,0.0,2002-2003,0e880937,Manchester-United,834,9.3,0.0,0.0,119.0,121.0,5720.0,Manchester-United
,Diego Forlán,uy URU,"FW,MF",25,7,2.0,6.0,2002-2003,d87d0dfc,Manchester-United,834,9.3,3.0,0.0,119.0,8.0,,Manchester-United
,Quinton Fortune,za RSA,MF,9,5,1.0,0.0,2002-2003,fa706d7f,Manchester-United,506,5.6,1.0,0.0,119.0,60.0,5721.0,Manchester-United
,Ricardo,es ESP,GK,1,0,0.0,0.0,2002-2003,2fe713ed,Manchester-United,45,0.5,0.0,0.0,119.0,1.0,,Manchester-United
,Kieran Richardson,eng ENG,"DF,MF",2,0,0.0,0.0,2002-2003,d2bf40b4,Manchester-United,41,0.5,0.0,0.0,119.0,6.0,5722.0,Manchester-United
,Luke Chadwick,eng ENG,MF,1,0,0.0,0.0,2002-2003,9c35f696,Manchester-United,27,0.3,0.0,0.0,119.0,6.0,5723.0,Manchester-United
,Lee Roche,eng ENG,DF,1,0,0.0,0.0,2002-2003,d391aaf0,Manchester-United,21,0.2,0.0,0.0,119.0,6.0,5724.0,Manchester-United
,Danny Pugh,eng ENG,"DF,MF",1,0,0.0,0.0,2002-2003,7f60e79c,Manchester-United,5,0.1,0.0,0.0,119.0,6.0,5725.0,Manchester-United
,David May,eng ENG,DF,1,0,0.0,0.0,2002-2003,1c719a79,Manchester-United,1,0.0,0.0,0.0,119.0,6.0,5726.0,Manchester-United
,Michael Stewart,sct SCO,MF,1,0,0.0,0.0,2002-2003,58db0909,Manchester-United,1,0.0,0.0,0.0,119.0,67.0,5727.0,Manchester-United
,﻿Mikaël Silvestre,fr FRA,DF,34,33,1.0,0.0,2003-2004,4dde97ea,Manchester-United,"2,848",31.6,2.0,0.0,119.0,4.0,5706.0,Manchester-United
,Tim Howard,us USA,GK,32,32,1.0,0.0,2003-2004,c444465e,Manchester-United,"2,880",32.0,0.0,0.0,119.0,75.0,5734.0,Manchester-United
,John O'Shea,ie IRL,"DF,MF",33,32,1.0,2.0,2003-2004,7c1f4685,Manchester-United,"2,817",31.3,1.0,0.0,119.0,99.0,5712.0,Manchester-United
,Ruud van Nistelrooy,nl NED,FW,32,31,2.0,20.0,2003-2004,80a30989,Manchester-United,"2,753",30.6,4.0,0.0,119.0,11.0,51.0,Manchester-United
,Gary Neville,eng ENG,DF,30,30,3.0,2.0,2003-2004,1b013e33,Manchester-United,"2,690",29.9,4.0,0.0,119.0,6.0,5715.0,Manchester-United
,Ryan Giggs,wls WAL,"FW,MF",33,29,11.0,7.0,2003-2004,561de8d0,Manchester-United,"2,536",28.2,3.0,0.0,119.0,18.0,5707.0,Manchester-United
,Phil Neville,eng ENG,"DF,MF",31,29,2.0,0.0,2003-2004,3db5e0ec,Manchester-United,"2,504",27.8,4.0,0.0,119.0,6.0,5717.0,Manchester-United
,Roy Keane,ie IRL,MF,28,25,3.0,3.0,2003-2004,8f218498,Manchester-United,"2,196",24.4,2.0,0.0,119.0,99.0,5716.0,Manchester-United
,Paul Scholes,eng ENG,MF,28,24,3.0,9.0,2003-2004,24a3a72c,Manchester-United,"2,187",24.3,5.0,0.0,119.0,6.0,5708.0,Manchester-United
,Rio Ferdinand,eng ENG,DF,20,20,1.0,0.0,2003-2004,52465662,Manchester-United,"1,760",19.6,0.0,0.0,119.0,6.0,5711.0,Manchester-United
,Quinton Fortune,za RSA,MF,23,18,2.0,0.0,2003-2004,fa706d7f,Manchester-United,"1,623",18.0,2.0,0.0,119.0,60.0,5721.0,Manchester-United
,Darren Fletcher,sct SCO,MF,22,17,1.0,0.0,2003-2004,184e4970,Manchester-United,"1,455",16.2,2.0,2.0,119.0,67.0,5728.0,Manchester-United
,Cristiano Ronaldo,pt POR,"FW,MF",29,15,4.0,4.0,2003-2004,dea698d9,Manchester-United,"1,548",17.2,4.0,1.0,119.0,3.0,81.0,Manchester-United
