2002-2003,Marseille
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Vedran Runje,hr CRO,GK,36,36,0,0,"3,240",36.0,3,0,/en/players/9ded1c13/Vedran-Runje,9ded1c13,Vedran-Runj
Daniel Van Buyten,be BEL,DF,35,35,0,8,"3,122",34.7,4,1,/en/players/18a7d190/Daniel-Van-Buyten,18a7d190,Daniel-Van-Buyt
Manuel dos Santos,fr FRA,DF,33,33,6,1,"2,891",32.1,6,0,/en/players/5c1ac62c/Manuel-dos-Santos,5c1ac62c,Manuel-dos-Santo
Fabio Celestini,ch SUI,MF,33,33,4,1,"2,877",32.0,11,1,/en/players/c36ce86e/Fabio-Celestini,c36ce86e,Fabio-Celestini
Brahim Hemdani,dz ALG,"DF,MF",32,32,1,1,"2,846",31.6,5,0,/en/players/08d006ef/Brahim-Hemdani,08d006ef,Brahim-Hemdani
Johnny Ecker,fr FRA,DF,32,30,0,0,"2,808",31.2,7,0,/en/players/85e34e43/Johnny-Ecker,85e34e43,Johnny-Eck
Pascal Johansen,fr FRA,MF,29,26,,2,"2,413",26.8,14,1,/en/players/29d45bd9/Pascal-Johansen,29d45bd9,Pascal-Joh
Frank Leboeuf,fr FRA,DF,26,26,1,2,"2,181",24.2,8,1,/en/players/a011a07b/Frank-Leboeuf,011a07b,Frank-Leboeuf
Abdoulaye Méïté,ci CIV,DF,28,26,0,0,"2,130",23.7,8,2,/en/players/2b548af1/Abdoulaye-Meite,2b548af1,Abdoulaye-Meit
Ibrahima Bakayoko,ci CIV,FW,37,24,3,8,"2,275",25.3,1,1,/en/players/db4c20fe/Ibrahima-Bakayoko,db4c20fe,Ibrahima-Bakayoko
Cyril Chapuis,fr FRA,FW,33,24,2,4,"2,071",23.0,6,0,/en/players/a6921a34/Cyril-Chapuis,6921a34,Cyril-Chapui
Lamine Sakho,sn SEN,"FW,MF",29,18,3,5,"1,586",17.6,2,0,/en/players/5d65dcf4/Lamine-Sakho,5d65dcf4,Lamine-Sakho
Salomon Olembé,cm CMR,MF,27,18,1,1,"1,583",17.6,1,0,/en/players/d7ac4a47/Salomon-Olembe,d7ac4a47,Salomon-Olemb
Fernandão,br BRA,FW,24,15,2,3,"1,190",13.2,3,0,/en/players/f4648d49/Fernandao,f4648d49,Fernandao
Dmitri Sychev,ru RUS,"FW,MF",17,10,1,3,885,9.8,4,0,/en/players/74798824/Dmitri-Sychev,74798824,Dmitri-Sychev
Sébastien Pérez,fr FRA,"DF,MF",12,7,1,1,711,7.9,3,0,/en/players/934f32bf/Sebastien-Perez,934f32bf,Sebastien-Perez
Fabien Laurenti,fr FRA,DF,12,6,0,0,629,7.0,0,0,/en/players/787dfe87/Fabien-Laurenti,787dfe87,Fabien-Laurenti
Djamel Belmadi,dz ALG,MF,14,5,1,0,570,6.3,0,0,/en/players/fa0f8351/Djamel-Belmadi,fa0f8351,Djamel-Belmadi
Piotr Świerczewski,pl POL,MF,12,5,0,0,550,6.1,2,0,/en/players/77946472/Piotr-Swierczewski,77946472,Piotr-Swierczewski
Michel Gafour,fr FRA,MF,5,3,0,0,208,2.3,0,0,/en/players/d552fa1f/Michel-Gafour,d552fa1f,Michel-Gafou
Eduardo Tuzzio,ar ARG,DF,4,2,0,0,241,2.7,1,0,/en/players/096c45ee/Eduardo-Tuzzio,096c45ee,Eduardo-Tuzzio
Cédric Carrasso,fr FRA,GK,2,2,0,0,180,2.0,0,0,/en/players/17f5a888/Cedric-Carrasso,17f5a888,Cedric-Carrasso
Jérôme Pérez,fr FRA,"DF,MF",2,1,0,0,94,1.0,0,0,/en/players/27d644e8/Jerome-Perez,27d644e8,Jerome-Perez
Papis M’Bodji,sn SEN,FW,2,0,0,0,45,0.5,0,0,/en/players/96658789/Papis-MBodji,96658789,Papis-MBodji
Mickaël Marsiglia,fr FRA,MF,2,0,,0,36,0.4,0,0,/en/players/de406a7b/Mickael-Marsiglia,de406a7b,Mickael-Marsigli
Laurent Merlin,fr FRA,"FW,MF",1,0,,0,15,0.2,0,0,/en/players/ddf4a0ad/Laurent-Merlin,ddf4a0ad,Laurent-Merli
Delfim,pt POR,MF,1,0,0,0,14,0.2,0,0,/en/players/84a8ee14/Delfim,84a8ee14,Delfim
