Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Daniele Portanova,it ITA,DF,34,34,0.0,4.0,2002-2003,/en/players/19dee7dd/Daniele-Portanova,19dee7dd,Messina,"3,060",34.0,9.0,1.0,187,9.0,21070,Messina
,Riccardo Zampagna,it ITA,FW,33,33,5.0,18.0,2002-2003,/en/players/f71f3932/Riccardo-Zampagna,f71f3932,Messina,"2,827",31.4,4.0,1.0,187,9.0,21626,Messina
,Carmine Coppola,it ITA,MF,33,32,0.0,1.0,2002-2003,/en/players/9931f71c/Carmine-Coppola,9931f71c,Messina,"2,737",30.4,9.0,1.0,187,9.0,22485,Messina
,Francesco Bellucci,it ITA,DF,32,32,0.0,1.0,2002-2003,/en/players/8359d7c0/Francesco-Bellucci,8359d7c0,Messina,"2,675",29.7,12.0,1.0,187,9.0,22901,Messina
,Salvatore Sullo,it ITA,MF,33,31,4.0,7.0,2002-2003,/en/players/20f1bf49/Salvatore-Sullo,20f1bf49,Messina,"2,656",29.5,5.0,0.0,187,9.0,22902,Messina
,Sergio Campolo,it ITA,MF,30,30,5.0,3.0,2002-2003,/en/players/12add045/Sergio-Campolo,12add045,Messina,"2,621",29.1,6.0,1.0,187,9.0,22903,Messina
,Salvatore Vicari,it ITA,"FW,MF",31,29,0.0,1.0,2002-2003,/en/players/f2b42803/Salvatore-Vicari,f2b42803,Messina,"2,421",26.9,6.0,0.0,187,9.0,22769,Messina
,Emanuele Manitta,it ITA,GK,19,19,0.0,0.0,2002-2003,/en/players/be5bf625/Emanuele-Manitta,be5bf625,Messina,"1,710",19.0,0.0,0.0,187,9.0,21051,Messina
,Raffaele Ametrano,it ITA,MF,28,17,1.0,1.0,2002-2003,/en/players/8b35263b/Raffaele-Ametrano,8b35263b,Messina,"1,581",17.6,7.0,0.0,187,9.0,22904,Messina
,Vincenzo Silvestri,,,22,17,0.0,0.0,2002-2003,No detected,,Messina,"1,461",16.2,3.0,0.0,187,,90834,Messina
,Marco Storari,it ITA,GK,16,16,0.0,0.0,2002-2003,/en/players/fb5eb6e0/Marco-Storari,fb5eb6e0,Messina,"1,430",15.9,0.0,1.0,187,9.0,4131,Messina
,Giovanni Giuseppe Di Meglio,it ITA,,19,15,0.0,0.0,2002-2003,/en/players/c1972880/Giovanni-Giuseppe-Di-Meglio,c1972880,Messina,"1,383",15.4,5.0,0.0,187,9.0,90835,Messina
,Alessandro Iannuzzi,it ITA,FW,24,15,2.0,2.0,2002-2003,/en/players/e3ea9f5e/Alessandro-Iannuzzi,3ea9f5e,Messina,"1,352",15.0,1.0,0.0,187,9.0,22905,Messina
,Amauri,it ITA,FW,23,14,1.0,4.0,2002-2003,/en/players/b6d4bf9d/Amauri,b6d4bf9d,Messina,"1,345",14.9,3.0,1.0,187,9.0,19533,Messina
,Massimiliano Giacobbo,it ITA,MF,14,14,0.0,0.0,2002-2003,/en/players/13aa3d3f/Massimiliano-Giacobbo,13aa3d3f,Messina,"1,260",14.0,0.0,0.0,187,9.0,22348,Messina
,Pietro Sportillo,it ITA,,18,12,1.0,0.0,2002-2003,/en/players/0e970c7e/Pietro-Sportillo,0e970c7e,Messina,"1,173",13.0,3.0,0.0,187,9.0,90836,Messina
,Nicola Princivalli,it ITA,MF,21,10,2.0,2.0,2002-2003,/en/players/13ca558f/Nicola-Princivalli,13ca558f,Messina,984,10.9,4.0,0.0,187,9.0,22906,Messina
,Marco Zoro,ci CIV,DF,11,9,0.0,0.0,2002-2003,/en/players/d91fb45c/Marco-Zoro,d91fb45c,Messina,896,10.0,4.0,0.0,187,35.0,15106,Messina
,Hany Saïd,eg EGY,DF,11,6,2.0,0.0,2002-2003,/en/players/30a91f18/Hany-Said,30a91f18,Messina,565,6.3,0.0,0.0,187,59.0,22692,Messina
,Salvatore Accursi,it ITA,DF,7,6,0.0,0.0,2002-2003,/en/players/6a36684c/Salvatore-Accursi,6a36684c,Messina,563,6.3,1.0,0.0,187,9.0,22907,Messina
,Domenico Maietta,it ITA,DF,7,6,0.0,0.0,2002-2003,/en/players/3d936ba9/Domenico-Maietta,3d936ba9,Messina,481,5.3,1.0,0.0,187,9.0,21091,Messina
,Emanuele Calaiò,it ITA,FW,12,5,1.0,2.0,2002-2003,/en/players/e412488f/Emanuele-Calaio,412488f,Messina,594,6.6,2.0,1.0,187,9.0,20131,Messina
,Julio Gutiérrez,cl CHI,FW,6,4,1.0,0.0,2002-2003,/en/players/d47e6dc9/Julio-Gutierrez,d47e6dc9,Messina,343,3.8,2.0,0.0,187,31.0,20237,Messina
,Salvatore D'Alterio,it ITA,DF,14,2,0.0,0.0,2002-2003,/en/players/cbedb5c1/Salvatore-DAlterio,cbedb5c1,Messina,306,3.4,1.0,0.0,187,9.0,22908,Messina
,Emilio Docente,it ITA,FW,8,2,0.0,1.0,2002-2003,/en/players/ffa2d943/Emilio-Docente,ffa2d943,Messina,303,3.4,0.0,0.0,187,9.0,22909,Messina
,Leo Criaco,,,2,2,0.0,0.0,2002-2003,No detected,,Messina,180,2.0,0.0,0.0,187,,90837,Messina
,Alessandro Cesaretti,it ITA,GK,2,2,0.0,0.0,2002-2003,/en/players/da7fe3f6/Alessandro-Cesaretti,da7fe3f6,Messina,180,2.0,1.0,0.0,187,9.0,22910,Messina
,Antony Veri,,,1,1,0.0,0.0,2002-2003,No detected,,Messina,90,1.0,0.0,0.0,187,,90838,Messina
,Alessandro Bertoni,it ITA,,1,1,0.0,0.0,2002-2003,/en/players/bcbdb412/Alessandro-Bertoni,bcbdb412,Messina,90,1.0,1.0,0.0,187,9.0,90839,Messina
,Simone Cavalli,it ITA,FW,1,1,0.0,0.0,2002-2003,/en/players/f7cf57b7/Simone-Cavalli,f7cf57b7,Messina,90,1.0,0.0,0.0,187,9.0,21490,Messina
,Fabio Di,,,1,1,0.0,0.0,2002-2003,No detected,,Messina,39,0.4,0.0,0.0,187,,90784,Messina
,Enrico Buonocore,it ITA,,5,0,0.0,0.0,2002-2003,/en/players/9fab6409/Enrico-Buonocore,9fab6409,Messina,71,0.8,0.0,0.0,187,9.0,90840,Messina
,﻿Marco Storari,it ITA,GK,45,45,0.0,0.0,2003-2004,/en/players/fb5eb6e0/Marco-Storari,fb5eb6e0,Messina,"4,050",45.0,1.0,0.0,187,9.0,4131,Messina
,Luca Fusco,it ITA,DF,42,42,0.0,0.0,2003-2004,/en/players/6fec6d44/Luca-Fusco,6fec6d44,Messina,"3,735",41.5,9.0,1.0,187,9.0,22911,Messina
,Alessandro Parisi,it ITA,DF,41,40,7.0,14.0,2003-2004,/en/players/acb038f7/Alessandro-Parisi,cb038f7,Messina,"3,544",39.4,3.0,1.0,187,9.0,21985,Messina
,Rahman Rezaei,ir IRN,DF,37,37,0.0,2.0,2003-2004,/en/players/601737c7/Rahman-Rezaei,601737c7,Messina,"3,267",36.3,4.0,0.0,187,86.0,20862,Messina
,Arturo Di Napoli,it ITA,FW,39,37,5.0,18.0,2003-2004,/en/players/77897c8d/Arturo-Di-Napoli,77897c8d,Messina,"3,010",33.4,3.0,0.0,187,9.0,22399,Messina
,José Mamede,pt POR,MF,36,34,0.0,2.0,2003-2004,/en/players/7473f8c1/Jose-Mamede,7473f8c1,Messina,"3,076",34.2,9.0,0.0,187,3.0,21474,Messina
,Luigi Lavecchia,it ITA,"DF,MF",39,34,2.0,3.0,2003-2004,/en/players/bc707fbd/Luigi-Lavecchia,bc707fbd,Messina,"2,827",31.4,5.0,0.0,187,9.0,21060,Messina
,Marco Zoro,ci CIV,DF,32,32,0.0,2.0,2003-2004,/en/players/d91fb45c/Marco-Zoro,d91fb45c,Messina,"2,548",28.3,6.0,0.0,187,35.0,15106,Messina
,Carmine Coppola,it ITA,MF,38,31,0.0,1.0,2003-2004,/en/players/9931f71c/Carmine-Coppola,9931f71c,Messina,"2,734",30.4,10.0,0.0,187,9.0,22485,Messina
,Igor Zaniolo,it ITA,FW,39,30,2.0,7.0,2003-2004,/en/players/fd45219f/Igor-Zaniolo,fd45219f,Messina,"2,684",29.8,9.0,1.0,187,9.0,22912,Messina
,Salvatore Sullo,it ITA,MF,36,30,4.0,8.0,2003-2004,/en/players/20f1bf49/Salvatore-Sullo,20f1bf49,Messina,"2,595",28.8,2.0,0.0,187,9.0,22902,Messina
,Salvatore Aronica,it ITA,DF,32,20,1.0,0.0,2003-2004,/en/players/a060cd8e/Salvatore-Aronica,060cd8e,Messina,"1,996",22.2,2.0,0.0,187,9.0,21497,Messina
,Andrea Gentile,it ITA,MF,31,15,1.0,1.0,2003-2004,/en/players/df8a3ef2/Andrea-Gentile,df8a3ef2,Messina,"1,486",16.5,7.0,0.0,187,9.0,22913,Messina
,Roberto Sosa,ar ARG,FW,21,15,2.0,5.0,2003-2004,/en/players/4698b988/Roberto-Sosa,4698b988,Messina,"1,276",14.2,0.0,0.0,187,5.0,22767,Messina
,Nicola Princivalli,it ITA,MF,26,14,1.0,2.0,2003-2004,/en/players/13ca558f/Nicola-Princivalli,13ca558f,Messina,"1,123",12.5,2.0,0.0,187,9.0,22906,Messina
,Salvatore Accursi,it ITA,DF,20,12,0.0,0.0,2003-2004,/en/players/6a36684c/Salvatore-Accursi,6a36684c,Messina,"1,266",14.1,3.0,0.0,187,9.0,22907,Messina
,Domenico Giampà,it ITA,MF,21,12,0.0,2.0,2003-2004,/en/players/1dd7ae40/Domenico-Giampa,1dd7ae40,Messina,"1,262",14.0,1.0,0.0,187,9.0,21219,Messina
,Sergio Campolo,it ITA,MF,12,8,1.0,1.0,2003-2004,/en/players/12add045/Sergio-Campolo,12add045,Messina,756,8.4,1.0,0.0,187,9.0,22903,Messina
,Raffaele Ametrano,it ITA,MF,7,7,0.0,0.0,2003-2004,/en/players/8b35263b/Raffaele-Ametrano,8b35263b,Messina,592,6.6,3.0,0.0,187,9.0,22904,Messina
,Tomás Guzmán,py PAR,"FW,MF",26,6,2.0,3.0,2003-2004,/en/players/6755e384/Tomas-Guzman,6755e384,Messina,888,9.9,0.0,0.0,187,43.0,21766,Messina
,Fabio Artico,it ITA,FW,8,1,0.0,0.0,2003-2004,/en/players/1a9a8b2c/Fabio-Artico,1a9a8b2c,Messina,274,3.0,1.0,0.0,187,9.0,22914,Messina
,Esteban José Herrera,ar ARG,"FW,MF",7,1,0.0,0.0,2003-2004,/en/players/02ab03fe/Esteban-Jose-Herrera,02ab03fe,Messina,239,2.7,0.0,0.0,187,5.0,22915,Messina
,Niccolo Guzzo,,,1,1,0.0,0.0,2003-2004,No detected,,Messina,90,1.0,0.0,0.0,187,,90841,Messina
,Gianluca Temelin,it ITA,FW,1,1,0.0,0.0,2003-2004,/en/players/97a815d4/Gianluca-Temelin,97a815d4,Messina,90,1.0,0.0,0.0,187,9.0,22916,Messina
,Giuseppe Russo,it ITA,MF,3,0,0.0,0.0,2003-2004,/en/players/1d1b0cf7/Giuseppe-Russo,1d1b0cf7,Messina,10,0.1,0.0,0.0,187,9.0,22816,Messina
,Alessandro Greco,,,1,0,0.0,0.0,2003-2004,No detected,,Messina,8,0.1,0.0,0.0,187,,90842,Messina
,﻿Rahman Rezaei,ir IRN,DF,36,36,1.0,0.0,2004-2005,/en/players/601737c7/Rahman-Rezaei,601737c7,Messina,"3,237",36.0,4.0,0.0,187,86.0,20862,Messina
,Carmine Coppola,it ITA,MF,34,33,1.0,1.0,2004-2005,/en/players/9931f71c/Carmine-Coppola,9931f71c,Messina,"2,903",32.3,13.0,0.0,187,9.0,22485,Messina
,Massimo Donati,it ITA,MF,34,31,2.0,1.0,2004-2005,/en/players/568d84b2/Massimo-Donati,568d84b2,Messina,"2,699",30.0,3.0,1.0,187,9.0,21629,Messina
,Salvatore Aronica,it ITA,DF,30,29,1.0,0.0,2004-2005,/en/players/a060cd8e/Salvatore-Aronica,060cd8e,Messina,"2,578",28.6,8.0,1.0,187,9.0,21497,Messina
,Marco Storari,it ITA,GK,28,28,0.0,0.0,2004-2005,/en/players/fb5eb6e0/Marco-Storari,fb5eb6e0,Messina,"2,520",28.0,3.0,0.0,187,9.0,4131,Messina
,Riccardo Zampagna,it ITA,FW,28,28,3.0,12.0,2004-2005,/en/players/f71f3932/Riccardo-Zampagna,f71f3932,Messina,"2,326",25.8,8.0,0.0,187,9.0,21626,Messina
,Marco Zoro,ci CIV,DF,30,27,1.0,0.0,2004-2005,/en/players/d91fb45c/Marco-Zoro,d91fb45c,Messina,"2,536",28.2,11.0,1.0,187,35.0,15106,Messina
,Marco Zanchi,it ITA,DF,29,26,1.0,0.0,2004-2005,/en/players/6cc8d0c9/Marco-Zanchi,6cc8d0c9,Messina,"2,186",24.3,9.0,0.0,187,9.0,21023,Messina
,Alessandro Parisi,it ITA,DF,27,26,6.0,6.0,2004-2005,/en/players/acb038f7/Alessandro-Parisi,cb038f7,Messina,"2,177",24.2,8.0,1.0,187,9.0,21985,Messina
,Domenico Giampà,it ITA,MF,26,23,1.0,3.0,2004-2005,/en/players/1dd7ae40/Domenico-Giampa,1dd7ae40,Messina,"1,928",21.4,5.0,0.0,187,9.0,21219,Messina
,Arturo Di Napoli,it ITA,FW,29,21,1.0,9.0,2004-2005,/en/players/77897c8d/Arturo-Di-Napoli,77897c8d,Messina,"1,873",20.8,0.0,0.0,187,9.0,22399,Messina
