2020-2021,Metz
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dylan Bronn,tn TUN,DF,38,38,0,2,"3,412",37.9,4,0,/en/players/edd81e2a/Dylan-Bronn,dd81e2a,Dylan-Bro
Fabien Centonze,fr FRA,DF,36,36,0,1,"3,221",35.8,9,0,/en/players/3c6bbbab/Fabien-Centonze,3c6bbbab,Fabien-Centonz
John Boye,gh GHA,DF,35,35,2,1,"3,041",33.8,6,2,/en/players/861227d2/John-Boye,861227d2,John-Bo
Alexandre Oukidja,dz ALG,GK,34,34,0,0,"3,058",34.0,3,1,/en/players/ae7d0ecd/Alexandre-Oukidja,7d0ecd,Alexandre-Oukidj
Farid Boulaya,dz ALG,"MF,FW",33,32,8,6,"2,815",31.3,5,0,/en/players/a0791826/Farid-Boulaya,0791826,Farid-Bou
Habib Maïga,ci CIV,MF,31,31,3,1,"2,693",29.9,9,0,/en/players/e768de1f/Habib-Maiga,768de1f,Habib-Maig
Boubakar Kouyaté,ml MLI,DF,25,21,0,1,"1,964",21.8,10,0,/en/players/562a4799/Boubakar-Kouyate,562a4799,Boubakar-Kouyat
Victorien Angban,ci CIV,MF,26,21,1,0,"1,672",18.6,5,0,/en/players/d8992b84/Victorien-Angban,d8992b84,Victorien-Angb
Thomas Delaine,fr FRA,"DF,FW",24,19,2,3,"1,779",19.8,4,0,/en/players/8332db56/Thomas-Delaine,8332db56,Thomas-Delai
Matthieu Udol,fr FRA,DF,25,19,3,0,"1,724",19.2,1,1,/en/players/cc41f558/Matthieu-Udol,cc41f558,Matthieu-Udo
Lamine Gueye,sn SEN,"FW,MF",26,19,2,3,"1,454",16.2,1,0,/en/players/9d5dcc23/Lamine-Gueye,9d5dcc23,Lamine-Gu
Pape Matar Sarr,sn SEN,MF,22,18,0,3,"1,594",17.7,5,0,/en/players/feb5d972/Pape-Matar-Sarr,feb5d972,Pape-Matar-S
Opa Nguette,sn SEN,"FW,MF",16,13,1,3,"1,132",12.6,0,0,/en/players/75a63397/Opa-Nguette,75a63397,Opa-Nguett
Aaron Leya Iseka,be BEL,FW,21,12,0,4,"1,008",11.2,4,0,/en/players/29ef0f49/Aaron-Leya-Iseka,29ef0f49,Aaron-Leya-Isek
Mamadou Fofana,ml MLI,"MF,DF",16,11,0,0,"1,070",11.9,2,0,/en/players/4c4ffacc/Mamadou-Fofana,4c4ffacc,Mamadou-Fof
Vincent Pajot,fr FRA,MF,12,11,0,0,914,10.2,3,0,/en/players/f86ca403/Vincent-Pajot,f86ca403,Vincent-Pajot
Vagner Gonçalves,cv CPV,"FW,MF",26,10,1,4,967,10.7,3,0,/en/players/743fd71f/Vagner-Goncalves,743fd71f,Vagner-Goncalv
Papa Ndiaga Yade,sn SEN,"FW,MF",28,9,4,3,"1,001",11.1,4,0,/en/players/87e9c7cd/Papa-Ndiaga-Yade,87e9c7cd,Papa-Ndiaga-Yad
Ibrahima Niane,sn SEN,FW,10,9,0,6,663,7.4,0,0,/en/players/46faabfa/Ibrahima-Niane,46faabfa,Ibrahima-Ni
Thierry Ambrose,gp GLP,"FW,MF",23,5,1,0,753,8.4,4,0,/en/players/2945f4b7/Thierry-Ambrose,2945f4b7,Thierry-Ambro
Warren Tchimbembé,cg CGO,MF,15,4,0,0,495,5.5,0,0,/en/players/93b8f9f4/Warren-Tchimbembe,93b8f9f4,Warren-Tchimbemb
Marc-Aurèle Caillard,fr FRA,GK,5,4,0,0,361,4.0,1,0,/en/players/5ee6e943/Marc-Aurele-Caillard,5ee6e943,Marc-Aurele-Caillard
Kévin N'Doram,fr FRA,MF,6,4,0,0,307,3.4,0,0,/en/players/e50623a0/Kevin-NDoram,50623a0,Kevin-NDoram
Youssef Maziz,fr FRA,"MF,FW",11,2,0,0,257,2.9,1,0,/en/players/514270e8/Youssef-Maziz,514270e8,Youssef-Maziz
Habib Diallo,sn SEN,"FW,MF",4,1,0,0,143,1.6,0,0,/en/players/6605d143/Habib-Diallo,6605d143,Habib-Diallo
Boubacar Traoré,ml MLI,MF,2,0,0,1,54,0.6,0,0,/en/players/999ceb5f/Boubacar-Traore,999ceb5f,Boubacar-Trao
Cheikh Tidiane Sabaly,sn SEN,FW,1,0,0,0,12,0.1,0,0,/en/players/9ddf7fae/Cheikh-Tidiane-Sabaly,9ddf7fae,Cheikh-Tidiane-Sab
Ousmane Ba,sn SEN,GK,0,0,,,,,,,/en/players/a81f33b5/Ousmane-Ba,81f33b5,Ousmane-B
Ernest Boahene,gh GHA,DF,0,0,,,,,,,/en/players/103b2b0a/Ernest-Boahene,103b2b0a,Ernest-Boah
Paul Delecroix,fr FRA,GK,0,0,,,,,,,/en/players/2ee1b96b/Paul-Delecroix,2ee1b96b,Paul-Delecroix
Laurent Jans,lu LUX,"DF,MF",0,0,,,,,,,/en/players/0fbb73c2/Laurent-Jans,0fbb73c2,Laurent-J
Lenny Lacroix,fr FRA,DF,0,0,,,,,,,/en/players/5413ef36/Lenny-Lacroix,5413ef36,Lenny-Lacroix
William Mikelbrencis,fr FRA,DF,0,0,,,,,,,/en/players/14df1d7f/William-Mikelbrencis,14df1d7f,William-Mikelbrenci
Adama Traoré,ml MLI,"FW,MF",0,0,,,,,,,/en/players/f9edc384/Adama-Traore,f9edc384,Adama-Trao
