Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Stéphane Borbiconi,fr FRA,DF,34,34,0.0,1.0,2003-2004,/en/players/0033efe5/Stephane-Borbiconi,0033efe5,Metz,"2,996",33.3,2.0,0.0,98,4.0,13835,Metz
,Toifilou Maoulida,fr FRA,FW,33,33,2.0,12.0,2003-2004,/en/players/9d0e2252/Toifilou-Maoulida,9d0e2252,Metz,"2,740",30.4,7.0,0.0,98,4.0,11354,Metz
,Franck Signorino,fr FRA,DF,34,32,5.0,0.0,2003-2004,/en/players/88f4ddd2/Franck-Signorino,88f4ddd2,Metz,"2,869",31.9,4.0,0.0,98,4.0,4024,Metz
,Grégory Leca,fr FRA,"DF,MF",36,32,1.0,1.0,2003-2004,/en/players/7ea00ab3/Gregory-Leca,7ea00ab3,Metz,"2,781",30.9,1.0,0.0,98,4.0,13836,Metz
,Samuel Allegro,fr FRA,DF,31,28,0.0,0.0,2003-2004,/en/players/c3e4e91c/Samuel-Allegro,c3e4e91c,Metz,"2,509",27.9,1.0,0.0,98,4.0,13837,Metz
,Ludovic Butelle,fr FRA,GK,27,27,0.0,0.0,2003-2004,/en/players/26975a92/Ludovic-Butelle,26975a92,Metz,"2,430",27.0,1.0,0.0,98,4.0,904,Metz
,Stéphane Morisot,fr FRA,"DF,MF",23,23,0.0,0.0,2003-2004,/en/players/44478c87/Stephane-Morisot,44478c87,Metz,"1,950",21.7,2.0,1.0,98,4.0,13838,Metz
,Sylvain Marchal,fr FRA,DF,24,21,0.0,0.0,2003-2004,/en/players/149a5e41/Sylvain-Marchal,149a5e41,Metz,"1,812",20.1,3.0,0.0,98,4.0,12911,Metz
,Grégory Proment,fr FRA,MF,21,20,1.0,2.0,2003-2004,/en/players/c665d49f/Gregory-Proment,c665d49f,Metz,"1,812",20.1,7.0,0.0,98,4.0,13839,Metz
,Mehdi Méniri,dz ALG,DF,20,18,0.0,4.0,2003-2004,/en/players/ff6d2d89/Mehdi-Meniri,ff6d2d89,Metz,"1,596",17.7,5.0,0.0,98,37.0,12887,Metz
,Tressor Moreno,co COL,"FW,MF",17,16,3.0,0.0,2003-2004,/en/players/ba5c401a/Tressor-Moreno,ba5c401a,Metz,"1,377",15.3,3.0,0.0,98,19.0,13840,Metz
,Dino Djiba,sn SEN,MF,22,16,0.0,0.0,2003-2004,/en/players/4a53debd/Dino-Djiba,4a53debd,Metz,"1,356",15.1,1.0,0.0,98,34.0,13841,Metz
