2015-2016,Middlesbrough
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dimitrios Konstantopoulos,gr GRE,GK,46,46,0,0,"4,140",46.0,0,0,/en/players/05778dfe/Dimitrios-Konstantopoulos,05778dfe,Dimitrios-Konstantopoulo
Adam Clayton,eng ENG,MF,43,41,1,1,"3,698",41.1,13,0,/en/players/45b59689/Adam-Clayton,45b59689,Adam-Clayto
Stewart Downing,eng ENG,"MF,FW",45,40,5,3,"3,563",39.6,1,0,/en/players/b13c4620/Stewart-Downing,b13c4620,Stewart-Downing
Grant Leadbitter,eng ENG,MF,41,39,3,4,"3,442",38.2,11,0,/en/players/516f7fc1/Grant-Leadbitter,516f7fc1,Grant-Leadbitt
George Friend,eng ENG,DF,40,39,2,1,"3,426",38.1,2,0,/en/players/4f97147d/George-Friend,4f97147d,George-Friend
Emilio Nsue,gq EQG,"DF,MF",40,37,2,3,"3,280",36.4,2,0,/en/players/1c9bc4fa/Emilio-Nsue,1c9bc4fa,Emilio-Nsu
Albert Adomah,gh GHA,"MF,FW",43,36,5,6,"3,229",35.9,1,0,/en/players/c7174e81/Albert-Adomah,c7174e81,Albert-Adomah
Daniel Ayala,es ESP,DF,35,34,1,2,"3,010",33.4,6,0,/en/players/302560a0/Daniel-Ayala,302560a0,Daniel-A
Ben Gibson,eng ENG,DF,33,32,0,1,"2,840",31.6,5,1,/en/players/bcfb0142/Ben-Gibson,bcfb0142,Ben-Gibso
David Nugent,eng ENG,FW,38,24,7,8,"2,272",25.2,3,1,/en/players/f9b5e5bd/David-Nugent,f9b5e5bd,David-Nugent
Cristhian Stuani,uy URU,MF,36,20,1,7,"1,873",20.8,4,0,/en/players/220c11f1/Cristhian-Stuani,220c11f1,Cristhian-Stuani
Tomáš Kalas,cz CZE,DF,26,19,0,0,"1,791",19.9,1,0,/en/players/df618867/Tomas-Kalas,df618867,Tomas-K
Gastón Ramírez,uy URU,MF,18,15,1,7,"1,286",14.3,1,0,/en/players/2c851997/Gaston-Ramirez,2c851997,Gaston-Ramirez
Diego Fabbrini,it ITA,MF,22,14,3,4,"1,255",13.9,4,0,/en/players/762cf8e4/Diego-Fabbrini,762cf8e4,Diego-Fabbrini
Jordan Rhodes,sct SCO,FW,18,13,2,6,"1,157",12.9,1,0,/en/players/3b8b641c/Jordan-Rhodes,3b8b641c,Jordan-Rhod
Fernando Amorebieta,ve VEN,DF,13,11,0,0,"1,034",11.5,5,0,/en/players/b2bbc0ec/Fernando-Amorebieta,b2bbc0ec,Fernando-Amorebiet
Kike,es ESP,"FW,MF",19,10,1,4,840,9.3,1,0,/en/players/e897d8ba/Kike,897d8ba,Kik
Adam Forshaw,eng ENG,"MF,DF",29,9,2,2,"1,043",11.6,0,0,/en/players/9f1938ab/Adam-Forshaw,9f1938ab,Adam-Forshaw
Ritchie De Laet,be BEL,"DF,MF",10,9,1,0,847,9.4,0,0,/en/players/dc234f98/Ritchie-De-Laet,dc234f98,Ritchie-De-Laet
Dael Fry,eng ENG,"DF,MF",7,7,0,0,630,7.0,0,0,/en/players/43e79bbc/Dael-Fry,43e79bbc,Dael-F
Bruno Zuculini,ar ARG,MF,5,3,0,0,303,3.4,0,0,/en/players/17cddb4d/Bruno-Zuculini,17cddb4d,Bruno-Zuculini
Carlos de Pena,uy URU,"MF,FW",6,3,0,0,242,2.7,3,0,/en/players/6b915aa1/Carlos-de-Pena,6b915aa1,Carlos-de-P
Adam Reach,eng ENG,MF,4,3,0,1,226,2.5,0,0,/en/players/33a2d4dc/Adam-Reach,33a2d4dc,Adam-Reach
Enrique Sola,es ESP,MF,2,1,0,0,51,0.6,1,0,/en/players/bef2e50e/Enrique-Sola,bef2e50e,Enrique-So
Yanic Wildschut,sr SUR,MF,1,1,0,0,45,0.5,0,0,/en/players/99bfdcb6/Yanic-Wildschut,99bfdcb6,Yanic-Wildschut
Jack Stephens,eng ENG,DF,1,0,0,0,12,0.1,0,0,/en/players/6adbc307/Jack-Stephens,6adbc307,Jack-Steph
Julien De Sart,be BEL,MF,2,0,0,0,4,0.0,0,0,/en/players/33332e0b/Julien-De-Sart,33332e0b,Julien-De-Sart
Michael Agazzi,it ITA,GK,0,0,,,,,,,/en/players/0eda0ab8/Michael-Agazzi,0eda0ab8,Michael-Agazzi
Mustapha Carayol,gm GAM,MF,0,0,,,,,,,/en/players/597d0f13/Mustapha-Carayol,597d0f13,Mustapha-Carayo
James Husband,eng ENG,DF,0,0,,,,,,,/en/players/33e2d513/James-Husband,33e2d513,James-Husband
Lewis Maloney,nir NIR,MF,0,0,,,,,,,/en/players/25ceb464/Lewis-Maloney,25ceb464,Lewis-Malo
Tomás Mejías,es ESP,GK,0,0,,,,,,,/en/players/dc0c0fd9/Tomas-Mejias,dc0c0fd9,Tomas-Meji
Jonathan Woodgate,eng ENG,DF,0,0,,,,,,,/en/players/9482a3bd/Jonathan-Woodgate,9482a3bd,Jonathan-Woodgat
