Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Mark Schwarzer,/en/players/da409c6f/Mark-Schwarzer,da409c6f,Mark-Schwarz,au AUS,GK,Middlesbrough
1,Jonathan Greening,/en/players/892c1d7a/Jonathan-Greening,892c1d7a,Jonathan-Greening,eng ENG,MF,Middlesbrough
2,Gareth Southgate,/en/players/a29c3ed6/Gareth-Southgate,29c3ed6,Gareth-Southgat,eng ENG,DF,Middlesbrough
3,Geremi,/en/players/3571f3d1/Geremi,3571f3d1,Geremi,cm CMR,"DF,MF",Middlesbrough
4,Ugo Ehiogu,/en/players/bd8d3cd5/Ugo-Ehiogu,bd8d3cd5,Ugo-Ehiogu,eng ENG,DF,Middlesbrough
5,Franck Queudrue,/en/players/4b7d3170/Franck-Queudrue,4b7d3170,Franck-Queudru,fr FRA,DF,Middlesbrough
6,George Boateng,/en/players/a44a9f65/George-Boateng,44a9f65,George-Boateng,nl NED,MF,Middlesbrough
7,Massimo Maccarone,/en/players/1586379d/Massimo-Maccarone,1586379d,Massimo-Maccaro,it ITA,FW,Middlesbrough
8,Joseph-Désiré Job,/en/players/8208d253/Joseph-Desire-Job,8208d253,Joseph-Desire-Job,cm CMR,"FW,MF",Middlesbrough
9,Stuart Parnaby,/en/players/389cc3d7/Stuart-Parnaby,389cc3d7,Stuart-Parnab,eng ENG,DF,Middlesbrough
10,Szilárd Németh,/en/players/74da02b4/Szilard-Nemeth,74da02b4,Szilard-Nemeth,sk SVK,FW,Middlesbrough
11,Colin Cooper,/en/players/42f93b8f/Colin-Cooper,42f93b8f,Colin-Coo,eng ENG,DF,Middlesbrough
12,Alen Bokšić,/en/players/480438da/Alen-Boksic,480438da,Alen-Boksic,hr CRO,FW,Middlesbrough
13,Robbie Stockdale,/en/players/7d0a8842/Robbie-Stockdale,7d0a8842,Robbie-Stockd,sct SCO,DF,Middlesbrough
14,Malcolm Christie,/en/players/6f5273d9/Malcolm-Christie,6f5273d9,Malcolm-Christi,eng ENG,FW,Middlesbrough
15,Tony Vidmar,/en/players/52a1af8b/Tony-Vidmar,52a1af8b,Tony-Vidm,au AUS,DF,Middlesbrough
16,Juninho Paulista,/en/players/093373a5/Juninho-Paulista,093373a5,Juninho-Paulist,br BRA,MF,Middlesbrough
17,Luke Wilkshire,/en/players/c74d1bd3/Luke-Wilkshire,c74d1bd3,Luke-Wilkshi,au AUS,"DF,FW",Middlesbrough
18,Michael Ricketts,/en/players/3099ed37/Michael-Ricketts,3099ed37,Michael-Rickett,eng ENG,FW,Middlesbrough
19,Chris Riggott,/en/players/6ec07df6/Chris-Riggott,6ec07df6,Chris-Riggott,eng ENG,DF,Middlesbrough
20,Mark Wilson,/en/players/2fd8ad28/Mark-Wilson,2fd8ad28,Mark-Wilso,eng ENG,MF,Middlesbrough
21,David Murphy,/en/players/b05e73d5/David-Murphy,b05e73d5,David-Murph,eng ENG,DF,Middlesbrough
22,Doriva,/en/players/6b8ab05e/Doriva,6b8ab05e,Doriv,br BRA,MF,Middlesbrough
23,Carlos Marinelli,/en/players/3a81b990/Carlos-Marinelli,3a81b990,Carlos-Marinelli,ar ARG,MF,Middlesbrough
24,Noel Whelan,/en/players/901c3bdf/Noel-Whelan,901c3bdf,Noel-Wh,eng ENG,FW,Middlesbrough
25,Andrew Davies,/en/players/8912dc31/Andrew-Davies,8912dc31,Andrew-Davi,eng ENG,DF,Middlesbrough
26,Stewart Downing,/en/players/b13c4620/Stewart-Downing,b13c4620,Stewart-Downing,eng ENG,"FW,MF",Middlesbrough
27,Dean Windass,/en/players/5d318f2d/Dean-Windass,5d318f2d,Dean-Wind,eng ENG,"FW,MF",Middlesbrough
28,John Eustace,/en/players/019cf2b4/John-Eustace,019cf2b4,John-Eustac,eng ENG,MF,Middlesbrough
30,Boudewijn Zenden,/en/players/4e27a622/Boudewijn-Zenden,4e27a622,Boudewijn-Zend,nl NED,"DF,FW",Middlesbrough
31,Gaizka Mendieta,/en/players/c5589415/Gaizka-Mendieta,c5589415,Gaizka-Mendiet,es ESP,MF,Middlesbrough
32,Danny Mills,/en/players/240e4301/Danny-Mills,240e4301,Danny-Mi,eng ENG,DF,Middlesbrough
33,Alan Wright,/en/players/df6cf3fe/Alan-Wright,df6cf3fe,Alan-Wright,eng ENG,DF,Middlesbrough
34,Brad Jones,/en/players/ffc1c226/Brad-Jones,ffc1c226,Brad-Jo,au AUS,GK,Middlesbrough
35,Carlo Nash,/en/players/bd9670b3/Carlo-Nash,bd9670b3,Carlo-Nash,eng ENG,GK,Middlesbrough
36,James Morrison,/en/players/21a66e33/James-Morrison,21a66e33,James-Morriso,sct SCO,"FW,MF",Middlesbrough
37,Jimmy Floyd Hasselbaink,/en/players/db8a04d1/Jimmy-Floyd-Hasselbaink,db8a04d1,Jimmy-Floyd-Hasselbaink,nl NED,FW,Middlesbrough
38,Ray Parlour,/en/players/d567e937/Ray-Parlour,d567e937,Ray-Parlou,eng ENG,MF,Middlesbrough
39,Michael Reiziger,/en/players/6e75ab56/Michael-Reiziger,6e75ab56,Michael-Reizig,nl NED,DF,Middlesbrough
40,Mark Viduka,/en/players/c4c545c7/Mark-Viduka,c4c545c7,Mark-Viduk,au AUS,FW,Middlesbrough
41,Tony McMahon,/en/players/a1dd16a8/Tony-McMahon,1dd16a8,Tony-McMaho,eng ENG,"DF,MF",Middlesbrough
42,Danny Graham,/en/players/7d7bdee6/Danny-Graham,7d7bdee6,Danny-Graham,eng ENG,FW,Middlesbrough
43,Jason Kennedy,/en/players/d49a1592/Jason-Kennedy,d49a1592,Jason-Kenned,eng ENG,MF,Middlesbrough
44,Matthew Bates,/en/players/dd7a0bfe/Matthew-Bates,dd7a0bfe,Matthew-Bat,eng ENG,DF,Middlesbrough
45,﻿Yakubu Aiyegbeni,/en/players/a1fe3f62/Yakubu-Aiyegbeni,1fe3f62,Yakubu-Aiyegbeni,ng NGA,FW,Middlesbrough
46,Fábio Rochemback,/en/players/808296db/Fabio-Rochemback,808296db,Fabio-Rochemback,br BRA,"DF,MF",Middlesbrough
47,Emanuel Pogatetz,/en/players/6b08d120/Emanuel-Pogatetz,6b08d120,Emanuel-Pogatetz,at AUT,DF,Middlesbrough
48,Lee Cattermole,/en/players/538e77d5/Lee-Cattermole,538e77d5,Lee-Cattermo,eng ENG,MF,Middlesbrough
49,Adam Johnson,/en/players/1ba61951/Adam-Johnson,1ba61951,Adam-Johnso,eng ENG,MF,Middlesbrough
50,Andrew Taylor,/en/players/fb67faf8/Andrew-Taylor,fb67faf8,Andrew-Taylo,eng ENG,"DF,MF",Middlesbrough
51,David Wheater,/en/players/2ad3ea29/David-Wheater,2ad3ea29,David-Wheat,eng ENG,DF,Middlesbrough
52,Abel Xavier,/en/players/1c4eb067/Abel-Xavier,1c4eb067,Abel-Xavi,pt POR,DF,Middlesbrough
53,Ross Turnbull,/en/players/6db380ef/Ross-Turnbull,6db380ef,Ross-Turnbu,eng ENG,GK,Middlesbrough
54,Josh Walker,/en/players/32cddff5/Josh-Walker,32cddff5,Josh-Walk,eng ENG,MF,Middlesbrough
55,Tom Craddock,/en/players/3bfd4247/Tom-Craddock,3bfd4247,Tom-Craddock,eng ENG,FW,Middlesbrough
56,Julio Arca,/en/players/7ac25aa9/Julio-Arca,7ac25aa9,Julio-Arc,ar ARG,"DF,MF",Middlesbrough
57,Jason Euell,/en/players/d97fe8bd/Jason-Euell,d97fe8bd,Jason-Eu,jm JAM,"FW,MF",Middlesbrough
58,Robert Huth,/en/players/0bd1ea64/Robert-Huth,0bd1ea64,Robert-Huth,de GER,DF,Middlesbrough
59,Lee Dong-gook,/en/players/1c6f28eb/Lee-Dong-gook,1c6f28eb,Lee-Dong-gook,kr KOR,FW,Middlesbrough
60,Luke Young,/en/players/409a29d7/Luke-Young,409a29d7,Luke-Young,eng ENG,DF,Middlesbrough
61,Tuncay Şanlı,/en/players/e7a2dc67/Tuncay-Sanli,7a2dc67,Tuncay-Sanli,tr TUR,"FW,MF",Middlesbrough
