,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Dida,/en/players/294919b2/Dida,294919b2,Did,br BRA,GK
1,Alessandro Nesta,/en/players/16cabe2a/Alessandro-Nesta,16cabe2a,Alessandro-Nest,it ITA,DF
2,Dario Šimić,/en/players/c84ddbc4/Dario-Simic,c84ddbc4,Dario-Simic,hr CRO,DF
3,Paolo Maldini,/en/players/14323e81/Paolo-Maldini,14323e81,Paolo-Maldini,it ITA,DF
4,Filippo Inzaghi,/en/players/27b041d6/Filippo-Inzaghi,27b041d6,Filippo-Inzaghi,it ITA,FW
5,Kakha Kaladze,/en/players/342ab619/Kakha-Kaladze,342ab619,Kakha-Kaladz,ge GEO,"DF,MF"
6,Clarence Seedorf,/en/players/e6af3cc7/Clarence-Seedorf,6af3cc7,Clarence-Seedorf,nl NED,MF
7,Rui Costa,/en/players/ecf1642b/Rui-Costa,cf1642b,Rui-Cost,pt POR,MF
8,Gennaro Gattuso,/en/players/46b066b5/Gennaro-Gattuso,46b066b5,Gennaro-Gattuso,it ITA,MF
9,Andrea Pirlo,/en/players/71c5f16f/Andrea-Pirlo,71c5f16f,Andrea-Pirlo,it ITA,MF
10,Andriy Shevchenko,/en/players/32eb0f30/Andriy-Shevchenko,32eb0f30,Andriy-Shevchenko,ua UKR,FW
11,Massimo Ambrosini,/en/players/26b20735/Massimo-Ambrosini,26b20735,Massimo-Ambrosini,it ITA,MF
12,Rivaldo,/en/players/5c7f3153/Rivaldo,5c7f3153,Rivaldo,br BRA,"FW,MF"
13,Alessandro Costacurta,/en/players/69f22898/Alessandro-Costacurta,69f22898,Alessandro-Costacurt,it ITA,DF
14,Serginho,/en/players/9f318993/Serginho,9f318993,Serginho,br BRA,"DF,MF"
15,Jon Dahl Tomasson,/en/players/4af3fb59/Jon-Dahl-Tomasson,4af3fb59,Jon-Dahl-Tomasso,dk DEN,"FW,MF"
16,Cristian Brocchi,/en/players/14165e5f/Cristian-Brocchi,14165e5f,Cristian-Brocchi,it ITA,MF
17,Fernando Redondo,/en/players/ee8a0aeb/Fernando-Redondo,8a0aeb,Fernando-Redondo,ar ARG,MF
18,Roque Júnior,/en/players/ef2d5206/Roque-Junior,f2d5206,Roque-Junio,br BRA,DF
19,Martin Laursen,/en/players/ab40cc8b/Martin-Laursen,b40cc8b,Martin-Lau,dk DEN,DF
20,Christian Abbiati,/en/players/322421c2/Christian-Abbiati,322421c2,Christian-Abbiati,it ITA,GK
21,Thomas Helveg,/en/players/8388b5e0/Thomas-Helveg,8388b5e0,Thomas-Helveg,dk DEN,DF
22,Samuele Dalla Bona,/en/players/70a59026/Samuele-Dalla-Bona,70a59026,Samuele-Dalla-Bo,it ITA,MF
23,José Chamot,/en/players/5cebcd18/Jose-Chamot,5cebcd18,Jose-Chamot,ar ARG,DF
24,Valerio Fiori,/en/players/c8d7f156/Valerio-Fiori,c8d7f156,Valerio-Fiori,it ITA,GK
25,Alessandro Matri,/en/players/58d97e77/Alessandro-Matri,58d97e77,Alessandro-Matri,it ITA,FW
26,Michele Piccolo,/en/players/254065fd/Michele-Piccolo,254065fd,Michele-Piccolo,it ITA,FW
27,Catilina Aubameyang,/en/players/620ac555/Catilina-Aubameyang,620ac555,Catilina-Aubameyang,ga GAB,MF
28,Mirko Stefani,/en/players/dded9a0c/Mirko-Stefani,dded9a0c,Mirko-Stefani,it ITA,DF
29,Marco Borriello,/en/players/a889ffc7/Marco-Borriello,889ffc7,Marco-Borriello,it ITA,FW
30,Mattia Dal Bello,/en/players/b509c3bf/Mattia-Dal-Bello,b509c3bf,Mattia-Dal-Bello,it ITA,MF
31,Stefano Pastrello,/en/players/93ed0fcd/Stefano-Pastrello,93ed0fcd,Stefano-Pastrello,it ITA,MF
32,Roberto Bortolotto,/en/players/a82de738/Roberto-Bortolotto,82de738,Roberto-Bortolotto,it ITA,FW
33,Ibrahim Ba,/en/players/509ff2ca/Ibrahim-Ba,509ff2ca,Ibrahim-B,fr FRA,MF
35,Cafú,/en/players/f0ee7526/Cafu,f0ee7526,Cafu,br BRA,DF
36,Kaká,/en/players/b2d6ea70/Kaka,b2d6ea70,Kak,br BRA,"FW,MF"
37,Giuseppe Pancaro,/en/players/804dd34f/Giuseppe-Pancaro,804dd34f,Giuseppe-Pancaro,it ITA,DF
38,Hernán Crespo,/en/players/09089343/Hernan-Crespo,09089343,Hernan-Crespo,ar ARG,FW
39,Jaap Stam,/en/players/7c48a3ec/Jaap-Stam,7c48a3ec,Jaap-Stam,nl NED,DF
40,Vikash Dhorasoo,/en/players/8c803b45/Vikash-Dhorasoo,8c803b45,Vikash-Dhorasoo,fr FRA,MF
41,Fabricio Coloccini,/en/players/78b3399f/Fabricio-Coloccini,78b3399f,Fabricio-Coloccini,ar ARG,"DF,MF"
42,Lino Marzorati,/en/players/2cf1009b/Lino-Marzorati,2cf1009b,Lino-Marzorati,it ITA,DF
43,Romano Perticone,/en/players/078a53eb/Romano-Perticone,078a53eb,Romano-Pertico,it ITA,DF
