2005-2006,Modena
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Giorgio Frezzolini,it ITA,GK,41,41,0,0,"3,690",41.0,3,0,/en/players/0b969bc1/Giorgio-Frezzolini,0b969bc1,Giorgio-Frezzolini
Cristian Bucchi,it ITA,FW,41,41,7,29,"3,662",40.7,5,0,/en/players/8df7ea1e/Cristian-Bucchi,8df7ea1e,Cristian-Bucchi
Armando Perna,it ITA,DF,38,38,0,0,"3,348",37.2,13,1,/en/players/e0df5e5b/Armando-Perna,0df5e5b,Armando-P
Nicola Campedelli,it ITA,MF,37,36,4,3,"3,177",35.3,10,0,/en/players/6cca4fa7/Nicola-Campedelli,6cca4fa7,Nicola-Campedelli
Daniele Amerini,it ITA,MF,35,30,0,1,"2,627",29.2,7,1,/en/players/a6d1a2fe/Daniele-Amerini,6d1a2fe,Daniele-Amerini
Matteo Centurioni,it ITA,DF,31,28,2,0,"2,489",27.7,8,1,/en/players/5f04b66c/Matteo-Centurioni,5f04b66c,Matteo-Centurioni
Matteo Pivotto,it ITA,DF,32,28,1,1,"2,373",26.4,8,2,/en/players/d51cc6c4/Matteo-Pivotto,d51cc6c4,Matteo-Pivotto
Flavio Giampieretti,it ITA,MF,34,27,1,0,"2,217",24.6,8,0,/en/players/be3fef36/Flavio-Giampieretti,be3fef36,Flavio-Giampieretti
Juri Tamburini,it ITA,"DF,MF",34,26,2,3,"2,501",27.8,5,1,/en/players/53f560b1/Juri-Tamburini,53f560b1,Juri-Tamburini
Ivan Tisci,it ITA,MF,33,24,4,2,"2,111",23.5,4,0,/en/players/b1ce870c/Ivan-Tisci,b1ce870c,Ivan-Tisci
Roberto Colacone,it ITA,FW,30,24,7,2,"2,090",23.2,1,0,/en/players/ad8829ad/Roberto-Colacone,d8829ad,Roberto-Colaco
Mattia Graffiedi,it ITA,FW,26,21,0,6,"1,745",19.4,3,0,/en/players/e1e9832c/Mattia-Graffiedi,1e9832c,Mattia-Graffiedi
Stefano Argilli,it ITA,MF,19,18,0,1,"1,694",18.8,3,0,/en/players/50d2ebfe/Stefano-Argilli,50d2ebfe,Stefano-Argilli
Tommaso Chiecchi,it ITA,DF,18,16,0,0,"1,433",15.9,3,0,/en/players/36253895/Tommaso-Chiecchi,36253895,Tommaso-Chiecchi
Nicolas Frey,fr FRA,DF,20,15,1,0,"1,384",15.4,1,0,/en/players/6378443d/Nicolas-Frey,6378443d,Nicolas-F
Federico Giampaolo,it ITA,FW,26,13,2,1,"1,190",13.2,1,0,/en/players/58548f92/Federico-Giampaolo,58548f92,Federico-Giampaolo
Asamoah Gyan,gh GHA,FW,25,11,2,8,"1,275",14.2,5,0,/en/players/7f7bbbc2/Asamoah-Gyan,7f7bbbc2,Asamoah-G
Giuseppe Gemiti,de GER,"DF,MF",14,7,1,0,592,6.6,1,0,/en/players/dd67558e/Giuseppe-Gemiti,dd67558e,Giuseppe-Gemiti
Riccardo Nardini,it ITA,"DF,MF",12,7,1,0,571,6.3,1,0,/en/players/ca07c669/Riccardo-Nardini,ca07c669,Riccardo-Nardini
Roberto Chiappara,it ITA,MF,8,4,0,1,387,4.3,1,1,/en/players/c1db83db/Roberto-Chiappara,c1db83db,Roberto-Chi
Michele Troiano,it ITA,MF,11,3,0,0,434,4.8,1,1,/en/players/103450c8/Michele-Troiano,103450c8,Michele-Troiano
Antonio Narciso,it ITA,GK,1,1,0,0,90,1.0,0,0,/en/players/d3bd4bcf/Antonio-Narciso,d3bd4bcf,Antonio-Narciso
Francesco Stanco,it ITA,FW,4,0,0,0,42,0.5,0,0,/en/players/68c6f09c/Francesco-Stanco,68c6f09c,Francesco-Stanco
