2010-2011,Monaco
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Stéphane Ruffier,fr FRA,GK,34,34,0,0,"2,983",33.1,3,0,/en/players/cac76a72/Stephane-Ruffier,cac76a72,Stephane-Ruffi
Park Chu-young,kr KOR,"FW,MF",33,32,0,12,"2,842",31.6,3,0,/en/players/d9fa272a/Park-Chu-young,d9fa272a,Park-Chu-young
Adriano,br BRA,DF,32,32,1,4,"2,737",30.4,11,1,/en/players/e9350581/Adriano,9350581,Adriano
Petter Hansson,se SWE,DF,30,28,0,0,"2,579",28.7,1,0,/en/players/c5520936/Petter-Hansson,c5520936,Petter-Hansso
Sébastien Puygrenier,fr FRA,DF,31,28,1,1,"2,510",27.9,7,1,/en/players/13b1fd46/Sebastien-Puygrenier,13b1fd46,Sebastien-Puygreni
Nicolas Nkoulou,cm CMR,DF,30,26,0,0,"2,493",27.7,7,0,/en/players/93cf32a8/Nicolas-Nkoulou,93cf32a8,Nicolas-Nkoulou
Laurent Bonnart,fr FRA,DF,25,24,1,0,"2,117",23.5,0,0,/en/players/fbb6569e/Laurent-Bonnart,fbb6569e,Laurent-Bonnart
Thomas Mangani,fr FRA,MF,24,20,0,1,"1,708",19.0,6,0,/en/players/c801616a/Thomas-Mangani,c801616a,Thomas-Mangani
Jean-Jacques Gosso,ci CIV,"DF,MF",22,18,0,1,"1,493",16.6,4,0,/en/players/63614ee5/Jean-Jacques-Gosso,63614ee5,Jean-Jacques-Gosso
Pierre-Emerick Aubameyang,ga GAB,"FW,MF",19,17,2,2,"1,437",16.0,1,0,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,d5dd5f1f,Pierre-Emerick-Aubameyang
Vincent Muratori,fr FRA,DF,17,14,2,0,"1,285",14.3,4,0,/en/players/66673812/Vincent-Muratori,66673812,Vincent-Muratori
Cédric Mongongu,cd COD,DF,19,14,0,0,"1,232",13.7,0,0,/en/players/13f4ca73/Cedric-Mongongu,13f4ca73,Cedric-Mongongu
Benjamin Moukandjo,cm CMR,"FW,MF",16,13,1,3,"1,145",12.7,1,0,/en/players/e0312377/Benjamin-Moukandjo,0312377,Benjamin-Moukandjo
Daniel Niculae,ro ROU,FW,17,13,1,4,"1,123",12.5,2,0,/en/players/54fd8051/Daniel-Niculae,54fd8051,Daniel-Nicu
Nampalys Mendy,sn SEN,MF,14,13,0,0,"1,082",12.0,3,0,/en/players/1598599e/Nampalys-Mendy,1598599e,Nampalys-Mend
Lukman Haruna,ng NGA,MF,17,12,2,0,"1,098",12.2,3,0,/en/players/df1dddfb/Lukman-Haruna,df1dddfb,Lukman-Haru
Mathieu Coutadeur,fr FRA,MF,18,11,0,1,965,10.7,1,1,/en/players/ef8ae23b/Mathieu-Coutadeur,f8ae23b,Mathieu-Coutadeu
Igor Lolo,ci CIV,DF,17,9,2,1,975,10.8,6,0,/en/players/8a087695/Igor-Lolo,8a087695,Igor-Lolo
Chris Malonga,cg CGO,MF,16,9,1,1,815,9.1,1,0,/en/players/44ff4af6/Chris-Malonga,44ff4af6,Chris-Malong
Mahamadou Diarra,ml MLI,MF,9,9,0,0,810,9.0,3,0,/en/players/4a6c3ade/Mahamadou-Diarra,4a6c3ade,Mahamadou-Di
Dieumerci Mbokani,cd COD,FW,10,9,0,1,806,9.0,3,0,/en/players/d9847696/Dieumerci-Mbokani,d9847696,Dieumerci-Mbokani
Georgie Welcome,hn HON,FW,13,5,2,2,571,6.3,1,0,/en/players/2bef271a/Georgie-Welcome,2bef271a,Georgie-Welcom
Djimi Traoré,ml MLI,DF,7,5,0,0,376,4.2,1,0,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Djimi-Trao
Layvin Kurzawa,fr FRA,DF,5,5,0,0,369,4.1,1,1,/en/players/41e7ef1c/Layvin-Kurzawa,41e7ef1c,Layvin-Kurzaw
Sébastien Chabbert,fr FRA,GK,6,4,0,0,437,4.9,0,0,/en/players/646e10fd/Sebastien-Chabbert,646e10fd,Sebastien-Chabbert
Grégory Lacombe,fr FRA,MF,8,4,1,0,343,3.8,0,0,/en/players/60dd94ab/Gregory-Lacombe,60dd94ab,Gregory-Lacomb
Frédéric Bulot,ga GAB,MF,8,3,0,0,315,3.5,1,0,/en/players/335a76ea/Frederic-Bulot,335a76ea,Frederic-Bulot
Alejandro Alonso,ar ARG,MF,4,3,0,0,229,2.5,2,0,/en/players/52c2dde2/Alejandro-Alonso,52c2dde2,Alejandro-Alonso
Serge Gakpé,tg TOG,"FW,MF",10,2,1,0,339,3.8,1,0,/en/players/cf4053e2/Serge-Gakpe,cf4053e2,Serge-Gak
Pascal Feindouno,gn GUI,"FW,MF",5,2,0,0,225,2.5,0,0,/en/players/d32d9947/Pascal-Feindouno,d32d9947,Pascal-Feindouno
Valère Germain,fr FRA,FW,2,0,0,0,52,0.6,0,0,/en/players/ea0ff634/Valere-Germain,0ff634,Valere-Germai
Moussa Maâzou,ne NIG,FW,1,0,0,0,22,0.2,0,0,/en/players/2e3a2bd9/Moussa-Maazou,2e3a2bd9,Moussa-Maazou
Kévin Malcuit,ma MAR,"DF,FW",1,0,0,0,21,0.2,0,0,/en/players/d6a889ea/Kevin-Malcuit,d6a889ea,Kevin-Malcuit
Yannick Sagbo,ci CIV,FW,1,0,0,0,4,0.0,0,0,/en/players/8320d584/Yannick-Sagbo,8320d584,Yannick-Sagbo
