,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Ludovic Giuly,/en/players/028d362d/Ludovic-Giuly,028d362d,Ludovic-Giu,fr FRA,"FW,MF"
1,Jérôme Rothen,/en/players/5ad9d2bc/Jerome-Rothen,5ad9d2bc,Jerome-Roth,fr FRA,MF
2,Sébastien Squillaci,/en/players/f7ec06db/Sebastien-Squillaci,f7ec06db,Sebastien-Squillaci,fr FRA,DF
3,Shabani Nonda,/en/players/a0d7482c/Shabani-Nonda,0d7482c,Shabani-Nond,cd COD,FW
4,Patrice Evra,/en/players/51a3caf1/Patrice-Evra,51a3caf1,Patrice-Ev,fr FRA,DF
5,Rafael Márquez,/en/players/ce067ffe/Rafael-Marquez,ce067ffe,Rafael-Marquez,mx MEX,"DF,MF"
6,Flavio Roma,/en/players/46fc6ca6/Flavio-Roma,46fc6ca6,Flavio-Rom,it ITA,GK
7,Julien Rodriguez,/en/players/700165a8/Julien-Rodriguez,700165a8,Julien-Rodriguez,fr FRA,DF
8,Lucas Bernardi,/en/players/b845d856/Lucas-Bernardi,b845d856,Lucas-Bernardi,ar ARG,MF
9,Akis Zikos,/en/players/9965b634/Akis-Zikos,9965b634,Akis-Ziko,gr GRE,MF
10,Dado Pršo,/en/players/4c2e1ea0/Dado-Prso,4c2e1ea0,Dado-Prso,hr CRO,FW
11,Éric Cubilier,/en/players/1bc08c91/Eric-Cubilier,1bc08c91,Eric-Cubili,fr FRA,DF
12,Marcelo Gallardo,/en/players/483e1b7a/Marcelo-Gallardo,483e1b7a,Marcelo-Gallardo,ar ARG,MF
13,Gaël Givet,/en/players/6d28f149/Gael-Givet,6d28f149,Gael-Givet,fr FRA,DF
14,Tony Sylva,/en/players/ef3c3977/Tony-Sylva,f3c3977,Tony-Sylv,sn SEN,GK
15,Souleymane Camara,/en/players/c58270f8/Souleymane-Camara,c58270f8,Souleymane-Cam,sn SEN,FW
16,Hassan El Fakiri,/en/players/b33aaad1/Hassan-El-Fakiri,b33aaad1,Hassan-El-Fakiri,no NOR,"DF,MF"
17,José-Karl Pierre-Fanfan,/en/players/f6cfc003/Jose-Karl-Pierre-Fanfan,f6cfc003,Jose-Karl-Pierre-Fanf,mq MTQ,DF
18,Franck Jurietti,/en/players/b0b22879/Franck-Jurietti,b0b22879,Franck-Jurietti,fr FRA,DF
19,Pontus Farnerud,/en/players/d7b18dcd/Pontus-Farnerud,d7b18dcd,Pontus-Farnerud,se SWE,MF
20,Philippe Léonard,/en/players/885ebb73/Philippe-Leonard,885ebb73,Philippe-Leonard,be BEL,DF
21,Marco Simone,/en/players/31ba7b19/Marco-Simone,31ba7b19,Marco-Simo,it ITA,"FW,MF"
22,Mazhar Abdel Rahman,/en/players/720a2d2c/Mazhar-Abdel-Rahman,720a2d2c,Mazhar-Abdel-Rahm,eg EGY,FW
23,Sébastien Carole,/en/players/abea3689/Sebastien-Carole,bea3689,Sebastien-Caro,fr FRA,MF
24,Jaroslav Plašil,/en/players/516dc25b/Jaroslav-Plasil,516dc25b,Jaroslav-Plasi,cz CZE,MF
25,Sébastien Grax,/en/players/0f412b88/Sebastien-Grax,0f412b88,Sebastien-Grax,fr FRA,FW
26,Jimmy Juan,/en/players/d0447a50/Jimmy-Juan,d0447a50,Jimmy-Ju,fr FRA,MF
27,Laurent Lanteri,/en/players/9e6792cc/Laurent-Lanteri,9e6792cc,Laurent-Lanteri,fr FRA,"FW,MF"
28,Nicolas Hislen,/en/players/599677f2/Nicolas-Hislen,599677f2,Nicolas-Hi,fr FRA,MF
30,Fernando Morientes,/en/players/bceebb25/Fernando-Morientes,bceebb25,Fernando-Morient,es ESP,FW
31,Emmanuel Adebayor,/en/players/936d9e3e/Emmanuel-Adebayor,936d9e3e,Emmanuel-Adebayo,tg TOG,FW
32,Hugo Ibarra,/en/players/d3873193/Hugo-Ibarra,d3873193,Hugo-Ib,ar ARG,DF
33,Édouard Cissé,/en/players/4fe329a7/Edouard-Cisse,4fe329a7,Edouard-Ci,fr FRA,MF
34,Jim Ablancourt,/en/players/46f00a46/Jim-Ablancourt,46f00a46,Jim-Ablancourt,fr FRA,DF
35,Joseph Dayo Oshadogan,/en/players/01099c91/Joseph-Dayo-Oshadogan,01099c91,Joseph-Dayo-Oshadog,it ITA,DF
36,Marco Ramos,/en/players/f6b39d2e/Marco-Ramos,f6b39d2e,Marco-Ramo,pt POR,DF
37,Nicolas Raynier,/en/players/1523ade9/Nicolas-Raynier,1523ade9,Nicolas-Rayni,fr FRA,FW
38,Maicon Sisenando,/en/players/fbc5d136/Maicon-Sisenando,fbc5d136,Maicon-Sisenando,br BRA,DF
39,Mohamed Kallon,/en/players/efe5e7b3/Mohamed-Kallon,fe5e7b3,Mohamed-Kallo,sl SLE,FW
40,Javier Saviola,/en/players/de544fdb/Javier-Saviola,de544fdb,Javier-Savio,ar ARG,FW
41,Javier Chevantón,/en/players/5824ef34/Javier-Chevanton,5824ef34,Javier-Chevanto,uy URU,FW
42,Diego Pérez,/en/players/9590d6c5/Diego-Perez,9590d6c5,Diego-Perez,uy URU,MF
43,François Modesto,/en/players/6691423e/Francois-Modesto,6691423e,Francois-Modesto,fr FRA,"DF,MF"
44,Fabien Audard,/en/players/9bb204e5/Fabien-Audard,9bb204e5,Fabien-Audard,fr FRA,GK
45,David Gigliotti,/en/players/5bf469be/David-Gigliotti,5bf469be,David-Gigliotti,fr FRA,FW
46,Marko Muslin,/en/players/ba467232/Marko-Muslin,ba467232,Marko-Musli,fr FRA,MF
47,Camel Meriem,/en/players/ebef883d/Camel-Meriem,bef883d,Camel-Meriem,fr FRA,MF
48,Guillaume Warmuz,/en/players/47033c3f/Guillaume-Warmuz,47033c3f,Guillaume-Warmuz,fr FRA,GK
49,Olivier Kapo,/en/players/992c2db8/Olivier-Kapo,992c2db8,Olivier-Kapo,fr FRA,"FW,MF"
50,Olivier Sorlin,/en/players/935faf11/Olivier-Sorlin,935faf11,Olivier-Sorli,fr FRA,MF
51,Marco Di Vaio,/en/players/dfa05223/Marco-Di-Vaio,dfa05223,Marco-Di-Vaio,it ITA,FW
52,Manuel dos Santos,/en/players/5c1ac62c/Manuel-dos-Santos,5c1ac62c,Manuel-dos-Santo,fr FRA,DF
53,Olivier Veigneau,/en/players/f44d1c08/Olivier-Veigneau,f44d1c08,Olivier-Veigneau,fr FRA,DF
54,Toifilou Maoulida,/en/players/9d0e2252/Toifilou-Maoulida,9d0e2252,Toifilou-Maoulid,fr FRA,FW
55,Serge Gakpé,/en/players/cf4053e2/Serge-Gakpe,cf4053e2,Serge-Gak,tg TOG,"FW,MF"
56,Nicolas Maurice-Belay,/en/players/8a8e4f0c/Nicolas-Maurice-Belay,8a8e4f0c,Nicolas-Maurice-B,fr FRA,"FW,MF"
57,Gerard López,/en/players/403b0279/Gerard-Lopez,403b0279,Gerard-Lopez,es ESP,MF
58,Christian Vieri,/en/players/1abff24a/Christian-Vieri,1abff24a,Christian-Vieri,it ITA,FW
59,Arnaud Lescure,/en/players/046a4c49/Arnaud-Lescure,046a4c49,Arnaud-Lescu,fr FRA,DF
60,Malaury Martin,/en/players/2c3e3260/Malaury-Martin,2c3e3260,Malaury-Marti,fr FRA,MF
61,André Biancarelli,/en/players/4dbbb0fe/Andre-Biancarelli,4dbbb0fe,Andre-Biancarelli,fr FRA,GK
62,Bolívar,/en/players/160520c5/Bolivar,160520c5,Boliv,br BRA,DF
63,Sylvain Monsoreau,/en/players/8aaad440/Sylvain-Monsoreau,8aaad440,Sylvain-Monsoreau,fr FRA,DF
64,Jan Koller,/en/players/f540788d/Jan-Koller,f540788d,Jan-Ko,cz CZE,FW
65,Yaya Touré,/en/players/c204f844/Yaya-Toure,c204f844,Yaya-Tou,ci CIV,MF
66,Jérémy Ménez,/en/players/41976af1/Jeremy-Menez,41976af1,Jeremy-Menez,fr FRA,"FW,MF"
67,Leandro Cufré,/en/players/eac65ec0/Leandro-Cufre,c65ec0,Leandro-Cuf,ar ARG,DF
68,Jerko Leko,/en/players/6f4e22d7/Jerko-Leko,6f4e22d7,Jerko-Leko,hr CRO,MF
69,Frédéric Piquionne,/en/players/62f579c5/Frederic-Piquionne,62f579c5,Frederic-Piquio,fr FRA,FW
70,Gonzalo Vargas,/en/players/f5afe27b/Gonzalo-Vargas,f5afe27b,Gonzalo-Varg,uy URU,FW
71,Massamba Sambou,/en/players/ad9f769b/Massamba-Sambou,d9f769b,Massamba-Sambou,sn SEN,DF
72,Juan Pablo Pino,/en/players/596ba335/Juan-Pablo-Pino,596ba335,Juan-Pablo-Pino,co COL,"FW,MF"
73,Frédéric Nimani,/en/players/698e5cb8/Frederic-Nimani,698e5cb8,Frederic-Nimani,cf CTA,FW
74,Djamel Bakar,/en/players/2c2a312a/Djamel-Bakar,2c2a312a,Djamel-Bak,km COM,"FW,MF"
75,Nenê,/en/players/265ebd37/Nene,265ebd37,N,br BRA,"FW,MF"
76,Adriano,/en/players/e9350581/Adriano,9350581,Adriano,br BRA,DF
77,Vincent Muratori,/en/players/66673812/Vincent-Muratori,66673812,Vincent-Muratori,fr FRA,DF
78,Stéphane Ruffier,/en/players/cac76a72/Stephane-Ruffier,cac76a72,Stephane-Ruffi,fr FRA,GK
79,Jérémy Berthod,/en/players/25e4a7a1/Jeremy-Berthod,25e4a7a1,Jeremy-Berthod,fr FRA,DF
80,Sergio Almirón,/en/players/ce05fadf/Sergio-Almiron,ce05fadf,Sergio-Almiro,ar ARG,MF
81,Fábio Santos,/en/players/d0d786fd/Fabio-Santos,d0d786fd,Fabio-Santo,br BRA,DF
82,Cédric Mongongu,/en/players/13f4ca73/Cedric-Mongongu,13f4ca73,Cedric-Mongongu,cd COD,DF
83,Nacho González,/en/players/53031e02/Nacho-Gonzalez,53031e02,Nacho-Gonzalez,uy URU,MF
84,Steve Pinau,/en/players/287ef07c/Steve-Pinau,287ef07c,Steve-Pinau,fr FRA,FW
85,Park Chu-young,/en/players/d9fa272a/Park-Chu-young,d9fa272a,Park-Chu-young,kr KOR,"FW,MF"
86,Jean-Jacques Gosso,/en/players/63614ee5/Jean-Jacques-Gosso,63614ee5,Jean-Jacques-Gosso,ci CIV,"DF,MF"
87,Dario Šimić,/en/players/c84ddbc4/Dario-Simic,c84ddbc4,Dario-Simic,hr CRO,DF
88,Nicolas Nkoulou,/en/players/93cf32a8/Nicolas-Nkoulou,93cf32a8,Nicolas-Nkoulou,cm CMR,DF
89,Yohan Mollo,/en/players/74950bcc/Yohan-Mollo,74950bcc,Yohan-Mollo,fr FRA,"FW,MF"
90,Nikola Pokrivač,/en/players/7bff80ab/Nikola-Pokrivac,7bff80ab,Nikola-Pokrivac,hr CRO,MF
91,Alejandro Alonso,/en/players/52c2dde2/Alejandro-Alonso,52c2dde2,Alejandro-Alonso,ar ARG,MF
92,Alexandre Licata,/en/players/2b74a23b/Alexandre-Licata,2b74a23b,Alexandre-Licat,fr FRA,FW
93,Igor Lolo,/en/players/8a087695/Igor-Lolo,8a087695,Igor-Lolo,ci CIV,DF
94,Patrick Müller,/en/players/83430692/Patrick-Muller,83430692,Patrick-Mu,ch SUI,DF
95,Yohann Thuram-Ulien,/en/players/d3e78488/Yohann-Thuram-Ulien,d3e78488,Yohann-Thuram-Uli,fr FRA,GK
96,Sani Kaita,/en/players/b3646ef9/Sani-Kaita,b3646ef9,Sani-Kait,ng NGA,MF
97,Kévin Diaz,/en/players/847658ef/Kevin-Diaz,847658ef,Kevin-Diaz,fr FRA,MF
98,Lukman Haruna,/en/players/df1dddfb/Lukman-Haruna,df1dddfb,Lukman-Haru,ng NGA,MF
