2007-2008,Monchengladbach
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Christofer Heimeroth,de GER,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/017917e6/Christofer-Heimeroth,017917e6,Christofer-Heimeroth
Patrick Paauwe,nl NED,"DF,MF",33,33,3,3,"2,880",32.0,6,0,/en/players/0839191a/Patrick-Paauwe,0839191a,Patrick-Paauw
Oliver Neuville,de GER,FW,34,31,8,15,"2,624",29.2,3,0,/en/players/8181d015/Oliver-Neuville,8181d015,Oliver-Neuvi
Alexander Voigt,de GER,DF,33,30,0,0,"2,673",29.7,5,0,/en/players/3357cd1c/Alexander-Voigt,3357cd1c,Alexander-Voigt
Rob Friend,ca CAN,"FW,MF",33,30,2,18,"2,575",28.6,5,1,/en/players/dbbc95e3/Rob-Friend,dbbc95e3,Rob-Friend
Sascha Rösler,de GER,"FW,MF",30,30,2,9,"2,460",27.3,8,0,/en/players/502699c8/Sascha-Rosler,502699c8,Sascha-Ro
Roel Brouwers,nl NED,DF,28,28,0,2,"2,520",28.0,5,1,/en/players/82f61d83/Roel-Brouwers,82f61d83,Roel-Brouw
Tobias Levels,de GER,DF,27,27,0,0,"2,248",25.0,4,0,/en/players/b3e57af1/Tobias-Levels,b3e57af1,Tobias-Lev
Marcel Ndjeng,cm CMR,MF,30,26,11,4,"2,246",25.0,1,1,/en/players/b93ae324/Marcel-Ndjeng,b93ae324,Marcel-Ndjeng
Filip Daems,be BEL,DF,27,25,0,1,"2,295",25.5,3,0,/en/players/90484146/Filip-Daems,90484146,Filip-Daem
Marko Marin,de GER,"FW,MF",31,24,9,4,"2,004",22.3,1,0,/en/players/a022e78c/Marko-Marin,022e78c,Marko-Mari
Steve Gohouri,ci CIV,DF,17,14,1,0,"1,193",13.3,5,0,/en/players/0d058ab8/Steve-Gohouri,0d058ab8,Steve-Gohouri
Soumaila Coulibaly,ml MLI,MF,26,11,3,3,"1,258",14.0,3,0,/en/players/38a1e813/Soumaila-Coulibaly,38a1e813,Soumaila-Coulib
Sharbel Touma,se SWE,"FW,MF",16,7,1,3,701,7.8,1,0,/en/players/9678b6c6/Sharbel-Touma,9678b6c6,Sharbel-Toum
Kasper Bøgelund,dk DEN,DF,7,7,0,0,630,7.0,2,0,/en/players/78d62eb2/Kasper-Bogelund,78d62eb2,Kasper-Bogelund
Sebastian Svärd,dk DEN,MF,11,5,1,0,453,5.0,1,0,/en/players/5a8b64d7/Sebastian-Svard,5a8b64d7,Sebastian-Svard
Thomas Kleine,de GER,DF,8,4,0,2,465,5.2,2,0,/en/players/8c3b0ace/Thomas-Kleine,8c3b0ace,Thomas-Klei
Eugen Polanski,pl POL,MF,9,3,0,0,406,4.5,2,0,/en/players/fb2a63bb/Eugen-Polanski,fb2a63bb,Eugen-Polanski
Johannes van den Bergh,de GER,"DF,MF",8,3,0,0,337,3.7,0,0,/en/players/2009b7f2/Johannes-van-den-Bergh,2009b7f2,Johannes-van-den-Bergh
Roberto Colautti,il ISR,FW,10,1,1,3,257,2.9,0,0,/en/players/74c98e11/Roberto-Colautti,74c98e11,Roberto-Colautti
Nando Rafael,ao ANG,FW,12,1,0,3,249,2.8,1,0,/en/players/44d50502/Nando-Rafael,44d50502,Nando-Raf
Uwe Gospodarek,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/3a684aed/Uwe-Gospodarek,3a684aed,Uwe-Gospodarek
Marvin Compper,de GER,DF,3,0,0,0,50,0.6,1,0,/en/players/3e99c613/Marvin-Compper,3e99c613,Marvin-Com
Sebastian Schachten,de GER,"DF,MF",2,0,0,0,28,0.3,0,0,/en/players/c61651bd/Sebastian-Schachten,c61651bd,Sebastian-Schacht
Alexander Baumjohann,de GER,MF,1,0,0,0,11,0.1,0,0,/en/players/0300e2dc/Alexander-Baumjohann,0300e2dc,Alexander-Baumjoh
Moses Lamidi,de GER,FW,1,0,0,0,6,0.1,0,0,/en/players/c5e9405a/Moses-Lamidi,c5e9405a,Moses-Lamidi
