,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Bruno Carotti,/en/players/39ccde00/Bruno-Carotti,39ccde00,Bruno-Carotti,fr FRA,"DF,MF"
1,Habib Bamogo,/en/players/db50d95f/Habib-Bamogo,db50d95f,Habib-Bamogo,bf BFA,FW
2,Cédric Barbosa,/en/players/21378be8/Cedric-Barbosa,21378be8,Cedric-Barbo,fr FRA,MF
3,Jean-Christophe Rouvière,/en/players/b6456881/Jean-Christophe-Rouviere,b6456881,Jean-Christophe-Rouvi,fr FRA,MF
4,Rudy Riou,/en/players/f27df357/Rudy-Riou,f27df357,Rudy-Riou,fr FRA,GK
5,Valéry Mézague,/en/players/f499aac7/Valery-Mezague,f499aac7,Valery-Mezagu,cm CMR,MF
6,Fodé Mansaré,/en/players/b9236adc/Fode-Mansare,b9236adc,Fode-M,gn GUI,"DF,FW"
7,Guillaume Moullec,/en/players/d3bca664/Guillaume-Moullec,d3bca664,Guillaume-Moullec,fr FRA,"DF,MF"
8,Nenad Džodić,/en/players/b35fe1d6/Nenad-Dzodic,b35fe1d6,Nenad-Dzodic,rs SRB,"DF,MF"
9,Bertrand Robert,/en/players/229cd559/Bertrand-Robert,229cd559,Bertrand-Robert,re REU,"FW,MF"
10,Franck Silvestre,/en/players/8803631b/Franck-Silvestre,8803631b,Franck-Silvest,fr FRA,DF
11,Sébastien Michalowski,/en/players/21920b62/Sebastien-Michalowski,21920b62,Sebastien-Michalowski,fr FRA,"DF,MF"
12,Cyril Ramond,/en/players/104a37a4/Cyril-Ramond,104a37a4,Cyril-Ramond,fr FRA,DF
13,Serge Blanc,/en/players/49b8eeb5/Serge-Blanc,49b8eeb5,Serge-Blanc,fr FRA,DF
14,Marc-Éric Gueï,/en/players/0ef93b51/Marc-Eric-Guei,0ef93b51,Marc-Eric-Guei,ci CIV,FW
15,Geoffrey Doumeng,/en/players/e3ed8be7/Geoffrey-Doumeng,3ed8be7,Geoffrey-Doumeng,fr FRA,MF
16,Víctor Bonilla,/en/players/5e3bd07a/Victor-Bonilla,5e3bd07a,Victor-Boni,co COL,FW
17,Mansour Assoumani,/en/players/ba962670/Mansour-Assoumani,ba962670,Mansour-Assoumani,ml MLI,DF
18,Bill Tchato,/en/players/71b0baa4/Bill-Tchato,71b0baa4,Bill-Tchato,cm CMR,DF
19,Pierre Laigle,/en/players/1f4e7f1b/Pierre-Laigle,1f4e7f1b,Pierre-Laig,fr FRA,"DF,MF"
20,Laurent Pionnier,/en/players/05856228/Laurent-Pionnier,05856228,Laurent-Pionni,fr FRA,GK
21,Julio Colombo,/en/players/60f53530/Julio-Colombo,60f53530,Julio-Colombo,fr FRA,DF
22,Pascal Fugier,/en/players/3cd2e6ac/Pascal-Fugier,3cd2e6ac,Pascal-Fugi,fr FRA,DF
23,Jody Viviani,/en/players/7d74fc84/Jody-Viviani,7d74fc84,Jody-Viviani,fr FRA,GK
24,Jean-Matthieu Descamps,/en/players/37afc22b/Jean-Matthieu-Descamps,37afc22b,Jean-Matthieu-Descam,fr FRA,FW
25,Rui Pataca,/en/players/2c69adae/Rui-Pataca,2c69adae,Rui-Patac,pt POR,FW
27,Abdoulaye Cissé,/en/players/3b6d2558/Abdoulaye-Cisse,3b6d2558,Abdoulaye-Ci,bf BFA,FW
28,Paulo Sérgio,/en/players/2d7b3b03/Paulo-Sergio,2d7b3b03,Paulo-Sergio,pt POR,MF
30,Jérôme Lafourcade,/en/players/9a3a71cc/Jerome-Lafourcade,9a3a71cc,Jerome-Lafourcad,fr FRA,FW
31,Jimmy Mainfroi,/en/players/7532e202/Jimmy-Mainfroi,7532e202,Jimmy-Mainfroi,fr FRA,DF
32,Nicolas Godemèche,/en/players/ef8e1aee/Nicolas-Godemeche,f8e1aee,Nicolas-Godemech,fr FRA,MF
33,Nozomi Hiroyama,/en/players/4ba774e8/Nozomi-Hiroyama,4ba774e8,Nozomi-Hiroyam,jp JPN,MF
34,Mathieu Lafon,/en/players/6a6823b1/Mathieu-Lafon,6a6823b1,Mathieu-Lafo,fr FRA,MF
