Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Bruno Carotti,fr FRA,"DF,MF",33,33,1.0,2.0,2002-2003,39ccde00,Montpellier,"2,907",32.3,11.0,0.0,93.0,4.0,
,Habib Bamogo,bf BFA,FW,33,31,0.0,4.0,2002-2003,db50d95f,Montpellier,"2,647",29.4,5.0,2.0,93.0,62.0,
,Cédric Barbosa,fr FRA,MF,33,29,5.0,4.0,2002-2003,21378be8,Montpellier,"2,737",30.4,9.0,0.0,93.0,4.0,
,Jean-Christophe Rouvière,fr FRA,MF,32,28,0.0,2.0,2002-2003,b6456881,Montpellier,"2,515",27.9,6.0,1.0,93.0,4.0,
,Rudy Riou,fr FRA,GK,28,28,0.0,0.0,2002-2003,f27df357,Montpellier,"2,450",27.2,1.0,1.0,93.0,4.0,
,Valéry Mézague,cm CMR,MF,26,24,1.0,6.0,2002-2003,f499aac7,Montpellier,"2,050",22.8,7.0,3.0,93.0,36.0,
,Fodé Mansaré,gn GUI,"DF,FW",30,22,2.0,4.0,2002-2003,b9236adc,Montpellier,"2,122",23.6,7.0,0.0,93.0,74.0,
,Guillaume Moullec,fr FRA,"DF,MF",21,20,0.0,0.0,2002-2003,d3bca664,Montpellier,"1,784",19.8,2.0,0.0,93.0,4.0,
,Nenad Džodić,rs SRB,"DF,MF",20,20,1.0,0.0,2002-2003,b35fe1d6,Montpellier,"1,619",18.0,5.0,1.0,93.0,28.0,
,Bertrand Robert,re REU,"FW,MF",26,17,3.0,3.0,2002-2003,229cd559,Montpellier,"1,666",18.5,2.0,0.0,93.0,157.0,
,Franck Silvestre,fr FRA,DF,17,17,,3.0,2002-2003,8803631b,Montpellier,"1,530",17.0,5.0,0.0,93.0,4.0,
,Sébastien Michalowski,fr FRA,"DF,MF",19,16,0.0,0.0,2002-2003,21920b62,Montpellier,"1,400",15.6,2.0,1.0,93.0,4.0,
,Cyril Ramond,fr FRA,DF,17,15,1.0,0.0,2002-2003,104a37a4,Montpellier,"1,355",15.1,2.0,0.0,93.0,4.0,
,Serge Blanc,fr FRA,DF,16,15,0.0,0.0,2002-2003,49b8eeb5,Montpellier,"1,309",14.5,7.0,0.0,93.0,4.0,
,Marc-Éric Gueï,ci CIV,FW,20,15,0.0,3.0,2002-2003,0ef93b51,Montpellier,"1,307",14.5,2.0,1.0,93.0,35.0,
,Geoffrey Doumeng,fr FRA,MF,18,15,2.0,2.0,2002-2003,3ed8be7,Montpellier,"1,201",13.3,0.0,0.0,93.0,4.0,
,Víctor Bonilla,co COL,FW,14,12,3.0,0.0,2002-2003,5e3bd07a,Montpellier,984,10.9,2.0,0.0,93.0,19.0,
,Mansour Assoumani,ml MLI,DF,15,11,0.0,1.0,2002-2003,ba962670,Montpellier,"1,159",12.9,1.0,0.0,93.0,12.0,
,Bill Tchato,cm CMR,DF,11,11,0.0,0.0,2002-2003,71b0baa4,Montpellier,962,10.7,3.0,0.0,93.0,36.0,
,Pierre Laigle,fr FRA,"DF,MF",18,10,0.0,0.0,2002-2003,1f4e7f1b,Montpellier,914,10.2,1.0,0.0,93.0,4.0,
,Laurent Pionnier,fr FRA,GK,9,8,0.0,0.0,2002-2003,05856228,Montpellier,783,8.7,1.0,0.0,93.0,4.0,
,Thierry Gathuessi,cm CMR,"DF,MF",9,7,1.0,0.0,2002-2003,b6cf993,Montpellier,683,7.6,4.0,0.0,93.0,36.0,
,Julio Colombo,fr FRA,DF,7,6,0.0,0.0,2002-2003,60f53530,Montpellier,516,5.7,2.0,0.0,93.0,4.0,
,Pascal Fugier,fr FRA,DF,4,2,0.0,0.0,2002-2003,3cd2e6ac,Montpellier,228,2.5,1.0,0.0,93.0,4.0,
,Jody Viviani,fr FRA,GK,3,2,0.0,0.0,2002-2003,7d74fc84,Montpellier,197,2.2,0.0,0.0,93.0,4.0,
,Jean-Matthieu Descamps,fr FRA,FW,6,1,0.0,0.0,2002-2003,37afc22b,Montpellier,170,1.9,0.0,0.0,93.0,4.0,
,Rui Pataca,pt POR,FW,3,1,0.0,0.0,2002-2003,2c69adae,Montpellier,83,0.9,0.0,0.0,93.0,3.0,
,Mickaël Llorente,fr FRA,,2,1,0.0,0.0,2002-2003,b465dc4a,Montpellier,76,0.8,1.0,0.0,93.0,4.0,
,Abdoulaye Cissé,bf BFA,FW,6,0,0.0,1.0,2002-2003,3b6d2558,Montpellier,67,0.7,0.0,0.0,93.0,62.0,
,Paulo Sérgio,pt POR,MF,1,0,0.0,0.0,2002-2003,2d7b3b03,Montpellier,20,0.2,0.0,0.0,93.0,3.0,
,﻿Habib Bamogo,bf BFA,FW,38,36,3.0,16.0,2003-2004,db50d95f,Montpellier,"3,224",35.8,4.0,0.0,93.0,62.0,
,Rudy Riou,fr FRA,GK,31,31,0.0,0.0,2003-2004,f27df357,Montpellier,"2,786",31.0,1.0,1.0,93.0,4.0,
,Guillaume Moullec,fr FRA,"DF,MF",34,29,3.0,2.0,2003-2004,d3bca664,Montpellier,"2,651",29.5,3.0,0.0,93.0,4.0,
,Jean-Christophe Rouvière,fr FRA,MF,30,29,0.0,2.0,2003-2004,b6456881,Montpellier,"2,517",28.0,5.0,0.0,93.0,4.0,
,Bruno Carotti,fr FRA,"DF,MF",27,27,0.0,3.0,2003-2004,39ccde00,Montpellier,"2,284",25.4,7.0,0.0,93.0,4.0,
,Mansour Assoumani,ml MLI,DF,27,23,0.0,1.0,2003-2004,ba962670,Montpellier,"2,150",23.9,10.0,1.0,93.0,12.0,
,Sébastien Michalowski,fr FRA,"DF,MF",24,22,0.0,0.0,2003-2004,21920b62,Montpellier,"1,873",20.8,3.0,0.0,93.0,4.0,
,Nenad Džodić,rs SRB,"DF,MF",24,22,2.0,1.0,2003-2004,b35fe1d6,Montpellier,"1,858",20.6,5.0,2.0,93.0,28.0,
,Pierre Laigle,fr FRA,"DF,MF",22,21,2.0,1.0,2003-2004,1f4e7f1b,Montpellier,"1,763",19.6,2.0,0.0,93.0,4.0,
,Rui Pataca,pt POR,FW,27,20,4.0,8.0,2003-2004,2c69adae,Montpellier,"1,793",19.9,1.0,0.0,93.0,3.0,
,Fodé Mansaré,gn GUI,"DF,FW",29,18,4.0,2.0,2003-2004,b9236adc,Montpellier,"1,772",19.7,2.0,0.0,93.0,74.0,
,Bertrand Robert,re REU,"FW,MF",21,18,3.0,0.0,2003-2004,229cd559,Montpellier,"1,628",18.1,9.0,0.0,93.0,157.0,
,Thierry Gathuessi,cm CMR,"DF,MF",20,16,1.0,0.0,2003-2004,b6cf993,Montpellier,"1,446",16.1,6.0,2.0,93.0,36.0,
,Geoffrey Doumeng,fr FRA,MF,21,13,0.0,0.0,2003-2004,3ed8be7,Montpellier,"1,288",14.3,3.0,0.0,93.0,4.0,
,Jérôme Lafourcade,fr FRA,FW,21,12,0.0,3.0,2003-2004,9a3a71cc,Montpellier,"1,134",12.6,3.0,0.0,93.0,4.0,
,Serge Blanc,fr FRA,DF,13,12,0.0,0.0,2003-2004,49b8eeb5,Montpellier,"1,091",12.1,5.0,0.0,93.0,4.0,
,Valéry Mézague,cm CMR,MF,13,11,1.0,1.0,2003-2004,f499aac7,Montpellier,"1,023",11.4,2.0,1.0,93.0,36.0,
,Jimmy Mainfroi,fr FRA,DF,11,11,0.0,0.0,2003-2004,7532e202,Montpellier,978,10.9,3.0,0.0,93.0,4.0,
,Nicolas Godemèche,fr FRA,MF,13,10,0.0,0.0,2003-2004,f8e1aee,Montpellier,906,10.1,1.0,0.0,93.0,4.0,
,Julio Colombo,fr FRA,DF,10,9,0.0,0.0,2003-2004,60f53530,Montpellier,800,8.9,5.0,0.0,93.0,4.0,
,Cyril Ramond,fr FRA,DF,7,7,0.0,0.0,2003-2004,104a37a4,Montpellier,575,6.4,2.0,0.0,93.0,4.0,
,Nozomi Hiroyama,jp JPN,MF,7,5,0.0,0.0,2003-2004,4ba774e8,Montpellier,404,4.5,0.0,0.0,93.0,54.0,
