2015-2016,Nancy
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Guy N'dy Assembé,cm CMR,GK,36,36,0,0,"3,240",36.0,0,0,/en/players/b41e280e/Guy-Ndy-Assembe,b41e280e,Guy-Ndy-Assemb
Clément Lenglet,fr FRA,DF,34,34,1,2,"2,975",33.1,7,1,/en/players/4f28a6ff/Clement-Lenglet,4f28a6ff,Clement-Lenglet
Julien Cétout,fr FRA,"DF,MF",35,33,3,6,"2,942",32.7,5,0,/en/players/c05557bc/Julien-Cetout,c05557bc,Julien-Cetout
Vincent Muratori,fr FRA,DF,33,33,2,0,"2,840",31.6,4,0,/en/players/66673812/Vincent-Muratori,66673812,Vincent-Muratori
Maurice Dalé,fr FRA,FW,36,31,4,13,"2,787",31.0,3,0,/en/players/7e916030/Maurice-Dale,7e916030,Maurice-D
Youssef Aït Bennasser,ma MAR,MF,33,31,2,1,"2,639",29.3,7,0,/en/players/c46fa34c/Youssef-Ait-Bennasser,c46fa34c,Youssef-Ait-B
Antony Robic,fr FRA,"FW,MF",32,29,2,10,"2,285",25.4,4,0,/en/players/b3ac06d7/Antony-Robic,b3ac06d7,Antony-Robic
Michaël Chrétien,ma MAR,DF,28,28,1,1,"2,473",27.5,1,0,/en/players/28375a19/Michael-Chretien,28375a19,Michael-Chreti
Diallo Guidileye,mr MTN,MF,30,27,3,0,"2,270",25.2,9,0,/en/players/6c4ae57c/Diallo-Guidileye,6c4ae57c,Diallo-Guidi
Benoît Pedretti,fr FRA,MF,33,25,6,0,"2,281",25.3,8,0,/en/players/c1c8eff9/Benoit-Pedretti,c1c8eff9,Benoit-Pedretti
Youssouf Hadji,ma MAR,"FW,MF",33,19,4,9,"1,862",20.7,2,0,/en/players/6ae62163/Youssouf-Hadji,6ae62163,Youssouf-Hadji
Loïc Puyo,fr FRA,"FW,MF",28,18,7,1,"1,579",17.5,2,0,/en/players/bcb98316/Loic-Puyo,bcb98316,Loic-Puyo
Arnaud Lusamba,cd COD,MF,19,13,2,5,"1,297",14.4,4,0,/en/players/54131505/Arnaud-Lusamba,54131505,Arnaud-Lusamb
Alexis Busin,fr FRA,MF,21,10,1,3,"1,037",11.5,1,0,/en/players/247fb715/Alexis-Busin,247fb715,Alexis-Busi
Modou Diagne,sn SEN,DF,11,9,0,0,923,10.3,1,0,/en/players/faf5b61a/Modou-Diagne,faf5b61a,Modou-Diag
Jonathan Iglesias,uy URU,MF,19,9,0,2,909,10.1,3,0,/en/players/639ca1cf/Jonathan-Iglesias,639ca1cf,Jonathan-Iglesi
Karim Coulibaly,fr FRA,MF,15,9,1,1,758,8.4,0,0,/en/players/9761a8c3/Karim-Coulibaly,9761a8c3,Karim-Coulib
Rémi Walter,fr FRA,MF,12,6,0,0,579,6.4,1,0,/en/players/0984c5d5/Remi-Walter,0984c5d5,Remi-Walt
Joffrey Cuffaut,fr FRA,DF,17,5,0,1,646,7.2,3,0,/en/players/f71e34b2/Joffrey-Cuffaut,f71e34b2,Joffrey-Cuffaut
Tobias Badila,cg CGO,DF,8,5,0,1,521,5.8,2,0,/en/players/c0dddddd/Tobias-Badila,c0dddddd,Tobias-Badi
Pape Diakhaté,sn SEN,DF,5,5,0,0,391,4.3,2,0,/en/players/84340e6d/Pape-Diakhate,84340e6d,Pape-Diakhat
Brice Samba,cg CGO,GK,2,2,0,0,180,2.0,0,0,/en/players/60d90c55/Brice-Samba,60d90c55,Brice-Samb
Faitout Maouassa,fr FRA,"DF,MF",4,1,0,1,118,1.3,0,0,/en/players/e54a9890/Faitout-Maouassa,54a9890,Faitout-Maou
Yann Mabella,cg CGO,FW,2,0,0,0,20,0.2,0,0,/en/players/5e4d41f7/Yann-Mabella,5e4d41f7,Yann-Mab
Alexandre Menay,fr FRA,GK,0,0,,,,,,,/en/players/09934e62/Alexandre-Menay,09934e62,Alexandre-M
