Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Gennaro Bracigliano,fr FRA,GK,34,34,0.0,0.0,2005-2006,8e812b0c,Nancy,"3,060",34.0,3.0,0.0,104.0,4.0,
,Pape Diakhaté,sn SEN,DF,33,33,2.0,2.0,2005-2006,84340e6d,Nancy,"2,970",33.0,5.0,0.0,104.0,34.0,
,Pascal Berenguer,fr FRA,MF,35,30,2.0,0.0,2005-2006,9036cb27,Nancy,"2,716",30.2,3.0,0.0,104.0,4.0,
,Michaël Chrétien,ma MAR,DF,32,29,2.0,1.0,2005-2006,28375a19,Nancy,"2,716",30.2,4.0,1.0,104.0,26.0,
,Sébastien Puygrenier,fr FRA,DF,32,28,0.0,1.0,2005-2006,13b1fd46,Nancy,"2,429",27.0,6.0,0.0,104.0,4.0,
,Frédéric Biancalani,fr FRA,DF,31,27,0.0,0.0,2005-2006,581d675e,Nancy,"2,411",26.8,6.0,0.0,104.0,4.0,
,Emmanuel Duchemin,fr FRA,MF,26,25,2.0,1.0,2005-2006,b7a15ac0,Nancy,"2,223",24.7,3.0,0.0,104.0,4.0,
,Benjamin Gavanon,fr FRA,MF,28,24,2.0,0.0,2005-2006,b5835a51,Nancy,"2,120",23.6,6.0,0.0,104.0,4.0,
,Adrian Sarkissian,uy URU,MF,33,24,5.0,2.0,2005-2006,b1d3efbe,Nancy,"1,975",21.9,1.0,0.0,104.0,8.0,
,Cédric Lécluse,fr FRA,DF,27,23,0.0,1.0,2005-2006,b3d0225a,Nancy,"2,070",23.0,7.0,2.0,104.0,4.0,
,André Luiz,br BRA,DF,29,20,0.0,3.0,2005-2006,1cebf8fa,Nancy,"1,781",19.8,4.0,1.0,104.0,2.0,
,Monsef Zerka,ma MAR,"FW,MF",27,19,2.0,6.0,2005-2006,b31bd1cb,Nancy,"1,881",20.9,4.0,0.0,104.0,26.0,
,Jonathan Brison,fr FRA,"DF,MF",30,19,3.0,3.0,2005-2006,c0bd9792,Nancy,"1,865",20.7,2.0,1.0,104.0,4.0,
,Kim,br BRA,"FW,MF",23,17,0.0,1.0,2005-2006,8c02c91,Nancy,"1,518",16.9,3.0,1.0,104.0,2.0,
,Élie Kroupi,ci CIV,FW,22,15,1.0,9.0,2005-2006,56d229af,Nancy,"1,156",12.8,2.0,1.0,104.0,35.0,
,Adaílton,br BRA,DF,16,14,1.0,0.0,2005-2006,ce7c48a9,Nancy,"1,021",11.3,6.0,0.0,104.0,2.0,
,Gaston Curbelo,fr FRA,FW,14,11,0.0,3.0,2005-2006,4404a0d2,Nancy,"1,064",11.8,3.0,0.0,104.0,4.0,
,Landry N'Guémo,cm CMR,"DF,MF",14,9,0.0,0.0,2005-2006,84d036fd,Nancy,852,9.5,0.0,0.0,104.0,36.0,
,Manuel da Costa,ma MAR,DF,10,7,0.0,0.0,2005-2006,50e14b3c,Nancy,658,7.3,2.0,0.0,104.0,26.0,
,Olivier Sorin,fr FRA,GK,4,4,0.0,0.0,2005-2006,56d43c27,Nancy,360,4.0,0.0,0.0,104.0,4.0,
,Abdoulaye Khouma Keita,sn SEN,DF,3,3,0.0,0.0,2005-2006,1004743a,Nancy,185,2.1,1.0,0.0,104.0,34.0,
,Gergely Rudolf,hu HUN,FW,5,1,0.0,0.0,2005-2006,60eacf8b,Nancy,151,1.7,1.0,0.0,104.0,87.0,
,Basile Camerling,fr FRA,FW,5,1,0.0,0.0,2005-2006,cefb91ce,Nancy,125,1.4,0.0,0.0,104.0,4.0,
,Dagui Bakari,ci CIV,FW,1,1,0.0,0.0,2005-2006,6aa8b491,Nancy,90,1.0,0.0,0.0,104.0,35.0,
,Romain Chouleur,fr FRA,MF,3,0,0.0,0.0,2005-2006,f59559ed,Nancy,58,0.6,1.0,0.0,104.0,4.0,
,Patrick N'Tolla,cm CMR,DF,1,0,,0.0,2005-2006,729daee7,Nancy,20,0.2,0.0,0.0,104.0,36.0,
,﻿Michaël Chrétien,ma MAR,DF,35,33,1.0,2.0,2006-2007,28375a19,Nancy,"2,954",32.8,1.0,1.0,104.0,26.0,
,Benjamin Gavanon,fr FRA,MF,36,33,8.0,8.0,2006-2007,b5835a51,Nancy,"2,921",32.5,3.0,0.0,104.0,4.0,
,Pape Diakhaté,sn SEN,DF,33,31,0.0,0.0,2006-2007,84340e6d,Nancy,"2,750",30.6,12.0,1.0,104.0,34.0,
,Sébastien Puygrenier,fr FRA,DF,30,30,0.0,6.0,2006-2007,13b1fd46,Nancy,"2,689",29.9,7.0,0.0,104.0,4.0,
,Gaston Curbelo,fr FRA,FW,35,28,2.0,3.0,2006-2007,4404a0d2,Nancy,"2,645",29.4,7.0,1.0,104.0,4.0,
,David Sauget,fr FRA,DF,31,26,0.0,2.0,2006-2007,139db2d0,Nancy,"2,368",26.3,3.0,0.0,104.0,4.0,
