2018-2019,Nantes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Valentin Rongier,fr FRA,MF,36,36,5,4,"3,226",35.8,3,0,/en/players/ed45c4a5/Valentin-Rongier,d45c4a5,Valentin-Rongi
Diego Carlos,br BRA,DF,35,35,0,1,"3,148",35.0,8,0,/en/players/b4a014b1/Diego-Carlos,b4a014b1,Diego-Carlo
Abdoulaye Touré,fr FRA,MF,34,30,1,3,"2,749",30.5,4,1,/en/players/ef7cd87a/Abdoulaye-Toure,f7cd87a,Abdoulaye-Tou
Lucas Lima,br BRA,"DF,FW",31,28,4,0,"2,496",27.7,6,0,/en/players/0f52f925/Lucas-Lima,0f52f925,Lucas-Lim
Ciprian Tătărușanu,ro ROU,GK,27,27,0,0,"2,390",26.6,0,0,/en/players/b056e3da/Ciprian-Tatarusanu,b056e3da,Ciprian-Tatarusanu
Abdul Majeed Waris,gh GHA,"FW,MF",33,25,3,5,"2,246",25.0,3,0,/en/players/46907171/Abdul-Majeed-Waris,46907171,Abdul-Majeed-Wari
Nicolas Pallois,fr FRA,DF,24,24,0,2,"2,160",24.0,8,0,/en/players/779847d6/Nicolas-Pallois,779847d6,Nicolas-Palloi
Enock Kwateng,fr FRA,DF,30,22,1,0,"2,040",22.7,4,0,/en/players/4bf69118/Enock-Kwateng,4bf69118,Enock-Kwateng
Kalifa Coulibaly,ml MLI,FW,32,19,2,8,"1,751",19.5,6,1,/en/players/9980269a/Kalifa-Coulibaly,9980269a,Kalifa-Coulib
Samuel Moutoussamy,cd COD,"MF,FW",28,19,3,2,"1,648",18.3,0,0,/en/players/af0c835b/Samuel-Moutoussamy,f0c835b,Samuel-Moutoussam
Andrei Girotto,br BRA,MF,20,18,0,2,"1,475",16.4,6,3,/en/players/3befc2b6/Andrei-Girotto,3befc2b6,Andrei-Girotto
Emiliano Sala,ar ARG,FW,19,16,2,12,"1,369",15.2,0,0,/en/players/5d59e0df/Emiliano-Sala,5d59e0df,Emiliano-S
Fábio,br BRA,"DF,FW",20,15,2,0,"1,276",14.2,4,1,/en/players/bc7b4580/Fabio,bc7b4580,Fabio
Gabriel Boschilia,br BRA,"MF,FW",29,14,4,4,"1,319",14.7,1,0,/en/players/e90af77c/Gabriel-Boschilia,90af77c,Gabriel-Boschili
Charles Traore,ml MLI,"DF,FW",13,13,0,0,"1,163",12.9,3,0,/en/players/de488e56/Charles-Traore,de488e56,Charles-Trao
Anthony Limbombe,be BEL,"FW,MF",29,12,1,1,"1,237",13.7,2,0,/en/players/ccee698e/Anthony-Limbombe,ccee698e,Anthony-Limbomb
Rene Krhin,si SVN,MF,16,12,0,0,"1,057",11.7,2,0,/en/players/9a506145/Rene-Krhin,9a506145,Rene-Krhi
Maxime Dupé,fr FRA,GK,11,10,0,0,940,10.4,1,0,/en/players/0e12089d/Maxime-Dupe,0e12089d,Maxime-Du
Edgar Ié,pt POR,DF,9,9,0,0,776,8.6,2,0,/en/players/3767b3b7/Edgar-Ie,3767b3b7,Edgar-I
Lucas Evangelista,br BRA,"MF,FW",14,9,0,1,720,8.0,0,0,/en/players/5f4ce4b6/Lucas-Evangelista,5f4ce4b6,Lucas-Evangelist
Matt Miazga,us USA,DF,8,8,0,0,720,8.0,5,0,/en/players/9fc0f253/Matt-Miazga,9fc0f253,Matt-Miazg
Kara Mbodji,sn SEN,DF,6,6,0,0,506,5.6,0,0,/en/players/8325870c/Kara-Mbodji,8325870c,Kara-Mbodji
Valentin Eysseric,fr FRA,"MF,FW",5,3,0,1,209,2.3,1,0,/en/players/ae82fa48/Valentin-Eysseric,82fa48,Valentin-Eysseric
Abdoulaye Dabo,fr FRA,"MF,FW",2,2,0,0,116,1.3,0,0,/en/players/797f6070/Abdoulaye-Dabo,797f6070,Abdoulaye-Dabo
Randal Kolo Muani,fr FRA,FW,6,1,0,0,122,1.4,1,0,/en/players/c0b3669f/Randal-Kolo-Muani,c0b3669f,Randal-Kolo-Muani
Thomas Basila,fr FRA,DF,2,1,0,0,92,1.0,0,0,/en/players/65391fa7/Thomas-Basila,65391fa7,Thomas-Basi
Koffi Djidji,ci CIV,DF,1,1,0,0,90,1.0,0,0,/en/players/933d3b51/Koffi-Djidji,933d3b51,Koffi-Djidji
Alexandre Olliero,fr FRA,GK,1,1,0,0,90,1.0,0,0,/en/players/c977ef13/Alexandre-Olliero,c977ef13,Alexandre-Olliero
Anthony Walongwa,cd COD,DF,1,1,0,0,90,1.0,0,0,/en/players/eb78322b/Anthony-Walongwa,b78322b,Anthony-Walongw
Imran Louza,ma MAR,MF,1,1,0,0,88,1.0,1,0,/en/players/e1df6989/Imran-Louza,1df6989,Imran-Louz
Antonio Mance,hr CRO,FW,5,0,0,0,50,0.6,1,0,/en/players/171bf11d/Antonio-Mance,171bf11d,Antonio-Manc
Elie Youan,fr FRA,FW,1,0,0,0,19,0.2,0,0,/en/players/698b37b8/Elie-Youan,698b37b8,Elie-You
Alexis Alegue,fr FRA,MF,1,0,0,0,5,0.1,0,0,/en/players/0f4c0bad/Alexis-Alegue,0f4c0bad,Alexis-Alegu
Josué Homawoo,fr FRA,DF,0,0,,,,,,,/en/players/fa060e71/Josue-Homawoo,fa060e71,Josue-Homawoo
Percy Prado,pe PER,MF,0,0,,,,,,,/en/players/9bb0b9f1/Percy-Prado,9bb0b9f1,Percy-Prado
