Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿José Luís Vidigal,pt POR,MF,33,33,0.0,5.0,2002-2003,/en/players/10011693/Jose-Luis-Vidigal,10011693,Napoli,"2,970",33.0,8.0,0.0,190,3.0,20245,Napoli
,Antonio Bocchetti,it ITA,DF,35,33,1.0,1.0,2002-2003,/en/players/29e679e1/Antonio-Bocchetti,29e679e1,Napoli,"2,881",32.0,6.0,0.0,190,9.0,20042,Napoli
,Mauro Bonomi,it ITA,DF,32,31,0.0,1.0,2002-2003,/en/players/449d5f83/Mauro-Bonomi,449d5f83,Napoli,"2,824",31.4,12.0,1.0,190,9.0,23087,Napoli
,Davide Dionigi,it ITA,MF,31,29,5.0,18.0,2002-2003,/en/players/83dc0b9c/Davide-Dionigi,83dc0b9c,Napoli,"2,583",28.7,4.0,0.0,190,9.0,21487,Napoli
,Francesco Mancini,it ITA,GK,28,27,0.0,0.0,2002-2003,/en/players/6edcd2db/Francesco-Mancini,6edcd2db,Napoli,"2,380",26.4,1.0,0.0,190,9.0,23088,Napoli
,Francesco Baldini,it ITA,DF,25,24,0.0,1.0,2002-2003,/en/players/0d796e28/Francesco-Baldini,0d796e28,Napoli,"2,122",23.6,2.0,0.0,190,9.0,23089,Napoli
,Roberto Stellone,it ITA,FW,27,24,3.0,8.0,2002-2003,/en/players/72f23b97/Roberto-Stellone,72f23b97,Napoli,"2,058",22.9,3.0,0.0,190,9.0,21478,Napoli
,Gonzalo Martínez,co COL,DF,20,20,3.0,0.0,2002-2003,/en/players/66b813e6/Gonzalo-Martinez,66b813e6,Napoli,"1,724",19.2,3.0,0.0,190,19.0,20234,Napoli
,Emanuele Troise,it ITA,DF,23,20,0.0,0.0,2002-2003,/en/players/da129c1e/Emanuele-Troise,da129c1e,Napoli,"1,722",19.1,4.0,0.0,190,9.0,21035,Napoli
,Dario Marcolin,it ITA,MF,19,19,2.0,0.0,2002-2003,/en/players/c20a2842/Dario-Marcolin,c20a2842,Napoli,"1,656",18.4,4.0,0.0,190,9.0,21735,Napoli
,Rubens Pasino,it ITA,MF,19,17,5.0,0.0,2002-2003,/en/players/d5a24f81/Rubens-Pasino,d5a24f81,Napoli,"1,466",16.3,0.0,0.0,190,9.0,21186,Napoli
,Montezine,qa QAT,MF,27,15,6.0,2.0,2002-2003,/en/players/01f66113/Montezine,01f66113,Napoli,"1,378",15.3,3.0,0.0,190,113.0,23090,Napoli
,Maurizio D'Angelo,it ITA,DF,15,15,0.0,0.0,2002-2003,/en/players/7ee9c38a/Maurizio-DAngelo,7ee9c38a,Napoli,"1,269",14.1,5.0,1.0,190,9.0,20383,Napoli
,Abdelilah Saber,ma MAR,DF,19,14,0.0,1.0,2002-2003,/en/players/8fb4fb96/Abdelilah-Saber,8fb4fb96,Napoli,"1,193",13.3,4.0,0.0,190,26.0,21951,Napoli
,Alberto Savino,it ITA,DF,14,14,0.0,0.0,2002-2003,/en/players/824a769d/Alberto-Savino,824a769d,Napoli,"1,126",12.5,3.0,1.0,190,9.0,22137,Napoli
,Antonio Floro Flores,it ITA,FW,32,12,4.0,3.0,2002-2003,/en/players/d6846501/Antonio-Floro-Flores,d6846501,Napoli,"1,298",14.4,1.0,0.0,190,9.0,5035,Napoli
,Francesco Montervino,it ITA,MF,16,12,0.0,0.0,2002-2003,/en/players/7efa108b/Francesco-Montervino,7efa108b,Napoli,"1,150",12.8,4.0,0.0,190,9.0,22343,Napoli
,David Sesa,ch SUI,"FW,MF",18,11,1.0,2.0,2002-2003,/en/players/85aadde2/David-Sesa,85aadde2,Napoli,"1,107",12.3,1.0,0.0,190,39.0,23091,Napoli
,Claudio Husaín,ar ARG,MF,11,11,0.0,0.0,2002-2003,/en/players/d87e872e/Claudio-Husain,d87e872e,Napoli,893,9.9,5.0,0.0,190,5.0,23092,Napoli
,Claudio Ferrarese,it ITA,MF,14,10,1.0,0.0,2002-2003,/en/players/d1d96205/Claudio-Ferrarese,d1d96205,Napoli,"1,011",11.2,1.0,1.0,190,9.0,21733,Napoli
,Emanuele Manitta,it ITA,GK,8,8,0.0,0.0,2002-2003,/en/players/be5bf625/Emanuele-Manitta,be5bf625,Napoli,716,8.0,0.0,0.0,190,9.0,21051,Napoli
,Domenico Cristiano,it ITA,MF,11,6,0.0,0.0,2002-2003,/en/players/d1d8b250/Domenico-Cristiano,d1d8b250,Napoli,558,6.2,5.0,1.0,190,9.0,22760,Napoli
,Matteo Villa,it ITA,DF,4,4,0.0,0.0,2002-2003,/en/players/6f295477/Matteo-Villa,6f295477,Napoli,324,3.6,1.0,0.0,190,9.0,23093,Napoli
,Mariano Stendardo,it ITA,DF,8,4,0.0,0.0,2002-2003,/en/players/7f1c3622/Mariano-Stendardo,7f1c3622,Napoli,313,3.5,1.0,1.0,190,9.0,22929,Napoli
,Marco Storari,it ITA,GK,4,3,0.0,0.0,2002-2003,/en/players/fb5eb6e0/Marco-Storari,fb5eb6e0,Napoli,334,3.7,0.0,0.0,190,9.0,4131,Napoli
,Marco Quadrini,it ITA,DF,6,2,0.0,0.0,2002-2003,/en/players/ba24f061/Marco-Quadrini,ba24f061,Napoli,289,3.2,2.0,1.0,190,9.0,23098,Napoli
,Massimo Russo,,,4,0,0.0,0.0,2002-2003,No detected,,Napoli,84,0.9,0.0,0.0,190,,90884,Napoli
,Vincenzo Platone,,,2,0,0.0,0.0,2002-2003,No detected,,Napoli,35,0.4,0.0,0.0,190,,90885,Napoli
,Nicola Mancino,,,1,0,0.0,0.0,2002-2003,No detected,,Napoli,19,0.2,0.0,0.0,190,,90886,Napoli
,Raffaele Pianese,,,2,0,0.0,0.0,2002-2003,/en/players/578ff789/Raffaele-Pianese,578ff789,Napoli,18,0.2,0.0,0.0,190,,90887,Napoli
,Carlos Pavón,hn HON,FW,1,0,0.0,0.0,2002-2003,/en/players/9f671024/Carlos-Pavon,9f671024,Napoli,13,0.1,0.0,0.0,190,107.0,23094,Napoli
,Raffaele Gragnaniello,it ITA,GK,1,0,0.0,0.0,2002-2003,/en/players/63f12568/Raffaele-Gragnaniello,63f12568,Napoli,4,0.0,0.0,0.0,190,9.0,23095,Napoli
,﻿Emanuele Manitta,it ITA,GK,41,41,0.0,0.0,2003-2004,/en/players/be5bf625/Emanuele-Manitta,be5bf625,Napoli,"3,671",40.8,1.0,0.0,190,9.0,21051,Napoli
,Vittorio Tosto,it ITA,DF,38,38,2.0,5.0,2003-2004,/en/players/7ac92ed1/Vittorio-Tosto,7ac92ed1,Napoli,"3,234",35.9,4.0,0.0,190,9.0,21326,Napoli
,Marco Zamboni,it ITA,DF,37,36,5.0,3.0,2003-2004,/en/players/b055e962/Marco-Zamboni,b055e962,Napoli,"3,281",36.5,2.0,1.0,190,9.0,21483,Napoli
,Davide Dionigi,it ITA,MF,32,32,2.0,8.0,2003-2004,/en/players/83dc0b9c/Davide-Dionigi,83dc0b9c,Napoli,"2,515",27.9,6.0,0.0,190,9.0,21487,Napoli
,Daniele Portanova,it ITA,DF,31,30,1.0,0.0,2003-2004,/en/players/19dee7dd/Daniele-Portanova,19dee7dd,Napoli,"2,715",30.2,6.0,0.0,190,9.0,21070,Napoli
,Mauro Bonomi,it ITA,DF,30,30,0.0,0.0,2003-2004,/en/players/449d5f83/Mauro-Bonomi,449d5f83,Napoli,"2,670",29.7,5.0,0.0,190,9.0,23087,Napoli
,Andrea Bernini,it ITA,MF,32,30,0.0,1.0,2003-2004,/en/players/3e9454d8/Andrea-Bernini,3e9454d8,Napoli,"2,535",28.2,8.0,0.0,190,9.0,20890,Napoli
,Nicola Zanini,it ITA,MF,36,28,1.0,5.0,2003-2004,/en/players/40cbc47c/Nicola-Zanini,40cbc47c,Napoli,"2,260",25.1,2.0,0.0,190,9.0,22779,Napoli
,José Luís Vidigal,pt POR,MF,28,26,0.0,0.0,2003-2004,/en/players/10011693/Jose-Luis-Vidigal,10011693,Napoli,"2,298",25.5,7.0,0.0,190,3.0,20245,Napoli
,Massimo Carrera,it ITA,DF,26,25,0.0,0.0,2003-2004,/en/players/8e09a712/Massimo-Carrera,8e09a712,Napoli,"2,110",23.4,1.0,0.0,190,9.0,21606,Napoli
,Dario Marcolin,it ITA,MF,28,24,0.0,0.0,2003-2004,/en/players/c20a2842/Dario-Marcolin,c20a2842,Napoli,"2,062",22.9,4.0,1.0,190,9.0,21735,Napoli
,Cataldo Montesanto,it ITA,MF,27,22,0.0,0.0,2003-2004,/en/players/7cd036ad/Cataldo-Montesanto,7cd036ad,Napoli,"1,895",21.1,9.0,0.0,190,9.0,22754,Napoli
,Alessandro Del Grosso,it ITA,DF,19,17,0.0,1.0,2003-2004,/en/players/70747da7/Alessandro-Del-Grosso,70747da7,Napoli,"1,541",17.1,1.0,0.0,190,9.0,22993,Napoli
