2010-2011,Newcastle-United
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿José Enrique,es ESP,DF,36,36,1,0,"3,123",34.7,5,0,/en/players/d56364d5/Jose-Enrique,d56364d5,Jose-Enriqu
Fabricio Coloccini,ar ARG,"DF,MF",35,35,0,2,"3,081",34.2,3,1,/en/players/78b3399f/Fabricio-Coloccini,78b3399f,Fabricio-Coloccini
Jonás Gutiérrez,ar ARG,MF,37,34,4,3,"2,973",33.0,5,0,/en/players/816fd91c/Jonas-Gutierrez,816fd91c,Jonas-Gutierrez
Joey Barton,eng ENG,MF,32,32,9,4,"2,877",32.0,7,0,/en/players/93bfa675/Joey-Barton,93bfa675,Joey-Barto
Danny Simpson,eng ENG,DF,30,30,0,0,"2,685",29.8,4,0,/en/players/3201b03d/Danny-Simpson,3201b03d,Danny-Simpso
Kevin Nolan,eng ENG,MF,30,30,1,12,"2,651",29.5,10,0,/en/players/3d307105/Kevin-Nolan,3d307105,Kevin-No
Mike Williamson,eng ENG,DF,29,28,1,0,"2,565",28.5,5,0,/en/players/98fbb38d/Mike-Williamson,98fbb38d,Mike-Williamso
Cheick Tioté,ci CIV,MF,26,26,1,1,"2,308",25.6,14,0,/en/players/e1270968/Cheick-Tiote,1270968,Cheick-Tiot
Shola Ameobi,ng NGA,FW,28,21,3,6,"1,752",19.5,2,0,/en/players/e79a368b/Shola-Ameobi,79a368b,Shola-Ameobi
Tim Krul,nl NED,GK,21,20,0,0,"1,856",20.6,0,0,/en/players/f23f9d20/Tim-Krul,f23f9d20,Tim-Kru
Andy Carroll,eng ENG,FW,19,18,4,11,"1,625",18.1,4,0,/en/players/b581987a/Andy-Carroll,b581987a,Andy-Carro
Steve Harper,eng ENG,GK,18,18,0,0,"1,564",17.4,0,0,/en/players/a98f1d52/Steve-Harper,98f1d52,Steve-H
Peter Løvenkrands,dk DEN,"FW,MF",25,18,3,6,"1,451",16.1,0,0,/en/players/609f6984/Peter-Lovenkrands,609f6984,Peter-Lovenkrand
Steven Taylor,eng ENG,DF,14,12,1,3,"1,008",11.2,2,0,/en/players/9f9ba8ca/Steven-Taylor,9f9ba8ca,Steven-Taylo
Danny Guthrie,eng ENG,MF,14,11,1,0,949,10.5,3,0,/en/players/fff10a46/Danny-Guthrie,fff10a46,Danny-Guthri
Wayne Routledge,eng ENG,"FW,MF",17,10,1,0,996,11.1,0,0,/en/players/1d387eee/Wayne-Routledge,1d387eee,Wayne-Routledg
James Perch,eng ENG,"DF,MF",13,9,0,0,877,9.7,6,0,/en/players/c461de51/James-Perch,c461de51,James-Perch
Leon Best,ie IRL,FW,11,9,0,6,741,8.2,0,0,/en/players/0780ab75/Leon-Best,0780ab75,Leon-Best
Alan Smith,eng ENG,"FW,MF",11,7,0,0,580,6.4,3,0,/en/players/fdac06ea/Alan-Smith,fdac06ea,Alan-Smith
Sol Campbell,eng ENG,"DF,FW",7,4,0,0,408,4.5,1,0,/en/players/3e3b2fbd/Sol-Campbell,3e3b2fbd,Sol-Campb
Shane Ferguson,nir NIR,"DF,MF",7,3,0,0,309,3.4,0,0,/en/players/a0f6ddc3/Shane-Ferguson,0f6ddc3,Shane-Ferguso
Ryan Taylor,eng ENG,"DF,MF",5,3,1,0,277,3.1,0,1,/en/players/5c6dd7bc/Ryan-Taylor,5c6dd7bc,Ryan-Taylo
Hatem Ben Arfa,fr FRA,"FW,MF",4,3,0,1,168,1.9,0,0,/en/players/74dc806c/Hatem-Ben-Arfa,74dc806c,Hatem-Ben-Arf
Nile Ranger,eng ENG,FW,24,1,1,0,588,6.5,2,0,/en/players/161e95ac/Nile-Ranger,161e95ac,Nile-Rang
Stephen Ireland,ie IRL,MF,2,0,0,0,51,0.6,0,0,/en/players/bcf30f17/Stephen-Ireland,bcf30f17,Stephen-Ireland
Kazenga LuaLua,cd COD,"FW,MF",2,0,0,0,49,0.5,0,0,/en/players/d732d28a/Kazenga-LuaLua,d732d28a,Kazenga-LuaLu
Shefki Kuqi,fi FIN,FW,6,0,0,0,26,0.3,0,0,/en/players/1e05027f/Shefki-Kuqi,1e05027f,Shefki-Kuqi
Xisco,es ESP,FW,2,0,1,0,22,0.2,0,0,/en/players/d2790f7a/Xisco,d2790f7a,Xisco
Sammy Ameobi,eng ENG,"FW,MF",1,0,0,0,9,0.1,0,0,/en/players/acd61628/Sammy-Ameobi,cd61628,Sammy-Ameobi
Dan Gosling,eng ENG,"DF,MF",1,0,0,0,1,0.0,0,0,/en/players/7fec31a0/Dan-Gosling,7fec31a0,Dan-Gosling
