2018-2019,Nimes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Paul Bernardoni,fr FRA,GK,38,38,0,0,"3,420",38.0,0,0,/en/players/28dabd43/Paul-Bernardoni,28dabd43,Paul-Bernardoni
Renaud Ripart,fr FRA,"FW,DF",38,34,4,8,"3,006",33.4,2,0,/en/players/beae3a73/Renaud-Ripart,beae3a73,Renaud-Ripart
Anthony Briançon,fr FRA,DF,33,33,2,2,"2,924",32.5,9,1,/en/players/16324e1d/Anthony-Briancon,16324e1d,Anthony-Brianco
Téji Savanier,fr FRA,MF,32,32,14,6,"2,864",31.8,6,1,/en/players/6bde367b/Teji-Savanier,6bde367b,Teji-Savani
Denis Bouanga,ga GAB,"MF,FW",35,29,2,8,"2,633",29.3,5,0,/en/players/0b0cbe5b/Denis-Bouanga,0b0cbe5b,Denis-Bouang
Sada Thioub,sn SEN,"MF,FW",38,27,5,3,"2,476",27.5,3,0,/en/players/f4bc42b1/Sada-Thioub,f4bc42b1,Sada-Thioub
Faitout Maouassa,fr FRA,DF,27,25,1,0,"2,137",23.7,2,1,/en/players/e54a9890/Faitout-Maouassa,54a9890,Faitout-Maou
Antonin Bobichon,fr FRA,MF,30,24,2,7,"2,153",23.9,2,0,/en/players/7d937aa1/Antonin-Bobichon,7d937aa1,Antonin-Bobicho
Sofiane Alakouch,ma MAR,DF,25,23,0,1,"1,895",21.1,4,0,/en/players/5314e067/Sofiane-Alakouch,5314e067,Sofiane-Alakouch
Jordan Ferri,fr FRA,MF,24,21,1,2,"1,874",20.8,5,0,/en/players/375622c5/Jordan-Ferri,375622c5,Jordan-Ferri
Theo Valls,fr FRA,MF,31,20,0,0,"1,770",19.7,2,0,/en/players/c8090cb3/Theo-Valls,c8090cb3,Theo-V
Loïck Landre,fr FRA,DF,22,19,0,3,"1,591",17.7,6,1,/en/players/08082af0/Loick-Landre,08082af0,Loick-Land
Hervé Lybohy,ne NIG,DF,17,15,0,2,"1,480",16.4,3,0,/en/players/dc709ab5/Herve-Lybohy,dc709ab5,Herve-Lyboh
Baptiste Guillaume,be BEL,FW,24,15,1,2,"1,183",13.1,4,0,/en/players/9453d2f4/Baptiste-Guillaume,9453d2f4,Baptiste-Guillaum
Gaëtan Paquiez,fr FRA,DF,20,14,0,0,"1,329",14.8,5,0,/en/players/475583ff/Gaetan-Paquiez,475583ff,Gaetan-Paquiez
Umut Bozok,tr TUR,FW,25,14,3,2,"1,235",13.7,1,0,/en/players/6e2c94ad/Umut-Bozok,6e2c94ad,Umut-Bozok
Florian Miguel,fr FRA,DF,13,12,1,0,"1,117",12.4,2,1,/en/players/b66d1d8a/Florian-Miguel,b66d1d8a,Florian-Migu
Rachid Alioui,ma MAR,FW,27,11,0,5,"1,252",13.9,1,0,/en/players/bdedd861/Rachid-Alioui,bdedd861,Rachid-Alioui
Mustapha Diallo,sn SEN,MF,7,6,1,0,455,5.1,5,0,/en/players/6c6ecdd4/Mustapha-Diallo,6c6ecdd4,Mustapha-Diallo
Clément Depres,fr FRA,FW,17,4,0,4,441,4.9,1,0,/en/players/e53ab10b/Clement-Depres,53ab10b,Clement-D
Féthi Harek,dz ALG,DF,3,2,0,0,177,2.0,1,0,/en/players/d880dc16/Fethi-Harek,d880dc16,Fethi-Harek
Pierrick Valdivia,fr FRA,MF,2,0,0,0,31,0.3,0,0,/en/players/e562a02e/Pierrick-Valdivia,562a02e,Pierrick-Valdivi
Théo Sainte-Luce,fr FRA,MF,1,0,0,0,1,0.0,0,0,/en/players/93c942fb/Theo-Sainte-Luce,93c942fb,Theo-Sainte-Luc
Sami Ben Amar,ma MAR,FW,0,0,,,,,,,/en/players/c05d65d1/Sami-Ben-Amar,c05d65d1,Sami-Ben-Am
Lucas Buadés,fr FRA,MF,0,0,,,,,,,/en/players/f9921b7f/Lucas-Buades,f9921b7f,Lucas-Buad
Kelyan Guessoum,fr FRA,DF,0,0,,,,,,,/en/players/fe296c72/Kelyan-Guessoum,fe296c72,Kelyan-Guessoum
Abdel Malik Hsissane,fr FRA,MF,0,0,,,,,,,/en/players/d9f58d33/Abdel-Malik-Hsissane,d9f58d33,Abdel-Malik-Hsi
Martin Sourzac,fr FRA,GK,0,0,,,,,,,/en/players/f26dd9f8/Martin-Sourzac,f26dd9f8,Martin-Sourzac
Baptiste Valette,fr FRA,GK,0,0,,,,,,,/en/players/7b92c092/Baptiste-Valette,7b92c092,Baptiste-Valett
Panagiotis Vlachodimos,gr GRE,"FW,MF",0,0,,,,,,,/en/players/eb68e86c/Panagiotis-Vlachodimos,b68e86c,Panagiotis-Vlachodimo
