2009-2010,Nimes
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mehdi Mostefa,dz ALG,"DF,MF",37,37,5,2,"3,270",36.3,6,0,/en/players/b2a138bc/Mehdi-Mostefa,b2a138bc,Mehdi-Mostef
Nicolas Puydebois,fr FRA,GK,32,32,0,0,"2,880",32.0,1,0,/en/players/d7ee9f48/Nicolas-Puydebois,d7ee9f48,Nicolas-Puydeboi
Benoît Poulain,fr FRA,"DF,MF",32,32,0,0,"2,743",30.5,8,0,/en/players/d28b8f40/Benoit-Poulain,d28b8f40,Benoit-Poulai
Miodrag Stošić,rs SRB,DF,31,31,2,2,"2,723",30.3,7,1,/en/players/c7ea37a8/Miodrag-Stosic,c7ea37a8,Miodrag-Stosic
Jonathan Ayité,tg TOG,FW,34,31,0,11,"2,652",29.5,4,1,/en/players/5e887d66/Jonathan-Ayite,5e887d66,Jonathan-Ayit
Jean-Jacques Mandrichi,fr FRA,FW,35,28,2,10,"2,440",27.1,4,0,/en/players/3427a00c/Jean-Jacques-Mandrichi,3427a00c,Jean-Jacques-Mandrichi
Johan Cavalli,fr FRA,MF,29,28,0,0,"2,170",24.1,6,2,/en/players/efa4038e/Johan-Cavalli,fa4038e,Johan-Cavalli
Benjamin Moukandjo,cm CMR,"FW,MF",31,26,2,3,"2,298",25.5,1,0,/en/players/e0312377/Benjamin-Moukandjo,0312377,Benjamin-Moukandjo
Sadio Sow,sn SEN,MF,32,23,2,0,"2,094",23.3,3,0,/en/players/47f73ae1/Sadio-Sow,47f73ae1,Sadio-Sow
Abderraouf Zarabi,dz ALG,DF,22,21,0,1,"1,860",20.7,4,0,/en/players/2cf92153/Abderraouf-Zarabi,2cf92153,Abderraouf-Zarabi
Alphousseyni Keita,ml MLI,MF,18,18,1,1,"1,620",18.0,2,0,/en/players/6da61698/Alphousseyni-Keita,6da61698,Alphousseyni-Keit
Nicolas Bayod,fr FRA,MF,27,17,3,1,"1,739",19.3,4,0,/en/players/9fb259cf/Nicolas-Bayod,9fb259cf,Nicolas-Bayod
Moussa Sidibé,fr FRA,"DF,MF",21,17,1,0,"1,419",15.8,6,1,/en/players/c0e6bd71/Moussa-Sidibe,c0e6bd71,Moussa-Sidib
Saïd Aït-Bahi,ma MAR,DF,15,13,0,1,"1,180",13.1,3,0,/en/players/e9d9f241/Said-Ait-Bahi,9d9f241,Said-Ait-Bahi
Salaheddine Sbaï,ma MAR,DF,13,13,0,0,"1,124",12.5,2,1,/en/players/17f4ecd1/Salaheddine-Sbai,17f4ecd1,Salaheddine-Sbai
Yannick Boli,ci CIV,FW,15,10,0,3,814,9.0,1,0,/en/players/9004db70/Yannick-Boli,9004db70,Yannick-Boli
Stéphane Auvray,gp GLP,MF,8,8,0,0,704,7.8,0,0,/en/players/ac5d6bff/Stephane-Auvray,c5d6bff,Stephane-Auv
Haidar Al-Shaïbani,ca CAN,GK,6,6,0,0,540,6.0,1,0,/en/players/a1aa7d82/Haidar-Al-Shaibani,1aa7d82,Haidar-Al-Shaibani
Ludovic Liron,fr FRA,DF,6,6,0,0,480,5.3,1,0,/en/players/79bef70b/Ludovic-Liron,79bef70b,Ludovic-Liro
Yohan Bocognano,fr FRA,DF,10,5,0,0,542,6.0,0,0,/en/players/881b36af/Yohan-Bocognano,881b36af,Yohan-Bocognano
Vladimir Buač,rs SRB,"FW,MF",16,4,0,0,519,5.8,1,0,/en/players/197623a1/Vladimir-Buac,197623a1,Vladimir-Buac
Grégory Poirier,fr FRA,MF,5,4,0,0,368,4.1,1,0,/en/players/c5c0c708/Gregory-Poirier,c5c0c708,Gregory-Poiri
