2012-2013,Norwich-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Bradley Johnson,eng ENG,"DF,MF",37,37,2,1,"3,222",35.8,10,0,/en/players/e0d9bbbe/Bradley-Johnson,0d9bbbe,Bradley-Johnso
Robert Snodgrass,sct SCO,"FW,MF",37,35,6,6,"3,049",33.9,8,0,/en/players/9f4647e9/Robert-Snodgrass,9f4647e9,Robert-Snodg
Javier Garrido,es ESP,DF,34,34,2,0,"3,037",33.7,4,0,/en/players/3b142ce5/Javier-Garrido,3b142ce5,Javier-Garrido
Sébastien Bassong,cm CMR,DF,34,34,2,3,"2,959",32.9,3,0,/en/players/0d521662/Sebastien-Bassong,0d521662,Sebastien-Bassong
Russell Martin,sct SCO,DF,31,30,0,3,"2,691",29.9,1,0,/en/players/24952f1e/Russell-Martin,24952f1e,Russell-Marti
Grant Holt,eng ENG,FW,34,28,3,8,"2,564",28.5,8,0,/en/players/1b64c1b2/Grant-Holt,1b64c1b2,Grant-Holt
Wes Hoolahan,ie IRL,MF,33,28,3,3,"2,416",26.8,3,0,/en/players/5236a502/Wes-Hoolahan,5236a502,Wes-Hoolah
Michael Turner,eng ENG,DF,26,25,0,3,"2,223",24.7,6,0,/en/players/422a65eb/Michael-Turner,422a65eb,Michael-Tu
Anthony Pilkington,ie IRL,"FW,MF",30,25,3,5,"2,156",24.0,2,0,/en/players/b31af577/Anthony-Pilkington,b31af577,Anthony-Pilkingto
Jonny Howson,eng ENG,"DF,MF",30,22,1,2,"2,046",22.7,2,0,/en/players/08b10f50/Jonny-Howson,08b10f50,Jonny-Howso
Mark Bunn,eng ENG,GK,23,22,0,0,"1,853",20.6,2,1,/en/players/a6738b6c/Mark-Bunn,6738b6c,Mark-Bu
Alexander Tettey,no NOR,MF,27,21,0,0,"1,904",21.2,4,0,/en/players/75566759/Alexander-Tettey,75566759,Alexander-Tett
John Ruddy,eng ENG,GK,15,15,0,0,"1,341",14.9,0,0,/en/players/da8b19e2/John-Ruddy,da8b19e2,John-Rudd
Steven Whittaker,sct SCO,"DF,MF",13,12,0,1,"1,046",11.6,0,0,/en/players/06f81a8c/Steven-Whittaker,06f81a8c,Steven-Whittak
Ryan Bennett,eng ENG,DF,15,10,0,1,"1,069",11.9,2,0,/en/players/0bad4516/Ryan-Bennett,0bad4516,Ryan-Bennett
Elliott Bennett,eng ENG,"DF,MF",23,9,3,1,938,10.4,3,0,/en/players/02c9ea40/Elliott-Bennett,02c9ea40,Elliott-Bennett
Kei Kamara,sl SLE,FW,11,7,1,1,658,7.3,0,0,/en/players/6e3f3809/Kei-Kamara,6e3f3809,Kei-Kam
Leon Barnett,eng ENG,DF,8,6,1,0,563,6.3,1,0,/en/players/76854cdf/Leon-Barnett,76854cdf,Leon-Barnett
Simeon Jackson,ca CAN,FW,13,5,0,1,405,4.5,0,0,/en/players/8f8bbbac/Simeon-Jackson,8f8bbbac,Simeon-Jackso
Steve Morison,wls WAL,FW,19,4,0,1,479,5.3,0,0,/en/players/292064fa/Steve-Morison,292064fa,Steve-Moriso
Andrew Surman,eng ENG,MF,4,4,0,0,270,3.0,0,0,/en/players/7d41b619/Andrew-Surman,7d41b619,Andrew-Surm
Luciano Becchio,ar ARG,FW,8,2,1,0,169,1.9,0,0,/en/players/3b3d4028/Luciano-Becchio,3b3d4028,Luciano-Becchio
Lee Camp,nir NIR,GK,3,1,0,0,226,2.5,1,0,/en/players/df4b8b69/Lee-Camp,df4b8b69,Lee-Cam
Harry Kane,eng ENG,FW,3,1,0,0,135,1.5,0,0,/en/players/21a66f6a/Harry-Kane,21a66f6a,Harry-K
Marc Tierney,eng ENG,DF,1,1,0,0,90,1.0,0,0,/en/players/d4c01c38/Marc-Tierney,d4c01c38,Marc-Ti
David Fox,eng ENG,MF,2,0,0,0,37,0.4,0,0,/en/players/102a7473/David-Fox,102a7473,David-Fox
Chris Martin,sct SCO,FW,1,0,0,0,4,0.0,0,0,/en/players/c21e39f9/Chris-Martin,c21e39f9,Chris-Marti
