Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Robert Green,eng ENG,GK,46,46,0.0,0.0,2002-2003,/en/players/a350680b/Robert-Green,350680b,Norwich-City,"4,140",46.0,0.0,0.0,143,6.0,8059,Norwich-City
,Gary Holt,sct SCO,MF,45,45,5.0,0.0,2002-2003,/en/players/d2337a97/Gary-Holt,d2337a97,Norwich-City,"4,050",45.0,3.0,0.0,143,67.0,9339,Norwich-City
,Adam Drury,eng ENG,DF,45,45,1.0,2.0,2002-2003,/en/players/cc8f5f70/Adam-Drury,cc8f5f70,Norwich-City,"3,908",43.4,2.0,0.0,143,6.0,8018,Norwich-City
,Paul McVeigh,nir NIR,"FW,MF",44,38,9.0,14.0,2002-2003,/en/players/ccbff661/Paul-McVeigh,ccbff661,Norwich-City,"3,225",35.8,4.0,0.0,143,121.0,9340,Norwich-City
,Darren Kenton,eng ENG,DF,37,36,0.0,1.0,2002-2003,/en/players/93040d46/Darren-Kenton,93040d46,Norwich-City,"3,196",35.5,8.0,0.0,143,6.0,6767,Norwich-City
,Malky Mackay,sct SCO,DF,37,35,0.0,6.0,2002-2003,/en/players/d565039b/Malky-Mackay,d565039b,Norwich-City,"3,267",36.3,2.0,0.0,143,67.0,8437,Norwich-City
,Steen Nedergaard,dk DEN,DF,35,34,4.0,2.0,2002-2003,/en/players/915ecffb/Steen-Nedergaard,915ecffb,Norwich-City,"2,961",32.9,5.0,0.0,143,7.0,9341,Norwich-City
,Iwan Roberts,wls WAL,FW,43,33,4.0,7.0,2002-2003,/en/players/9aeddde0/Iwan-Roberts,9aeddde0,Norwich-City,"2,936",32.6,3.0,0.0,143,18.0,9342,Norwich-City
,Philip Mulryne,nir NIR,MF,33,31,4.0,6.0,2002-2003,/en/players/03bd078e/Philip-Mulryne,03bd078e,Norwich-City,"2,792",31.0,7.0,0.0,143,121.0,9343,Norwich-City
,Craig Fleming,eng ENG,DF,30,28,0.0,0.0,2002-2003,/en/players/14cfdd19/Craig-Fleming,14cfdd19,Norwich-City,"2,449",27.2,4.0,0.0,143,6.0,9344,Norwich-City
,Mark Rivers,eng ENG,"FW,MF",30,28,2.0,4.0,2002-2003,/en/players/a7aa42c1/Mark-Rivers,7aa42c1,Norwich-City,"2,299",25.5,0.0,0.0,143,6.0,9345,Norwich-City
,Clint Easton,eng ENG,"DF,MF",26,23,2.0,2.0,2002-2003,/en/players/b334dc77/Clint-Easton,b334dc77,Norwich-City,"1,833",20.4,2.0,0.0,143,6.0,9346,Norwich-City
,Darel Russell,eng ENG,MF,21,16,1.0,0.0,2002-2003,/en/players/78b23d1a/Darel-Russell,78b23d1a,Norwich-City,"1,510",16.8,5.0,0.0,143,6.0,7423,Norwich-City
