2003-2004,Numancia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Luis García,es ESP,GK,42,42,0,0,"3,775",41.9,3,0,/en/players/a716e5a4/Luis-Garcia,716e5a4,Luis-Garci
José Antonio Culebras,es ESP,DF,41,39,1,4,"3,582",39.8,8,0,/en/players/c8b270a2/Jose-Antonio-Culebras,c8b270a2,Jose-Antonio-Culeb
Jesús Velasco,es ESP,DF,39,39,2,1,"3,364",37.4,9,1,/en/players/13f8074d/Jesus-Velasco,13f8074d,Jesus-Velasco
Juan Carlos Moreno,es ESP,MF,41,38,11,8,"3,477",38.6,7,0,/en/players/74f2988b/Juan-Carlos-Moreno,74f2988b,Juan-Carlos-Moreno
Jaime Molina,es ESP,DF,38,37,0,2,"3,078",34.2,7,1,/en/players/2e1f6f32/Jaime-Molina,2e1f6f32,Jaime-Moli
Óscar Pulido,,MF,34,34,0,1,"2,949",32.8,9,0,/en/players/7e01b9b3/Oscar-Pulido,7e01b9b3,Oscar-Pulido
Daniel Fagiani,ar ARG,DF,34,34,4,6,"2,845",31.6,19,2,/en/players/e7524ca1/Daniel-Fagiani,7524ca1,Daniel-Fagiani
Julio Pineda,es ESP,FW,36,33,3,11,"2,779",30.9,9,0,/en/players/09fc23e7/Julio-Pineda,09fc23e7,Julio-Pined
Antonio González,es ESP,DF,32,32,0,4,"2,807",31.2,9,0,/en/players/89f9eead/Antonio-Gonzalez,89f9eead,Antonio-Gonzalez
Miguel Pérez,es ESP,MF,35,26,1,2,"2,511",27.9,2,0,/en/players/b3f9e645/Miguel-Perez,b3f9e645,Miguel-Perez
Laurențiu Roșu,ro ROU,"FW,MF",36,26,2,8,"2,211",24.6,5,0,/en/players/83e63626/Laurentiu-Rosu,83e63626,Laurentiu-Rosu
Daniel N'Gom Kome,cm CMR,MF,30,24,5,6,"1,975",21.9,6,2,/en/players/8076455d/Daniel-NGom-Kome,8076455d,Daniel-NGom-Kom
Octavio Viñals,es ESP,MF,16,10,1,0,772,8.6,0,1,/en/players/c2a9f580/Octavio-Vinals,c2a9f580,Octavio-Vi
Juan Navarro,,,17,8,0,0,743,8.3,2,0,No detected,,
Mikel Alonso,es ESP,MF,10,7,2,1,654,7.3,1,0,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso
Chota,es ESP,FW,12,7,0,1,617,6.9,3,0,/en/players/6e8a6c53/Chota,6e8a6c53,Chot
Alberto Toril,es ESP,MF,8,7,0,0,509,5.7,3,1,/en/players/437bfac6/Alberto-Toril,437bfac6,Alberto-Tori
Miguel Ángel Núñez Acosta,es ESP,MF,19,5,1,1,570,6.3,0,0,/en/players/26030e9b/Miguel-Angel-Nunez-Acosta,26030e9b,Miguel-Angel-Nunez-Acost
Xisco Nadal,es ESP,"FW,MF",15,5,0,1,534,5.9,1,0,/en/players/5dc11264/Xisco-Nadal,5dc11264,Xisco-Nad
Luis Casado,,,6,3,0,0,275,3.1,2,0,No detected,,
Carlos Merino,es ESP,MF,16,2,0,1,456,5.1,2,0,/en/players/443c8c9a/Carlos-Merino,443c8c9a,Carlos-Merino
Sergio Sestelo,es ESP,FW,15,2,0,2,439,4.9,1,0,/en/players/3495d0f8/Sergio-Sestelo,3495d0f8,Sergio-Sestelo
Juan Pedro,,,1,1,0,0,65,0.7,0,0,No detected,,
Juan Sanchez,,,2,1,0,0,54,0.6,1,0,No detected,,
Rafael Riaño Torrecilla,es ESP,,10,0,0,0,336,3.7,2,0,/en/players/d7ae2ca1/Rafael-Riano-Torrecilla,d7ae2ca1,Rafael-Riano-Torreci
