,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Carlos Cuéllar,/en/players/1222ab35/Carlos-Cuellar,1222ab35,Carlos-Cu,es ESP,DF
1,Unai Expósito,/en/players/3aca2200/Unai-Exposito,3aca2200,Unai-Exposito,es ESP,DF
2,Claudio Marini,/en/players/446a7d68/Claudio-Marini,446a7d68,Claudio-Marini,ar ARG,MF
3,Jaime Molina,/en/players/2e1f6f32/Jaime-Molina,2e1f6f32,Jaime-Moli,es ESP,DF
4,Daniel Fagiani,/en/players/e7524ca1/Daniel-Fagiani,7524ca1,Daniel-Fagiani,ar ARG,DF
5,Daniel N'Gom Kome,/en/players/8076455d/Daniel-NGom-Kome,8076455d,Daniel-NGom-Kom,cm CMR,MF
6,Luis García,/en/players/a716e5a4/Luis-Garcia,716e5a4,Luis-Garci,es ESP,GK
7,Miguel Pérez,/en/players/b3f9e645/Miguel-Perez,b3f9e645,Miguel-Perez,es ESP,MF
8,Miguel Ángel Núñez Acosta,/en/players/26030e9b/Miguel-Angel-Nunez-Acosta,26030e9b,Miguel-Angel-Nunez-Acost,es ESP,MF
9,Pacheta,/en/players/7545007b/Pacheta,7545007b,Pachet,es ESP,MF
10,Jesús Velasco,/en/players/13f8074d/Jesus-Velasco,13f8074d,Jesus-Velasco,es ESP,DF
11,Pedro Ojeda,/en/players/60b2ae27/Pedro-Ojeda,60b2ae27,Pedro-Ojed,ar ARG,MF
12,Diego Jaume,/en/players/9663d985/Diego-Jaume,9663d985,Diego-Jaum,uy URU,DF
13,Álvaro Núñez,/en/players/4267e1a9/Alvaro-Nunez,4267e1a9,Alvaro-Nunez,uy URU,GK
14,Octavio Viñals,/en/players/c2a9f580/Octavio-Vinals,c2a9f580,Octavio-Vi,es ESP,MF
15,Laurențiu Roșu,/en/players/83e63626/Laurentiu-Rosu,83e63626,Laurentiu-Rosu,ro ROU,"FW,MF"
16,Patrick Suffo,/en/players/74f84d64/Patrick-Suffo,74f84d64,Patrick-Suffo,cm CMR,FW
17,Carlos Aranda,/en/players/2b60c45d/Carlos-Aranda,2b60c45d,Carlos-Arand,es ESP,FW
18,Sergio Sestelo,/en/players/3495d0f8/Sergio-Sestelo,3495d0f8,Sergio-Sestelo,es ESP,FW
19,José Antonio Culebras,/en/players/c8b270a2/Jose-Antonio-Culebras,c8b270a2,Jose-Antonio-Culeb,es ESP,DF
20,Manolo Sánchez,/en/players/b40c4904/Manolo-Sanchez,b40c4904,Manolo-Sanchez,es ESP,MF
23,André Schei Lindbæk,/en/players/198eb259/Andre-Schei-Lindbaek,198eb259,Andre-Schei-Lindbaek,no NOR,FW
24,Gallego,/en/players/94927f28/Gallego,94927f28,Gallego,es ESP,MF
25,Juan Carlos Moreno,/en/players/74f2988b/Juan-Carlos-Moreno,74f2988b,Juan-Carlos-Moreno,es ESP,MF
27,Julio Pineda,/en/players/09fc23e7/Julio-Pineda,09fc23e7,Julio-Pined,es ESP,FW
28,Antonio González,/en/players/89f9eead/Antonio-Gonzalez,89f9eead,Antonio-Gonzalez,es ESP,DF
29,Mikel Alonso,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso,es ESP,MF
30,Chota,/en/players/6e8a6c53/Chota,6e8a6c53,Chot,es ESP,FW
31,Alberto Toril,/en/players/437bfac6/Alberto-Toril,437bfac6,Alberto-Tori,es ESP,MF
32,Xisco Nadal,/en/players/5dc11264/Xisco-Nadal,5dc11264,Xisco-Nad,es ESP,"FW,MF"
33,Carlos Merino,/en/players/443c8c9a/Carlos-Merino,443c8c9a,Carlos-Merino,es ESP,MF
34,﻿Juan Cruz Ochoa,/en/players/301ff22a/Juan-Cruz-Ochoa,301ff22a,Juan-Cruz-Ocho,es ESP,DF
