2010-2011,Nurnberg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Timmy Simons,be BEL,"DF,MF",34,34,0,2,"3,060",34.0,4,0,/en/players/0b3bd1fc/Timmy-Simons,0b3bd1fc,Timmy-Simo
Raphael Schäfer,de GER,GK,34,34,0,0,"3,028",33.6,4,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Andreas Wolf,de GER,DF,30,30,0,3,"2,647",29.4,12,1,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf
Mehmet Ekici,tr TUR,MF,32,29,10,3,"2,501",27.8,6,0,/en/players/2bdde229/Mehmet-Ekici,2bdde229,Mehmet-Ekici
Jens Hegeler,de GER,"DF,MF",34,29,3,3,"2,494",27.7,3,0,/en/players/959d5963/Jens-Hegeler,959d5963,Jens-Heg
Julian Schieber,de GER,FW,29,28,4,7,"2,431",27.0,2,0,/en/players/37c213cf/Julian-Schieber,37c213cf,Julian-Schieb
Javier Pinola,ar ARG,DF,28,27,2,2,"2,406",26.7,7,0,/en/players/faa5ffa8/Javier-Pinola,faa5ffa8,Javier-Pino
Juri Judt,de GER,"DF,MF",24,24,0,0,"1,989",22.1,5,0,/en/players/e054856a/Juri-Judt,054856a,Juri-Judt
Christian Eigler,de GER,FW,32,21,3,8,"2,051",22.8,3,1,/en/players/84a56158/Christian-Eigler,84a56158,Christian-Eig
İlkay Gündoğan,de GER,MF,25,21,2,5,"1,819",20.2,2,0,/en/players/819b3158/Ilkay-Gundogan,819b3158,Ilkay-Gundog
Almog Cohen,il ISR,MF,25,19,0,2,"1,520",16.9,6,0,/en/players/5b37ba7a/Almog-Cohen,5b37ba7a,Almog-Coh
Philipp Wollscheid,de GER,DF,19,18,0,3,"1,649",18.3,3,0,/en/players/c4cca587/Philipp-Wollscheid,c4cca587,Philipp-Wollscheid
Per Nilsson,se SWE,DF,19,14,0,1,"1,317",14.6,1,0,/en/players/fea4dba4/Per-Nilsson,fea4dba4,Per-Nilsso
Timothy Chandler,us USA,"DF,MF",14,11,1,1,"1,041",11.6,3,1,/en/players/b3b7f5a6/Timothy-Chandler,b3b7f5a6,Timothy-Chand
Mike Frantz,de GER,"FW,MF",14,10,0,2,779,8.7,0,0,/en/players/482b70ad/Mike-Frantz,482b70ad,Mike-Frantz
Róbert Mak,sk SVK,"FW,MF",22,6,1,3,800,8.9,1,0,/en/players/73fc8cc3/Robert-Mak,73fc8cc3,Robert-Mak
Dominic Maroh,si SVN,DF,8,6,0,0,566,6.3,1,0,/en/players/3f30b506/Dominic-Maroh,3f30b506,Dominic-Maroh
Marvin Plattenhardt,de GER,DF,9,4,0,0,368,4.1,1,0,/en/players/f7aa75bd/Marvin-Plattenhardt,f7aa75bd,Marvin-Plattenhardt
Pascal Bieler,de GER,DF,4,3,0,0,284,3.2,1,0,/en/players/bd0e3290/Pascal-Bieler,bd0e3290,Pascal-Bi
Albert Bunjaku,xk KVX,FW,3,3,0,0,225,2.5,0,0,/en/players/3af964c3/Albert-Bunjaku,3af964c3,Albert-Bunjaku
Marek Mintál,sk SVK,"FW,MF",17,1,2,0,257,2.9,0,0,/en/players/bb046f05/Marek-Mintal,bb046f05,Marek-Mint
Markus Mendler,de GER,"FW,MF",6,1,0,0,165,1.8,1,0,/en/players/068fa372/Markus-Mendler,068fa372,Markus-Mend
Dario Vidošić,au AUS,"FW,MF",5,1,0,0,74,0.8,0,0,/en/players/99c13b3c/Dario-Vidosic,99c13b3c,Dario-Vidosic
Julian Wießmeier,de GER,"DF,FW",1,1,,1,55,0.6,0,0,/en/players/bee54a20/Julian-Wiessmeier,bee54a20,Julian-Wiessmei
Rubin Okotie,at AUT,FW,4,0,0,0,76,0.8,0,0,/en/players/bbca2c6c/Rubin-Okotie,bbca2c6c,Rubin-Okoti
Alexander Stephan,de GER,GK,1,0,0,0,32,0.4,0,0,/en/players/f81a9826/Alexander-Stephan,f81a9826,Alexander-Steph
Isaac Boakye,gh GHA,FW,2,0,0,0,26,0.3,0,0,/en/players/ad9f3501/Isaac-Boakye,d9f3501,Isaac-Boak
Nassim Ben Khalifa,ch SUI,"FW,MF",1,0,0,0,9,0.1,0,0,/en/players/b5902f7f/Nassim-Ben-Khalifa,b5902f7f,Nassim-Ben-Khalif
