Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Darius Kampa,/en/players/798ecf72/Darius-Kampa,798ecf72,Darius-Kam,de GER,GK,Nurnberg
1,Lars Müller,/en/players/13cd78b6/Lars-Muller,13cd78b6,Lars-Mu,de GER,"DF,MF",Nurnberg
2,David Jarolím,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,David-Jarolim,cz CZE,MF,Nurnberg
3,Tommy Larsen,/en/players/544f0264/Tommy-Larsen,544f0264,Tommy-L,no NOR,MF,Nurnberg
4,Tomasz Kos,/en/players/14f5bbd6/Tomasz-Kos,14f5bbd6,Tomasz-Ko,pl POL,DF,Nurnberg
5,Marek Nikl,/en/players/791af867/Marek-Nikl,791af867,Marek-Nik,cz CZE,DF,Nurnberg
6,Milorad Popović,/en/players/5acd0a2c/Milorad-Popovic,5acd0a2c,Milorad-Popovic,rs SRB,DF,Nurnberg
7,Saša Ćirić,/en/players/43283dba/Sasa-Ciric,43283dba,Sasa-Ciric,mk MKD,FW,Nurnberg
8,Dušan Petković,/en/players/432ea714/Dusan-Petkovic,432ea714,Dusan-Petkovic,rs SRB,"DF,MF",Nurnberg
9,Cacau,/en/players/5d006974/Cacau,5d006974,Cacau,de GER,FW,Nurnberg
10,Tony Sanneh,/en/players/42047fe3/Tony-Sanneh,42047fe3,Tony-Sanneh,us USA,"DF,MF",Nurnberg
11,Andreas Wolf,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf,de GER,DF,Nurnberg
12,Dieter Frey,/en/players/22478518/Dieter-Frey,22478518,Dieter-F,de GER,"DF,MF",Nurnberg
13,Júnior,/en/players/68f21240/Junior,68f21240,Junio,br BRA,MF,Nurnberg
14,Thomas Stehle,/en/players/4f4321c9/Thomas-Stehle,4f4321c9,Thomas-Steh,de GER,DF,Nurnberg
15,Martin Driller,/en/players/aed994a0/Martin-Driller,d994a0,Martin-Dri,de GER,FW,Nurnberg
16,Jacek Krzynówek,/en/players/a57dbe0b/Jacek-Krzynowek,57dbe0b,Jacek-Krzynowek,pl POL,"FW,MF",Nurnberg
17,Stephan Paßlack,/en/players/2518e80c/Stephan-Passlack,2518e80c,Stephan-Passlack,de GER,DF,Nurnberg
18,Kai Michalke,/en/players/c8cd6341/Kai-Michalke,c8cd6341,Kai-Michalk,de GER,FW,Nurnberg
19,Milan Belić,/en/players/0096ab65/Milan-Belic,0096ab65,Milan-Belic,rs SRB,FW,Nurnberg
20,Rade Todorović,/en/players/0a5291ef/Rade-Todorovic,0a5291ef,Rade-Todorovic,rs SRB,MF,Nurnberg
21,Michael Kügler,/en/players/814c9e8a/Michael-Kugler,814c9e8a,Michael-Kug,de GER,MF,Nurnberg
22,Pavel David,/en/players/19d2241b/Pavel-David,19d2241b,Pavel-David,cz CZE,"FW,MF",Nurnberg
23,Marco Villa,/en/players/0cbd4034/Marco-Villa,0cbd4034,Marco-Vi,de GER,FW,Nurnberg
24,Dominik Reinhardt,/en/players/6b1eebd3/Dominik-Reinhardt,6b1eebd3,Dominik-Reinhardt,de GER,DF,Nurnberg
25,Raphael Schäfer,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf,de GER,GK,Nurnberg
26,Stefan Kießling,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling,de GER,"FW,MF",Nurnberg
28,Marek Mintál,/en/players/bb046f05/Marek-Mintal,bb046f05,Marek-Mint,sk SVK,"FW,MF",Nurnberg
29,Róbert Vittek,/en/players/840573e7/Robert-Vittek,840573e7,Robert-Vittek,sk SVK,FW,Nurnberg
30,Sven Müller,/en/players/406b138d/Sven-Muller,406b138d,Sven-Mu,de GER,"DF,MF",Nurnberg
31,Danijel Štefulj,/en/players/31a565a4/Danijel-Stefulj,31a565a4,Danijel-Stefulj,hr CRO,"DF,MF",Nurnberg
32,Mariusz Kukiełka,/en/players/b53ff1e0/Mariusz-Kukielka,b53ff1e0,Mariusz-Kukielk,pl POL,"DF,MF",Nurnberg
33,Frank Wiblishauser,/en/players/93a8d882/Frank-Wiblishauser,93a8d882,Frank-Wiblishau,de GER,DF,Nurnberg
34,Thomas Paulus,/en/players/6882dde6/Thomas-Paulus,6882dde6,Thomas-Paulu,de GER,DF,Nurnberg
35,Lawrence Aidoo,/en/players/21221526/Lawrence-Aidoo,21221526,Lawrence-Aidoo,gh GHA,"FW,MF",Nurnberg
36,Samuel Slovák,/en/players/adca09f2/Samuel-Slovak,dca09f2,Samuel-Slovak,sk SVK,"FW,MF",Nurnberg
37,Oktay Derelioğlu,/en/players/fa8cf4c6/Oktay-Derelioglu,fa8cf4c6,Oktay-Derelioglu,tr TUR,FW,Nurnberg
38,Rafael,/en/players/f4187224/Rafael,f4187224,Raf,br BRA,DF,Nurnberg
39,Mehdi Taouil,/en/players/251e5067/Mehdi-Taouil,251e5067,Mehdi-Taoui,ma MAR,MF,Nurnberg
