Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Darius Kampa,de GER,GK,34,34,0.0,0.0,2002-2003,/en/players/798ecf72/Darius-Kampa,798ecf72,Nurnberg,"3,015",33.5,0.0,0.0,17,13.0,17016,Nurnberg
,Lars Müller,de GER,"DF,MF",33,33,3.0,2.0,2002-2003,/en/players/13cd78b6/Lars-Muller,13cd78b6,Nurnberg,"2,947",32.7,5.0,0.0,17,13.0,17727,Nurnberg
,David Jarolím,cz CZE,MF,32,32,3.0,3.0,2002-2003,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,Nurnberg,"2,769",30.8,4.0,1.0,17,84.0,14929,Nurnberg
,Tommy Larsen,no NOR,MF,30,29,5.0,0.0,2002-2003,/en/players/544f0264/Tommy-Larsen,544f0264,Nurnberg,"2,597",28.9,7.0,0.0,17,21.0,17728,Nurnberg
,Tomasz Kos,pl POL,DF,26,25,0.0,0.0,2002-2003,/en/players/14f5bbd6/Tomasz-Kos,14f5bbd6,Nurnberg,"2,243",24.9,6.0,0.0,17,14.0,17729,Nurnberg
,Marek Nikl,cz CZE,DF,29,25,1.0,2.0,2002-2003,/en/players/791af867/Marek-Nikl,791af867,Nurnberg,"2,237",24.9,3.0,0.0,17,84.0,17730,Nurnberg
,Milorad Popović,rs SRB,DF,23,23,1.0,0.0,2002-2003,/en/players/5acd0a2c/Milorad-Popovic,5acd0a2c,Nurnberg,"2,007",22.3,2.0,0.0,17,28.0,17731,Nurnberg
,Saša Ćirić,mk MKD,FW,26,23,2.0,12.0,2002-2003,/en/players/43283dba/Sasa-Ciric,43283dba,Nurnberg,"1,933",21.5,1.0,1.0,17,81.0,17732,Nurnberg
,Dušan Petković,rs SRB,"DF,MF",22,20,1.0,2.0,2002-2003,/en/players/432ea714/Dusan-Petkovic,432ea714,Nurnberg,"1,834",20.4,4.0,0.0,17,28.0,17733,Nurnberg
,Cacau,de GER,FW,27,19,0.0,2.0,2002-2003,/en/players/5d006974/Cacau,5d006974,Nurnberg,"1,824",20.3,7.0,0.0,17,13.0,15555,Nurnberg
,Tony Sanneh,us USA,"DF,MF",15,15,0.0,2.0,2002-2003,/en/players/42047fe3/Tony-Sanneh,42047fe3,Nurnberg,"1,330",14.8,2.0,0.0,17,75.0,17734,Nurnberg
,Andreas Wolf,de GER,DF,14,14,1.0,0.0,2002-2003,/en/players/69758d30/Andreas-Wolf,69758d30,Nurnberg,"1,260",14.0,3.0,0.0,17,13.0,11422,Nurnberg
,Dieter Frey,de GER,"DF,MF",17,14,0.0,0.0,2002-2003,/en/players/22478518/Dieter-Frey,22478518,Nurnberg,"1,182",13.1,3.0,0.0,17,13.0,17735,Nurnberg
,Júnior,br BRA,MF,19,13,0.0,3.0,2002-2003,/en/players/68f21240/Junior,68f21240,Nurnberg,"1,198",13.3,2.0,0.0,17,2.0,17736,Nurnberg
,Thomas Stehle,de GER,DF,17,11,1.0,2.0,2002-2003,/en/players/4f4321c9/Thomas-Stehle,4f4321c9,Nurnberg,941,10.5,9.0,0.0,17,13.0,17737,Nurnberg
,Martin Driller,de GER,FW,19,10,0.0,2.0,2002-2003,/en/players/aed994a0/Martin-Driller,d994a0,Nurnberg,890,9.9,2.0,0.0,17,13.0,17738,Nurnberg
