2002-2003,Nurnberg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Darius Kampa,de GER,GK,34,34,0,0,"3,015",33.5,0,0,/en/players/798ecf72/Darius-Kampa,798ecf72,Darius-Kam
Lars Müller,de GER,"DF,MF",33,33,3,2,"2,947",32.7,5,0,/en/players/13cd78b6/Lars-Muller,13cd78b6,Lars-Mu
David Jarolím,cz CZE,MF,32,32,3,3,"2,769",30.8,4,1,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,David-Jarolim
Tommy Larsen,no NOR,MF,30,29,5,0,"2,597",28.9,7,0,/en/players/544f0264/Tommy-Larsen,544f0264,Tommy-L
Tomasz Kos,pl POL,DF,26,25,0,0,"2,243",24.9,6,0,/en/players/14f5bbd6/Tomasz-Kos,14f5bbd6,Tomasz-Ko
Marek Nikl,cz CZE,DF,29,25,1,2,"2,237",24.9,3,0,/en/players/791af867/Marek-Nikl,791af867,Marek-Nik
Milorad Popović,rs SRB,DF,23,23,1,0,"2,007",22.3,2,0,/en/players/5acd0a2c/Milorad-Popovic,5acd0a2c,Milorad-Popovic
Saša Ćirić,mk MKD,FW,26,23,2,12,"1,933",21.5,1,1,/en/players/43283dba/Sasa-Ciric,43283dba,Sasa-Ciric
Dušan Petković,rs SRB,"DF,MF",22,20,1,2,"1,834",20.4,4,0,/en/players/432ea714/Dusan-Petkovic,432ea714,Dusan-Petkovic
Cacau,de GER,FW,27,19,0,2,"1,824",20.3,7,0,/en/players/5d006974/Cacau,5d006974,Cacau
Tony Sanneh,us USA,"DF,MF",15,15,0,2,"1,330",14.8,2,0,/en/players/42047fe3/Tony-Sanneh,42047fe3,Tony-Sanneh
Andreas Wolf,de GER,DF,14,14,1,0,"1,260",14.0,3,0,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf
Dieter Frey,de GER,"DF,MF",17,14,0,0,"1,182",13.1,3,0,/en/players/22478518/Dieter-Frey,22478518,Dieter-F
Júnior,br BRA,MF,19,13,0,3,"1,198",13.3,2,0,/en/players/68f21240/Junior,68f21240,Junio
Thomas Stehle,de GER,DF,17,11,1,2,941,10.5,9,0,/en/players/4f4321c9/Thomas-Stehle,4f4321c9,Thomas-Steh
Martin Driller,de GER,FW,19,10,0,2,890,9.9,2,0,/en/players/aed994a0/Martin-Driller,d994a0,Martin-Dri
Jacek Krzynówek,pl POL,"FW,MF",17,8,2,1,907,10.1,0,0,/en/players/a57dbe0b/Jacek-Krzynowek,57dbe0b,Jacek-Krzynowek
Stephan Paßlack,de GER,DF,14,8,0,0,690,7.7,4,1,/en/players/2518e80c/Stephan-Passlack,2518e80c,Stephan-Passlack
Kai Michalke,de GER,FW,13,5,0,0,553,6.1,0,0,/en/players/c8cd6341/Kai-Michalke,c8cd6341,Kai-Michalk
Milan Belić,rs SRB,FW,8,5,1,0,328,3.6,2,0,/en/players/0096ab65/Milan-Belic,0096ab65,Milan-Belic
Rade Todorović,rs SRB,MF,7,4,0,0,336,3.7,1,0,/en/players/0a5291ef/Rade-Todorovic,0a5291ef,Rade-Todorovic
Michael Kügler,de GER,MF,2,2,0,0,167,1.9,0,0,/en/players/814c9e8a/Michael-Kugler,814c9e8a,Michael-Kug
Pavel David,cz CZE,"FW,MF",3,1,0,0,129,1.4,0,0,/en/players/19d2241b/Pavel-David,19d2241b,Pavel-David
Marco Villa,de GER,FW,3,1,0,0,104,1.2,0,0,/en/players/0cbd4034/Marco-Villa,0cbd4034,Marco-Vi
Dominik Reinhardt,de GER,DF,1,0,0,0,62,0.7,0,0,/en/players/6b1eebd3/Dominik-Reinhardt,6b1eebd3,Dominik-Reinhardt
Raphael Schäfer,de GER,GK,1,0,0,0,45,0.5,0,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Stefan Kießling,de GER,"FW,MF",1,0,,0,10,0.1,0,0,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling
﻿2003-2004,Nurnberg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Raphael Schäfer,de GER,GK,33,33,0,0,"2,929",32.5,2,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Marek Mintál,sk SVK,"FW,MF",31,31,6,18,"2,722",30.2,2,0,/en/players/bb046f05/Marek-Mintal,bb046f05,Marek-Mint
Tommy Larsen,no NOR,MF,29,29,0,1,"2,470",27.4,10,0,/en/players/544f0264/Tommy-Larsen,544f0264,Tommy-L
Andreas Wolf,de GER,DF,31,28,0,1,"2,500",27.8,12,0,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf
Marek Nikl,cz CZE,DF,28,28,0,2,"2,454",27.3,7,0,/en/players/791af867/Marek-Nikl,791af867,Marek-Nik
Jacek Krzynówek,pl POL,"FW,MF",29,27,9,12,"2,274",25.3,4,0,/en/players/a57dbe0b/Jacek-Krzynowek,57dbe0b,Jacek-Krzynowek
Róbert Vittek,sk SVK,FW,27,27,10,9,"2,251",25.0,5,0,/en/players/840573e7/Robert-Vittek,840573e7,Robert-Vittek
Lars Müller,de GER,"DF,MF",28,22,5,0,"2,040",22.7,2,0,/en/players/13cd78b6/Lars-Muller,13cd78b6,Lars-Mu
Thomas Stehle,de GER,DF,25,21,0,2,"1,705",18.9,8,0,/en/players/4f4321c9/Thomas-Stehle,4f4321c9,Thomas-Steh
Saša Ćirić,mk MKD,FW,20,16,2,9,"1,338",14.9,0,1,/en/players/43283dba/Sasa-Ciric,43283dba,Sasa-Ciric
Sven Müller,de GER,"DF,MF",16,16,1,1,"1,267",14.1,6,0,/en/players/406b138d/Sven-Muller,406b138d,Sven-Mu
Danijel Štefulj,hr CRO,"DF,MF",16,13,0,2,"1,184",13.2,1,0,/en/players/31a565a4/Danijel-Stefulj,31a565a4,Danijel-Stefulj
Mariusz Kukiełka,pl POL,"DF,MF",14,13,1,1,"1,170",13.0,3,1,/en/players/b53ff1e0/Mariusz-Kukielka,b53ff1e0,Mariusz-Kukielk
Frank Wiblishauser,de GER,DF,11,11,0,0,945,10.5,0,0,/en/players/93a8d882/Frank-Wiblishauser,93a8d882,Frank-Wiblishau
Thomas Paulus,de GER,DF,13,9,0,0,875,9.7,3,1,/en/players/6882dde6/Thomas-Paulus,6882dde6,Thomas-Paulu
Lawrence Aidoo,gh GHA,"FW,MF",12,8,0,1,648,7.2,3,0,/en/players/21221526/Lawrence-Aidoo,21221526,Lawrence-Aidoo
Pavel David,cz CZE,"FW,MF",13,7,0,2,645,7.2,0,0,/en/players/19d2241b/Pavel-David,19d2241b,Pavel-David
Samuel Slovák,sk SVK,"FW,MF",17,6,0,1,798,8.9,2,0,/en/players/adca09f2/Samuel-Slovak,dca09f2,Samuel-Slovak
Dominik Reinhardt,de GER,DF,10,6,0,0,659,7.3,0,0,/en/players/6b1eebd3/Dominik-Reinhardt,6b1eebd3,Dominik-Reinhardt
Tony Sanneh,us USA,"DF,MF",7,6,0,1,576,6.4,0,0,/en/players/42047fe3/Tony-Sanneh,42047fe3,Tony-Sanneh
David Jarolím,cz CZE,MF,4,4,0,0,360,4.0,0,0,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,David-Jarolim
Martin Driller,de GER,FW,6,3,0,0,324,3.6,1,0,/en/players/aed994a0/Martin-Driller,d994a0,Martin-Dri
Oktay Derelioğlu,tr TUR,FW,5,3,0,1,225,2.5,1,0,/en/players/fa8cf4c6/Oktay-Derelioglu,fa8cf4c6,Oktay-Derelioglu
Stephan Paßlack,de GER,DF,7,2,0,0,245,2.7,1,0,/en/players/2518e80c/Stephan-Passlack,2518e80c,Stephan-Passlack
Rafael,br BRA,DF,2,2,0,0,135,1.5,0,0,/en/players/f4187224/Rafael,f4187224,Raf
Darius Kampa,de GER,GK,2,1,0,0,131,1.5,0,0,/en/players/798ecf72/Darius-Kampa,798ecf72,Darius-Kam
Tomasz Kos,pl POL,DF,1,1,0,0,67,0.7,0,0,/en/players/14f5bbd6/Tomasz-Kos,14f5bbd6,Tomasz-Ko
Stefan Kießling,de GER,"FW,MF",14,0,0,2,316,3.5,0,0,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling
Mehdi Taouil,ma MAR,MF,6,0,0,0,156,1.7,0,0,/en/players/251e5067/Mehdi-Taouil,251e5067,Mehdi-Taoui
Fernando de Ornelas,ve VEN,"FW,MF",4,0,0,0,46,0.5,0,0,/en/players/cdb77d5e/Fernando-de-Ornelas,cdb77d5e,Fernando-de-O
Vlademir,br BRA,"FW,MF",1,0,0,0,17,0.2,0,0,/en/players/575639c7/Vlademir,575639c7,Vlademi
Herbert Obele,de GER,MF,2,0,0,0,14,0.2,0,0,/en/players/1d604009/Herbert-Obele,1d604009,Herbert-Ob
Christian Wiesner,de GER,,3,0,0,0,14,0.2,1,0,/en/players/7b81ac7a/Christian-Wiesner,7b81ac7a,Christian-Wi
Michael Kügler,de GER,MF,1,0,0,0,4,0.0,0,0,/en/players/814c9e8a/Michael-Kugler,814c9e8a,Michael-Kug
﻿2004-2005,Nurnberg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Marek Mintál,sk SVK,"FW,MF",34,34,5,24,"2,996",33.3,3,0,/en/players/bb046f05/Marek-Mintal,bb046f05,Marek-Mint
Sven Müller,de GER,"DF,MF",33,32,3,3,"2,744",30.5,7,0,/en/players/406b138d/Sven-Muller,406b138d,Sven-Mu
Lars Müller,de GER,"DF,MF",33,31,2,2,"2,834",31.5,3,0,/en/players/13cd78b6/Lars-Muller,13cd78b6,Lars-Mu
Tommy Larsen,no NOR,MF,29,29,4,0,"2,431",27.0,9,0,/en/players/544f0264/Tommy-Larsen,544f0264,Tommy-L
Raphael Schäfer,de GER,GK,26,26,0,0,"2,340",26.0,0,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Mario Cantaluppi,ch SUI,"DF,MF",26,26,0,0,"2,230",24.8,11,1,/en/players/e903c9f6/Mario-Cantaluppi,903c9f6,Mario-Cantaluppi
Marek Nikl,cz CZE,DF,25,23,0,0,"1,938",21.5,4,0,/en/players/791af867/Marek-Nikl,791af867,Marek-Nik
Róbert Vittek,sk SVK,FW,24,22,5,5,"1,903",21.1,2,0,/en/players/840573e7/Robert-Vittek,840573e7,Robert-Vittek
Markus Schroth,de GER,FW,23,21,5,7,"1,712",19.0,3,0,/en/players/495af691/Markus-Schroth,495af691,Markus-Schroth
Ivica Banović,hr CRO,MF,22,16,5,3,"1,238",13.8,5,0,/en/players/0f348db8/Ivica-Banovic,0f348db8,Ivica-Banovic
Tomasz Hajto,pl POL,DF,17,15,0,0,"1,272",14.1,6,1,/en/players/5c1bed6b/Tomasz-Hajto,5c1bed6b,Tomasz-Hajto
Maik Wagefeld,de GER,MF,21,14,1,2,"1,388",15.4,2,0,/en/players/af8c54d8/Maik-Wagefeld,f8c54d8,Maik-Wagefeld
Andreas Wolf,de GER,DF,16,14,0,0,"1,207",13.4,5,1,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf
Markus Daun,de GER,FW,20,14,2,1,"1,148",12.8,2,0,/en/players/55180189/Markus-Daun,55180189,Markus-Dau
Dominik Reinhardt,de GER,DF,13,11,1,0,963,10.7,1,0,/en/players/6b1eebd3/Dominik-Reinhardt,6b1eebd3,Dominik-Reinhardt
Bartosz Bosacki,pl POL,DF,13,10,1,0,930,10.3,1,0,/en/players/0ad95ad8/Bartosz-Bosacki,0ad95ad8,Bartosz-Bosacki
Frank Wiblishauser,de GER,DF,13,7,0,0,700,7.8,0,0,/en/players/93a8d882/Frank-Wiblishauser,93a8d882,Frank-Wiblishau
Stefan Kießling,de GER,"FW,MF",27,6,3,3,934,10.4,2,0,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling
Thomas Paulus,de GER,DF,9,6,0,0,625,6.9,1,1,/en/players/6882dde6/Thomas-Paulus,6882dde6,Thomas-Paulu
Daniel Klewer,de GER,GK,5,5,0,0,450,5.0,0,0,/en/players/be422691/Daniel-Klewer,be422691,Daniel-Klew
Dirk Langerbein,de GER,GK,3,3,0,0,270,3.0,0,0,/en/players/e2e26bd4/Dirk-Langerbein,2e26bd4,Dirk-Langerbei
Samuel Slovák,sk SVK,"FW,MF",13,2,0,3,399,4.4,0,0,/en/players/adca09f2/Samuel-Slovak,dca09f2,Samuel-Slovak
Tigrão,br BRA,DF,3,1,0,0,50,0.6,1,0,/en/players/363b5378/Tigrao,363b5378,Tigrao
Lawrence Aidoo,gh GHA,"FW,MF",7,0,2,0,165,1.8,4,0,/en/players/21221526/Lawrence-Aidoo,21221526,Lawrence-Aidoo
Marcel Ketelaer,de GER,"FW,MF",4,0,2,0,116,1.3,0,0,/en/players/d6fb7ed7/Marcel-Ketelaer,d6fb7ed7,Marcel-Ket
﻿2005-2006,Nurnberg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Raphael Schäfer,de GER,GK,34,34,0,0,"3,015",33.5,4,0,/en/players/ceb3ae23/Raphael-Schafer,ceb3ae23,Raphael-Schaf
Jan Polák,cz CZE,MF,32,32,1,1,"2,655",29.5,5,1,/en/players/c36c5174/Jan-Polak,c36c5174,Jan-Polak
Mario Cantaluppi,ch SUI,"DF,MF",32,31,4,0,"2,787",31.0,8,0,/en/players/e903c9f6/Mario-Cantaluppi,903c9f6,Mario-Cantaluppi
Róbert Vittek,sk SVK,FW,30,24,4,16,"2,149",23.9,1,0,/en/players/840573e7/Robert-Vittek,840573e7,Robert-Vittek
Javier Pinola,ar ARG,DF,25,24,2,1,"2,070",23.0,12,0,/en/players/faa5ffa8/Javier-Pinola,faa5ffa8,Javier-Pino
Marek Nikl,cz CZE,DF,27,24,0,2,"2,066",23.0,5,1,/en/players/791af867/Marek-Nikl,791af867,Marek-Nik
Dominik Reinhardt,de GER,DF,24,22,0,1,"1,916",21.3,3,0,/en/players/6b1eebd3/Dominik-Reinhardt,6b1eebd3,Dominik-Reinhardt
Ivan Saenko,ru RUS,"FW,MF",25,22,6,8,"1,892",21.0,5,0,/en/players/d49776fd/Ivan-Saenko,d49776fd,Ivan-Saenko
Jawhar Mnari,tn TUN,MF,23,21,1,1,"1,746",19.4,4,0,/en/players/91e72a99/Jawhar-Mnari,91e72a99,Jawhar-Mnari
Stefan Kießling,de GER,"FW,MF",31,20,4,10,"2,007",22.3,6,0,/en/players/c419e035/Stefan-Kiessling,c419e035,Stefan-Kiessling
Markus Schroth,de GER,FW,29,20,3,4,"1,858",20.6,1,0,/en/players/495af691/Markus-Schroth,495af691,Markus-Schroth
Andreas Wolf,de GER,DF,20,16,1,0,"1,480",16.4,7,0,/en/players/69758d30/Andreas-Wolf,69758d30,Andreas-Wolf
