2012-2013,Osasuna
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Andrés Fernández,es ESP,GK,37,37,0,0,"3,330",37.0,2,0,/en/players/307fcd26/Andres-Fernandez,307fcd26,Andres-Fernandez
Alejandro Arribas,es ESP,DF,34,32,0,2,"2,744",30.5,12,3,/en/players/cc29324e/Alejandro-Arribas,cc29324e,Alejandro-Arrib
Emiliano Armenteros,ar ARG,MF,30,30,5,3,"2,613",29.0,11,1,/en/players/66475fb9/Emiliano-Armenteros,66475fb9,Emiliano-Armentero
Damià Abella,es ESP,"DF,MF",29,29,1,0,"2,471",27.5,15,0,/en/players/e35b4a15/Damia-Abella,35b4a15,Damia-Ab
Oier Sanjurjo,es ESP,"DF,MF",31,25,0,0,"2,311",25.7,12,0,/en/players/466824fb/Oier-Sanjurjo,466824fb,Oier-Sanjurjo
Álvaro Cejudo,es ESP,MF,32,25,6,3,"1,985",22.1,3,0,/en/players/a39b23eb/Alvaro-Cejudo,39b23eb,Alvaro-Cejudo
Enrique Sola,es ESP,FW,31,24,1,8,"2,056",22.8,4,0,/en/players/bef2e50e/Enrique-Sola,bef2e50e,Enrique-So
Miguel Flaño,es ESP,DF,22,22,0,0,"1,912",21.2,5,0,/en/players/1662668d/Miguel-Flano,1662668d,Miguel-Flano
Marc Bertrán,es ESP,DF,23,20,1,0,"1,860",20.7,8,0,/en/players/89a12cef/Marc-Bertran,89a12cef,Marc-Bert
Raoul Loé,cm CMR,MF,23,18,1,2,"1,572",17.5,3,0,/en/players/afcf961b/Raoul-Loe,fcf961b,Raoul-Lo
Nino,es ESP,"FW,MF",25,17,1,3,"1,620",18.0,1,0,/en/players/03dc5b1f/Nino,03dc5b1f,Nino
Lolo,es ESP,"DF,MF",22,17,1,1,"1,604",17.8,6,0,/en/players/31c71140/Lolo,31c71140,Lolo
Nano,es ESP,"DF,FW",18,16,0,0,"1,399",15.5,5,1,/en/players/51fbb7e2/Nano,51fbb7e2,Nano
Rubén,es ESP,DF,16,15,0,1,"1,325",14.7,6,1,/en/players/d0c06281/Ruben,d0c06281,Rub
Miguel de las Cuevas,es ESP,MF,16,15,0,1,"1,123",12.5,1,0,/en/players/2e1cf3d2/Miguel-de-las-Cuevas,2e1cf3d2,Miguel-de-las-Cuev
Francisco Silva,cl CHI,"DF,MF",16,14,1,1,"1,301",14.5,3,1,/en/players/11d68e60/Francisco-Silva,11d68e60,Francisco-Silv
Francisco Puñal,es ESP,MF,22,13,1,1,"1,388",15.4,5,1,/en/players/408ec22e/Francisco-Punal,408ec22e,Francisco-Pu
Sisi,es ESP,"FW,MF",11,11,0,0,781,8.7,3,0,/en/players/add7ec92/Sisi,dd7ec92,Sisi
David Timor,es ESP,"DF,MF",16,10,2,1,937,10.4,3,1,/en/players/174651c8/David-Timor,174651c8,David-Timo
Joseba Llorente,es ESP,FW,24,10,0,1,909,10.1,2,1,/en/players/ddb98947/Joseba-Llorente,ddb98947,Joseba-Llorent
Roland Lamah,be BEL,"FW,MF",15,7,2,2,781,8.7,2,0,/en/players/336a36fb/Roland-Lamah,336a36fb,Roland-Lamah
Anthony Annan,gh GHA,MF,6,5,0,0,382,4.2,1,0,/en/players/1c524d4a/Anthony-Annan,1c524d4a,Anthony-A
Masoud Shojaei,ir IRN,MF,14,2,0,1,418,4.6,1,0,/en/players/a898d91e/Masoud-Shojaei,898d91e,Masoud-Shojaei
Roberto Torres,es ESP,MF,5,1,0,1,176,2.0,0,0,/en/players/d733aa38/Roberto-Torres,d733aa38,Roberto-To
Unai García,es ESP,DF,1,1,0,0,90,1.0,1,0,/en/players/4a633cfe/Unai-Garcia,4a633cfe,Unai-Garci
Asier Riesgo,es ESP,GK,1,1,0,0,74,0.8,0,0,/en/players/581c5276/Asier-Riesgo,581c5276,Asier-Riesgo
Ion Echaide,es ESP,DF,1,1,0,0,58,0.6,0,0,/en/players/2ad367bb/Ion-Echaide,2ad367bb,Ion-Echaid
Manuel Onwu,es ESP,FW,6,0,1,1,138,1.5,0,0,/en/players/344376b6/Manuel-Onwu,344376b6,Manuel-Onwu
Ricardo,es ESP,GK,1,0,0,0,16,0.2,0,0,/en/players/2fe713ed/Ricardo,2fe713ed,Ricardo
Maikel Mesa,es ESP,MF,1,0,0,0,13,0.1,0,0,/en/players/2afb7b21/Maikel-Mesa,2afb7b21,Maikel-M
