2006-2007,Paderborn-07
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Roel Brouwers,nl NED,DF,33,33,1,4,"2,970",33.0,8,0,/en/players/82f61d83/Roel-Brouwers,82f61d83,Roel-Brouw
Tom Starke,de GER,GK,30,30,0,0,"2,659",29.5,0,0,/en/players/5b52d1f7/Tom-Starke,5b52d1f7,Tom-Stark
David Fall,de GER,DF,29,29,2,0,"2,594",28.8,5,0,/en/players/d1ef5f4f/David-Fall,d1ef5f4f,David-F
Garry De Graef,be BEL,DF,26,26,0,1,"2,296",25.5,2,0,/en/players/924b0501/Garry-De-Graef,924b0501,Garry-De-Graef
Benjamin Schüßler,de GER,MF,32,26,3,2,"2,070",23.0,5,0,/en/players/906ffa14/Benjamin-Schussler,906ffa14,Benjamin-Schu
René Müller,de GER,FW,26,25,3,7,"2,135",23.7,10,0,/en/players/a7a24279/Rene-Muller,7a24279,Rene-Mu
Markus Krösche,de GER,"DF,MF",25,24,0,0,"2,030",22.6,8,0,/en/players/51f50297/Markus-Krosche,51f50297,Markus-Krosch
Marc Gouiffe à Goufan,cm CMR,"DF,MF",25,24,0,1,"1,873",20.8,4,1,/en/players/82a76d36/Marc-Gouiffe-a-Goufan,82a76d36,Marc-Gouiffe-a-Gouf
Andrew Sinkala,zm ZAM,MF,23,22,1,0,"1,994",22.2,5,0,/en/players/676808bb/Andrew-Sinkala,676808bb,Andrew-Sink
Duško Đurišić,me MNE,DF,23,22,0,2,"1,798",20.0,3,0,/en/players/02e70c3a/Dusko-Djurisic,02e70c3a,Dusko-Djurisic
Erwin Koen,nl NED,FW,24,21,3,3,"1,677",18.6,8,0,/en/players/f83cd175/Erwin-Koen,f83cd175,Erwin-Ko
Daniel Brinkmann,de GER,MF,24,17,0,0,"1,420",15.8,1,0,/en/players/9f4b3eba/Daniel-Brinkmann,9f4b3eba,Daniel-Brinkm
Nils Döring,de GER,DF,19,14,0,0,"1,307",14.5,2,0,/en/players/c76a5058/Nils-Doring,c76a5058,Nils-Doring
Hüzeyfe Doğan,tr TUR,MF,16,10,1,2,866,9.6,2,0,/en/players/128eae5a/Huzeyfe-Dogan,128eae5a,Huzeyfe-Dog
Jérôme Colinet,be BEL,MF,15,9,0,0,940,10.4,1,0,/en/players/6b7d80e4/Jerome-Colinet,6b7d80e4,Jerome-Colinet
Nebojša Krupniković,rs SRB,MF,12,9,3,2,887,9.9,1,0,/en/players/9eb090ea/Nebojsa-Krupnikovic,9eb090ea,Nebojsa-Krupnikovic
Timo Röttger,de GER,"FW,MF",29,8,1,8,"1,394",15.5,5,0,/en/players/5987e18e/Timo-Rottger,5987e18e,Timo-Rottg
Dennis Schulp,nl NED,FW,12,8,1,0,650,7.2,0,0,/en/players/8a9ab426/Dennis-Schulp,8a9ab426,Dennis-Schu
Thomas Bröker,de GER,"FW,MF",19,7,0,0,816,9.1,2,1,/en/players/90b61b87/Thomas-Broker,90b61b87,Thomas-Brok
Karsten Fischer,de GER,"DF,MF",10,4,3,0,462,5.1,1,0,/en/players/1c48eedd/Karsten-Fischer,1c48eedd,Karsten-Fisch
Lukas Kruse,de GER,GK,5,4,0,0,401,4.5,1,0,/en/players/d479d6fa/Lukas-Kruse,d479d6fa,Lukas-Kru
Mehmet Dragusha,al ALB,MF,6,1,0,0,172,1.9,0,0,/en/players/11fb2158/Mehmet-Dragusha,11fb2158,Mehmet-Dragush
Serdar Bayrak,tr TUR,"FW,MF",2,1,0,0,99,1.1,0,0,/en/players/874eea74/Serdar-Bayrak,874eea74,Serdar-Bayrak
Dion Esajas,nl NED,FW,6,0,1,0,95,1.1,1,0,/en/players/ee6833d9/Dion-Esajas,6833d9,Dion-Esaj
