2020-2021,Paris-Saint-Germain
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Keylor Navas,cr CRC,GK,29,29,0,0,"2,520",28.0,0,0,/en/players/ecada4fc/Keylor-Navas,cada4fc,Keylor-Nav
Kylian Mbappé,fr FRA,"FW,MF",31,27,7,27,"2,380",26.4,5,0,/en/players/42fd9c7f/Kylian-Mbappe,42fd9c7f,Kylian-Mb
Presnel Kimpembe,fr FRA,DF,28,26,0,0,"2,303",25.6,6,1,/en/players/aef6e670/Presnel-Kimpembe,f6e670,Presnel-Kimpemb
Marquinhos,br BRA,DF,25,24,1,3,"2,128",23.6,2,0,/en/players/d5f2f82b/Marquinhos,d5f2f82b,Marquinho
Ángel Di María,ar ARG,"MF,FW",27,23,9,4,"1,853",20.6,1,0,/en/players/19cda00b/Angel-Di-Maria,19cda00b,Angel-Di-Mari
Moise Kean,it ITA,FW,26,22,0,13,"1,698",18.9,4,0,/en/players/3d50bcdb/Moise-Kean,3d50bcdb,Moise-K
Idrissa Gana Gueye,sn SEN,MF,28,20,1,2,"1,581",17.6,3,0,/en/players/72c812f3/Idrissa-Gana-Gueye,72c812f3,Idrissa-Gana-Gu
Ander Herrera,es ESP,MF,31,18,3,1,"1,851",20.6,6,0,/en/players/436a9dd0/Ander-Herrera,436a9dd0,Ander-H
Mitchel Bakker,nl NED,DF,26,18,2,0,"1,694",18.8,1,0,/en/players/a8567629/Mitchel-Bakker,8567629,Mitchel-Bakk
Alessandro Florenzi,it ITA,DF,21,18,1,2,"1,538",17.1,1,0,/en/players/e288d4b3/Alessandro-Florenzi,288d4b3,Alessandro-Florenzi
Abdou Diallo,sn SEN,DF,22,17,1,0,"1,490",16.6,3,2,/en/players/fc62f087/Abdou-Diallo,fc62f087,Abdou-Diallo
Thilo Kehrer,de GER,DF,24,16,0,0,"1,616",18.0,3,0,/en/players/51dbeea9/Thilo-Kehrer,51dbeea9,Thilo-Keh
Marco Verratti,it ITA,MF,21,16,2,0,"1,492",16.6,7,0,/en/players/1467af0d/Marco-Verratti,1467af0d,Marco-Verratti
Danilo Pereira,pt POR,"MF,DF",23,16,1,2,"1,430",15.9,3,0,/en/players/8fd9996f/Danilo-Pereira,8fd9996f,Danilo-Perei
Leandro Paredes,ar ARG,MF,21,16,2,1,"1,302",14.5,7,1,/en/players/dff153a4/Leandro-Paredes,dff153a4,Leandro-Pared
Neymar,br BRA,"MF,FW",18,15,5,9,"1,415",15.7,7,2,/en/players/69384e5d/Neymar,69384e5d,Neym
Rafinha,br BRA,"MF,FW",23,15,4,0,"1,361",15.1,2,0,/en/players/0c2ac3cb/Rafinha,0c2ac3cb,Rafinh
Colin Dagba,fr FRA,DF,25,15,2,1,"1,357",15.1,3,0,/en/players/29c02c9f/Colin-Dagba,29c02c9f,Colin-Dagb
Layvin Kurzawa,fr FRA,DF,19,15,1,1,"1,278",14.2,4,1,/en/players/41e7ef1c/Layvin-Kurzawa,41e7ef1c,Layvin-Kurzaw
Pablo Sarabia,es ESP,"FW,MF",27,13,4,6,"1,320",14.7,2,0,/en/players/9744ff80/Pablo-Sarabia,9744ff80,Pablo-Sarabi
Julian Draxler,de GER,"MF,FW",24,12,3,4,"1,064",11.8,3,0,/en/players/1a992676/Julian-Draxler,1a992676,Julian-Drax
Mauro Icardi,ar ARG,FW,20,11,3,7,"1,079",12.0,1,0,/en/players/43b78598/Mauro-Icardi,43b78598,Mauro-Icardi
Sergio Rico,es ESP,GK,10,8,0,0,810,9.0,0,0,/en/players/5f0241b2/Sergio-Rico,5f0241b2,Sergio-Rico
Timothee Pembele,fr FRA,DF,6,3,0,1,383,4.3,1,0,/en/players/f8ce97ca/Timothee-Pembele,f8ce97ca,Timothee-Pemb
Juan Bernat,es ESP,DF,3,2,0,0,194,2.2,2,0,/en/players/433dc9a2/Juan-Bernat,433dc9a2,Juan-Bernat
Kays Ruiz,ma MAR,"FW,MF",7,1,0,0,186,2.1,1,0,/en/players/90a9cc01/Kays-Ruiz,90a9cc01,Kays-Ruiz
Marcin Bułka,pl POL,GK,1,1,0,0,90,1.0,0,0,/en/players/db87a2c4/Marcin-Bulka,db87a2c4,Marcin-Bulk
Arnaud Kalimuendo,fr FRA,FW,1,1,0,0,73,0.8,0,0,/en/players/bf4c41f9/Arnaud-Kalimuendo,bf4c41f9,Arnaud-Kalimuendo
Bandiougou Fadiga,fr FRA,"FW,MF",6,0,0,0,63,0.7,1,0,/en/players/45bb4303/Bandiougou-Fadiga,45bb4303,Bandiougou-Fadig
Jesé,es ESP,FW,2,0,0,0,24,0.3,0,0,/en/players/4a537185/Jese,4a537185,J
Edouard Michut,fr FRA,MF,1,0,0,0,2,0.0,0,0,/en/players/fe6c1add/Edouard-Michut,fe6c1add,Edouard-Michut
Kenny Nagera,fr FRA,MF,1,0,0,0,2,0.0,0,0,/en/players/833ce5f0/Kenny-Nagera,833ce5f0,Kenny-Nag
