,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Mauricio Pochettino,/en/players/92c5faee/Mauricio-Pochettino,92c5faee,Mauricio-Pochettino,ar ARG,DF
1,Gabriel Heinze,/en/players/54629cf9/Gabriel-Heinze,54629cf9,Gabriel-Heinz,ar ARG,DF
2,Jérôme Leroy,/en/players/a6607cb6/Jerome-Leroy,6607cb6,Jerome-Lero,fr FRA,MF
3,Cristóbal Parralo,/en/players/814fda14/Cristobal-Parralo,814fda14,Cristobal-Parralo,es ESP,DF
4,Frédéric Déhu,/en/players/e972aae6/Frederic-Dehu,972aae6,Frederic-Dehu,fr FRA,"DF,MF"
5,Fabrice Fiorèse,/en/players/41585f65/Fabrice-Fiorese,41585f65,Fabrice-Fio,fr FRA,"FW,MF"
6,Lionel Letizi,/en/players/6b7bf7e0/Lionel-Letizi,6b7bf7e0,Lionel-Letizi,fr FRA,GK
7,Lionel Potillon,/en/players/be54ffd6/Lionel-Potillon,be54ffd6,Lionel-Potillo,fr FRA,DF
8,Ronaldinho,/en/players/34edcab0/Ronaldinho,34edcab0,Ronaldinho,br BRA,"FW,MF"
9,Aloísio,/en/players/9a3cc558/Aloisio,9a3cc558,Aloisio,br BRA,FW
10,Paulo César,/en/players/64ba29d0/Paulo-Cesar,64ba29d0,Paulo-C,br BRA,"DF,MF"
11,Alex Nyarko,/en/players/52343df1/Alex-Nyarko,52343df1,Alex-Nyarko,gh GHA,MF
12,André Luiz Moreira,/en/players/b6a77d10/Andre-Luiz-Moreira,b6a77d10,Andre-Luiz-Morei,br BRA,"DF,MF"
13,Martín Cardetti,/en/players/e4fc03ad/Martin-Cardetti,4fc03ad,Martin-Cardetti,ar ARG,FW
14,Jérôme Alonzo,/en/players/7865d245/Jerome-Alonzo,7865d245,Jerome-Alonzo,fr FRA,GK
15,Stéphane Pédron,/en/players/2323b688/Stephane-Pedron,2323b688,Stephane-Pedro,fr FRA,MF
16,Hugo Leal,/en/players/ee68bdcc/Hugo-Leal,68bdcc,Hugo-L,pt POR,MF
17,Talal El Karkouri,/en/players/a6292419/Talal-El-Karkouri,6292419,Talal-El-Karkouri,ma MAR,"DF,MF"
18,Bartholomew Ogbeche,/en/players/616cc0f7/Bartholomew-Ogbeche,616cc0f7,Bartholomew-Ogbech,ng NGA,FW
19,Didier Domi,/en/players/91736476/Didier-Domi,91736476,Didier-Domi,fr FRA,DF
20,Alioune Touré,/en/players/ec2dc195/Alioune-Toure,c2dc195,Alioune-Tou,fr FRA,"FW,MF"
21,Francis Llacer,/en/players/bc840273/Francis-Llacer,bc840273,Francis-Llac,fr FRA,DF
22,Selim Benachour,/en/players/6d9a4c2f/Selim-Benachour,6d9a4c2f,Selim-Benachou,tn TUN,MF
23,Lorik Cana,/en/players/01ceeb0f/Lorik-Cana,01ceeb0f,Lorik-C,al ALB,"DF,MF"
24,Filipe Teixeira,/en/players/afda7d82/Filipe-Teixeira,fda7d82,Filipe-Teixei,pt POR,MF
25,Romain Rocchi,/en/players/62f07cc1/Romain-Rocchi,62f07cc1,Romain-Rocchi,fr FRA,MF
26,Laurent Leroy,/en/players/a6db43e0/Laurent-Leroy,6db43e0,Laurent-Lero,fr FRA,FW
27,Chiguy Lucau,/en/players/f4dc7aa8/Chiguy-Lucau,f4dc7aa8,Chiguy-Lucau,cd COD,FW
28,Pauleta,/en/players/a484e13e/Pauleta,484e13e,Paulet,pt POR,FW
29,José-Karl Pierre-Fanfan,/en/players/f6cfc003/Jose-Karl-Pierre-Fanfan,f6cfc003,Jose-Karl-Pierre-Fanf,mq MTQ,DF
30,Bernard Mendy,/en/players/ea52a7a5/Bernard-Mendy,52a7a5,Bernard-Mend,fr FRA,"DF,FW"
31,Modeste M'bami,/en/players/82ec2963/Modeste-Mbami,82ec2963,Modeste-Mbami,cm CMR,MF
32,Juan Pablo Sorín,/en/players/239e2070/Juan-Pablo-Sorin,239e2070,Juan-Pablo-Sori,ar ARG,"DF,MF"
