Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Mauricio Pochettino,ar ARG,DF,35,35,0.0,2.0,2002-2003,/en/players/92c5faee/Mauricio-Pochettino,92c5faee,Paris-Saint-Germain,"3,085",34.3,7.0,1.0,88,5.0,3018.0,Paris-Saint-Germain
,Gabriel Heinze,ar ARG,DF,35,34,2.0,2.0,2002-2003,/en/players/54629cf9/Gabriel-Heinze,54629cf9,Paris-Saint-Germain,"3,104",34.5,9.0,0.0,88,5.0,63.0,Paris-Saint-Germain
,Jérôme Leroy,fr FRA,MF,33,33,1.0,5.0,2002-2003,/en/players/a6607cb6/Jerome-Leroy,6607cb6,Paris-Saint-Germain,"2,817",31.3,11.0,1.0,88,4.0,11824.0,Paris-Saint-Germain
,Cristóbal Parralo,es ESP,DF,31,31,1.0,0.0,2002-2003,/en/players/814fda14/Cristobal-Parralo,814fda14,Paris-Saint-Germain,"2,713",30.1,5.0,1.0,88,1.0,12758.0,Paris-Saint-Germain
,Frédéric Déhu,fr FRA,"DF,MF",31,31,2.0,1.0,2002-2003,/en/players/e972aae6/Frederic-Dehu,972aae6,Paris-Saint-Germain,"2,692",29.9,6.0,1.0,88,4.0,11534.0,Paris-Saint-Germain
,Fabrice Fiorèse,fr FRA,"FW,MF",32,29,4.0,3.0,2002-2003,/en/players/41585f65/Fabrice-Fiorese,41585f65,Paris-Saint-Germain,"2,524",28.0,4.0,0.0,88,4.0,11535.0,Paris-Saint-Germain
,Lionel Letizi,fr FRA,GK,26,26,0.0,0.0,2002-2003,/en/players/6b7bf7e0/Lionel-Letizi,6b7bf7e0,Paris-Saint-Germain,"2,340",26.0,1.0,0.0,88,4.0,12653.0,Paris-Saint-Germain
,Lionel Potillon,fr FRA,DF,26,24,1.0,0.0,2002-2003,/en/players/be54ffd6/Lionel-Potillon,be54ffd6,Paris-Saint-Germain,"2,030",22.6,4.0,0.0,88,4.0,213.0,Paris-Saint-Germain
,Ronaldinho,br BRA,"FW,MF",27,20,7.0,8.0,2002-2003,/en/players/34edcab0/Ronaldinho,34edcab0,Paris-Saint-Germain,"1,926",21.4,3.0,1.0,88,2.0,1075.0,Paris-Saint-Germain
,Aloísio,br BRA,FW,24,19,1.0,8.0,2002-2003,/en/players/9a3cc558/Aloisio,9a3cc558,Paris-Saint-Germain,"1,497",16.6,7.0,1.0,88,2.0,12759.0,Paris-Saint-Germain
,Paulo César,br BRA,"DF,MF",22,16,1.0,4.0,2002-2003,/en/players/64ba29d0/Paulo-Cesar,64ba29d0,Paris-Saint-Germain,"1,495",16.6,3.0,1.0,88,2.0,12760.0,Paris-Saint-Germain
,Alex Nyarko,gh GHA,MF,17,16,1.0,0.0,2002-2003,/en/players/52343df1/Alex-Nyarko,52343df1,Paris-Saint-Germain,"1,294",14.4,5.0,2.0,88,17.0,6637.0,Paris-Saint-Germain
,André Luiz Moreira,br BRA,"DF,MF",17,15,3.0,1.0,2002-2003,/en/players/b6a77d10/Andre-Luiz-Moreira,b6a77d10,Paris-Saint-Germain,"1,182",13.1,5.0,1.0,88,2.0,12761.0,Paris-Saint-Germain
,Martín Cardetti,ar ARG,FW,21,14,0.0,7.0,2002-2003,/en/players/e4fc03ad/Martin-Cardetti,4fc03ad,Paris-Saint-Germain,"1,230",13.7,0.0,0.0,88,5.0,2529.0,Paris-Saint-Germain
,Jérôme Alonzo,fr FRA,GK,12,12,0.0,0.0,2002-2003,/en/players/7865d245/Jerome-Alonzo,7865d245,Paris-Saint-Germain,"1,080",12.0,1.0,0.0,88,4.0,12506.0,Paris-Saint-Germain
,Stéphane Pédron,fr FRA,MF,13,11,0.0,2.0,2002-2003,/en/players/2323b688/Stephane-Pedron,2323b688,Paris-Saint-Germain,995,11.1,1.0,0.0,88,4.0,12295.0,Paris-Saint-Germain
