2002-2003,Paris-Saint-Germain
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mauricio Pochettino,ar ARG,DF,35,35,0,2,"3,085",34.3,7,1,/en/players/92c5faee/Mauricio-Pochettino,92c5faee,Mauricio-Pochettino
Gabriel Heinze,ar ARG,DF,35,34,2,2,"3,104",34.5,9,0,/en/players/54629cf9/Gabriel-Heinze,54629cf9,Gabriel-Heinz
Jérôme Leroy,fr FRA,MF,33,33,1,5,"2,817",31.3,11,1,/en/players/a6607cb6/Jerome-Leroy,6607cb6,Jerome-Lero
Cristóbal Parralo,es ESP,DF,31,31,1,0,"2,713",30.1,5,1,/en/players/814fda14/Cristobal-Parralo,814fda14,Cristobal-Parralo
Frédéric Déhu,fr FRA,"DF,MF",31,31,2,1,"2,692",29.9,6,1,/en/players/e972aae6/Frederic-Dehu,972aae6,Frederic-Dehu
Fabrice Fiorèse,fr FRA,"FW,MF",32,29,4,3,"2,524",28.0,4,0,/en/players/41585f65/Fabrice-Fiorese,41585f65,Fabrice-Fio
Lionel Letizi,fr FRA,GK,26,26,0,0,"2,340",26.0,1,0,/en/players/6b7bf7e0/Lionel-Letizi,6b7bf7e0,Lionel-Letizi
Lionel Potillon,fr FRA,DF,26,24,1,0,"2,030",22.6,4,0,/en/players/be54ffd6/Lionel-Potillon,be54ffd6,Lionel-Potillo
Ronaldinho,br BRA,"FW,MF",27,20,7,8,"1,926",21.4,3,1,/en/players/34edcab0/Ronaldinho,34edcab0,Ronaldinho
Aloísio,br BRA,FW,24,19,1,8,"1,497",16.6,7,1,/en/players/9a3cc558/Aloisio,9a3cc558,Aloisio
Paulo César,br BRA,"DF,MF",22,16,1,4,"1,495",16.6,3,1,/en/players/64ba29d0/Paulo-Cesar,64ba29d0,Paulo-C
Alex Nyarko,gh GHA,MF,17,16,1,0,"1,294",14.4,5,2,/en/players/52343df1/Alex-Nyarko,52343df1,Alex-Nyarko
André Luiz Moreira,br BRA,"DF,MF",17,15,3,1,"1,182",13.1,5,1,/en/players/b6a77d10/Andre-Luiz-Moreira,b6a77d10,Andre-Luiz-Morei
Martín Cardetti,ar ARG,FW,21,14,0,7,"1,230",13.7,0,0,/en/players/e4fc03ad/Martin-Cardetti,4fc03ad,Martin-Cardetti
Jérôme Alonzo,fr FRA,GK,12,12,0,0,"1,080",12.0,1,0,/en/players/7865d245/Jerome-Alonzo,7865d245,Jerome-Alonzo
Stéphane Pédron,fr FRA,MF,13,11,0,2,995,11.1,1,0,/en/players/2323b688/Stephane-Pedron,2323b688,Stephane-Pedro
Hugo Leal,pt POR,MF,18,10,1,0,997,11.1,3,1,/en/players/ee68bdcc/Hugo-Leal,68bdcc,Hugo-L
Talal El Karkouri,ma MAR,"DF,MF",13,8,0,1,812,9.0,2,0,/en/players/a6292419/Talal-El-Karkouri,6292419,Talal-El-Karkouri
Bartholomew Ogbeche,ng NGA,FW,17,8,0,1,776,8.6,3,1,/en/players/616cc0f7/Bartholomew-Ogbeche,616cc0f7,Bartholomew-Ogbech
Didier Domi,fr FRA,DF,9,6,1,0,516,5.7,4,0,/en/players/91736476/Didier-Domi,91736476,Didier-Domi
Alioune Touré,fr FRA,"FW,MF",16,4,0,1,492,5.5,0,0,/en/players/ec2dc195/Alioune-Toure,c2dc195,Alioune-Tou
Francis Llacer,fr FRA,DF,13,3,0,0,411,4.6,1,1,/en/players/bc840273/Francis-Llacer,bc840273,Francis-Llac
Selim Benachour,tn TUN,MF,9,3,,0,333,3.7,0,0,/en/players/6d9a4c2f/Selim-Benachour,6d9a4c2f,Selim-Benachou
Lorik Cana,al ALB,"DF,MF",3,3,1,0,270,3.0,1,0,/en/players/01ceeb0f/Lorik-Cana,01ceeb0f,Lorik-C
Filipe Teixeira,pt POR,MF,8,3,0,0,260,2.9,1,0,/en/players/afda7d82/Filipe-Teixeira,fda7d82,Filipe-Teixei
Romain Rocchi,fr FRA,MF,6,2,0,0,249,2.8,2,0,/en/players/62f07cc1/Romain-Rocchi,62f07cc1,Romain-Rocchi
Laurent Leroy,fr FRA,FW,7,1,0,0,181,2.0,0,0,/en/players/a6db43e0/Laurent-Leroy,6db43e0,Laurent-Lero
Chiguy Lucau,cd COD,FW,3,1,0,0,78,0.9,0,0,/en/players/f4dc7aa8/Chiguy-Lucau,f4dc7aa8,Chiguy-Lucau
﻿2003-2004,Paris-Saint-Germain
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Frédéric Déhu,fr FRA,"DF,MF",36,36,1,1,"3,159",35.1,6,0,/en/players/e972aae6/Frederic-Dehu,972aae6,Frederic-Dehu
Pauleta,pt POR,FW,36,35,3,18,"3,085",34.3,3,0,/en/players/a484e13e/Pauleta,484e13e,Paulet
Jérôme Alonzo,fr FRA,GK,34,34,0,0,"2,981",33.1,1,1,/en/players/7865d245/Jerome-Alonzo,7865d245,Jerome-Alonzo
Fabrice Fiorèse,fr FRA,"FW,MF",34,34,11,6,"2,956",32.8,7,0,/en/players/41585f65/Fabrice-Fiorese,41585f65,Fabrice-Fio
Gabriel Heinze,ar ARG,DF,33,33,2,2,"2,970",33.0,6,0,/en/players/54629cf9/Gabriel-Heinze,54629cf9,Gabriel-Heinz
José-Karl Pierre-Fanfan,mq MTQ,DF,34,33,0,1,"2,946",32.7,6,0,/en/players/f6cfc003/Jose-Karl-Pierre-Fanfan,f6cfc003,Jose-Karl-Pierre-Fanf
Bernard Mendy,fr FRA,"DF,FW",33,31,2,0,"2,763",30.7,12,0,/en/players/ea52a7a5/Bernard-Mendy,52a7a5,Bernard-Mend
Modeste M'bami,cm CMR,MF,30,30,1,1,"2,652",29.5,6,1,/en/players/82ec2963/Modeste-Mbami,82ec2963,Modeste-Mbami
Lorik Cana,al ALB,"DF,MF",32,30,0,1,"2,597",28.9,11,2,/en/players/01ceeb0f/Lorik-Cana,01ceeb0f,Lorik-C
Juan Pablo Sorín,ar ARG,"DF,MF",21,21,0,1,"1,791",19.9,3,0,/en/players/239e2070/Juan-Pablo-Sorin,239e2070,Juan-Pablo-Sori
Talal El Karkouri,ma MAR,"DF,MF",26,17,0,0,"1,572",17.5,1,0,/en/players/a6292419/Talal-El-Karkouri,6292419,Talal-El-Karkouri
