2018-2019,Parma
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Simone Iacoponi,it ITA,DF,38,38,0,0,"3,346",37.2,4,0,/en/players/63071a3f/Simone-Iacoponi,63071a3f,Simone-Iacoponi
Luigi Sepe,it ITA,GK,37,37,0,0,"3,330",37.0,1,0,/en/players/343f753a/Luigi-Sepe,343f753a,Luigi-S
Riccardo Gagliolo,se SWE,DF,34,34,2,0,"3,045",33.8,7,0,/en/players/173061c0/Riccardo-Gagliolo,173061c0,Riccardo-Gagliolo
Bruno Alves,pt POR,DF,33,33,1,4,"2,922",32.5,9,1,/en/players/585a73a8/Bruno-Alves,585a73a8,Bruno-Alv
Antonino Barillà,it ITA,MF,31,30,2,3,"2,618",29.1,10,0,/en/players/a64cbd35/Antonino-Barilla,64cbd35,Antonino-Bari
Gervinho,ci CIV,FW,30,27,2,11,"2,304",25.6,3,0,/en/players/e468c053/Gervinho,468c053,Gervinho
Roberto Inglese,it ITA,FW,25,23,0,9,"1,965",21.8,3,0,/en/players/6c1f7328/Roberto-Inglese,6c1f7328,Roberto-Ing
Luca Rigoni,it ITA,MF,23,20,1,2,"1,761",19.6,5,0,/en/players/4dba2a97/Luca-Rigoni,4dba2a97,Luca-Rigoni
Luca Siligardi,it ITA,FW,29,19,2,1,"1,639",18.2,2,0,/en/players/1cac99dc/Luca-Siligardi,1cac99dc,Luca-Siligardi
Alessandro Bastoni,it ITA,DF,24,18,0,1,"1,690",18.8,2,0,/en/players/75b86fb3/Alessandro-Bastoni,75b86fb3,Alessandro-Bastoni
Juraj Kucka,sk SVK,MF,18,17,3,4,"1,535",17.1,5,1,/en/players/5aaef9ef/Juraj-Kucka,5aaef9ef,Juraj-Kuck
Matteo Scozzarella,it ITA,MF,22,17,3,0,"1,459",16.2,8,0,/en/players/ea164f99/Matteo-Scozzarella,164f99,Matteo-Scozz
Leo Štulac,si SVN,MF,26,17,2,0,"1,452",16.1,3,1,/en/players/92948398/Leo-Stulac,92948398,Leo-Stulac
Massimo Gobbi,it ITA,DF,16,13,1,0,"1,183",13.1,3,0,/en/players/635b0bae/Massimo-Gobbi,635b0bae,Massimo-Gobbi
Fabio Ceravolo,it ITA,FW,25,12,0,2,"1,185",13.2,1,0,/en/players/4cc93246/Fabio-Ceravolo,4cc93246,Fabio-Ceravolo
