2014-2015,Perugia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alessandro Crescenzi,it ITA,DF,39,37,0,0,"3,135",34.8,7,0,/en/players/fab1bd8e/Alessandro-Crescenzi,fab1bd8e,Alessandro-Crescenzi
Edoardo Goldaniga,it ITA,DF,35,35,0,3,"3,145",34.9,10,1,/en/players/4b029b31/Edoardo-Goldaniga,4b029b31,Edoardo-Goldanig
Valerio Verre,it ITA,"FW,MF",37,31,0,5,"2,739",30.4,7,0,/en/players/33ecf462/Valerio-Verre,33ecf462,Valerio-V
Diego Falcinelli,it ITA,FW,38,31,3,14,"2,721",30.2,6,1,/en/players/a39b9ef6/Diego-Falcinelli,39b9ef6,Diego-Falcinelli
Marco Fossati,it ITA,MF,33,28,1,3,"2,531",28.1,5,0,/en/players/39bec070/Marco-Fossati,39bec070,Marco-Fossati
Gianluca Comotto,it ITA,DF,27,27,0,0,"2,255",25.1,11,2,/en/players/d7a5f9ce/Gianluca-Comotto,d7a5f9ce,Gianluca-Comotto
Guillermo Giacomazzi,uy URU,MF,25,24,0,1,"2,113",23.5,8,0,/en/players/d882a752/Guillermo-Giacomazzi,d882a752,Guillermo-Giacomazzi
Ivan Provedel,it ITA,GK,24,23,0,0,"2,132",23.7,0,1,/en/players/277da414/Ivan-Provedel,277da414,Ivan-Proved
Jan Koprivec,si SVN,GK,19,18,0,0,"1,568",17.4,1,1,/en/players/884e77f9/Jan-Koprivec,884e77f9,Jan-Koprivec
Rodrigo Taddei,br BRA,"DF,FW",25,17,0,3,"1,546",17.2,5,1,/en/players/ec2042ad/Rodrigo-Taddei,c2042ad,Rodrigo-Taddei
Fabinho,br BRA,FW,21,17,4,2,"1,531",17.0,3,1,/en/players/b7b9c4fc/Fabinho,b7b9c4fc,Fabinho
Lorenzo Del Prete,it ITA,DF,17,17,1,2,"1,417",15.7,2,0,/en/players/fd45acf8/Lorenzo-Del-Prete,fd45acf8,Lorenzo-Del-Pret
Davide Lanzafame,it ITA,"FW,MF",23,16,0,1,"1,490",16.6,2,0,/en/players/7de27356/Davide-Lanzafame,7de27356,Davide-Lanzafam
Gianluca Nicco,it ITA,MF,26,15,0,0,"1,413",15.7,5,1,/en/players/256392c6/Gianluca-Nicco,256392c6,Gianluca-Nicco
Nicolò Fazzi,it ITA,"DF,MF",27,15,0,1,"1,389",15.4,5,0,/en/players/82b6415c/Nicolo-Fazzi,82b6415c,Nicolo-Fazzi
Matteo Ardemagni,it ITA,FW,16,15,0,6,"1,230",13.7,2,0,/en/players/94a2c317/Matteo-Ardemagni,94a2c317,Matteo-Ardemagni
Vittorio Parigini,it ITA,"FW,MF",30,14,1,4,"1,503",16.7,9,0,/en/players/75efed2e/Vittorio-Parigini,75efed2e,Vittorio-Parigini
Davide Faraoni,it ITA,"DF,MF",15,14,3,1,"1,292",14.4,3,0,/en/players/aae9d04a/Davide-Faraoni,9d04a,Davide-Faraoni
Marco Rossi,it ITA,DF,10,9,0,0,843,9.4,4,0,/en/players/9fe54f03/Marco-Rossi,9fe54f03,Marco-Rossi
Andrea Mantovani,it ITA,DF,9,9,0,0,810,9.0,3,0,/en/players/edd0f995/Andrea-Mantovani,dd0f995,Andrea-Mantovani
Ahmed Hegazi,eg EGY,DF,10,9,0,0,776,8.6,3,1,/en/players/5540c9dc/Ahmed-Hegazi,5540c9dc,Ahmed-Hegazi
Michael Rabušic,cz CZE,FW,13,9,0,0,632,7.0,1,0,/en/players/eab5c31f/Michael-Rabusic,b5c31f,Michael-Rabusic
Giuseppe Rizzo,it ITA,MF,8,8,0,0,588,6.5,2,0,/en/players/ec096f03/Giuseppe-Rizzo,c096f03,Giuseppe-Rizzo
Darío Flores,uy URU,"DF,MF",7,7,0,0,597,6.6,1,0,/en/players/d8a1e1c2/Dario-Flores,d8a1e1c2,Dario-Flo
Vinícius Freitas,br BRA,DF,14,5,0,0,645,7.2,2,0,/en/players/5102e15c/Vinicius-Freitas,5102e15c,Vinicius-Freit
Brayan Perea,co COL,FW,16,5,0,1,591,6.6,1,0,/en/players/a499b56d/Brayan-Perea,499b56d,Brayan-P
Matti Lund Nielsen,dk DEN,MF,12,5,0,0,450,5.0,1,1,/en/players/1978a39a/Matti-Lund-Nielsen,1978a39a,Matti-Lund-Ni
Marco Amelia,it ITA,GK,1,1,0,0,90,1.0,0,0,/en/players/54da8e59/Marco-Amelia,54da8e59,Marco-Ameli
Alessio Lo,,,2,1,0,0,79,0.9,0,0,No detected,,
Marco Baldan,,,1,0,0,0,45,0.5,0,0,No detected,,
Nicolò Pozzebon,it ITA,FW,1,0,0,0,19,0.2,1,0,/en/players/58e0e7ef/Nicolo-Pozzebon,58e0e7ef,Nicolo-Pozzebo
Matteo Lignani,it ITA,MF,2,0,0,0,9,0.1,0,0,/en/players/48fb5cb1/Matteo-Lignani,48fb5cb1,Matteo-Lignani
Marco Baldan,it ITA,DF,0,0,,,,,,,/en/players/41f91925/Marco-Baldan,41f91925,Marco-Bald
Daniele Barilaro,it ITA,DF,0,0,,,,,,,/en/players/9457188a/Daniele-Barilaro,9457188a,Daniele-Barilaro
Lorenzo Bordo,it ITA,MF,0,0,,,,,,,/en/players/2a6c0641/Lorenzo-Bordo,2a6c0641,Lorenzo-Bordo
Raffaele Esposito,it ITA,GK,0,0,,,,,,,/en/players/f45865a7/Raffaele-Esposito,f45865a7,Raffaele-Esposito
Filipe Gomes,br BRA,MF,0,0,,,,,,,/en/players/3079ab3f/Filipe-Gomes,3079ab3f,Filipe-Gom
Alessio Lo Porto,it ITA,DF,0,0,,,,,,,/en/players/dda13b7c/Alessio-Lo-Porto,dda13b7c,Alessio-Lo-Porto
Kevin Méndez,uy URU,FW,0,0,,,,,,,/en/players/c3023440/Kevin-Mendez,c3023440,Kevin-Mendez
Edoardo Pettinelli,it ITA,FW,0,0,,,,,,,/en/players/f4cabf26/Edoardo-Pettinelli,f4cabf26,Edoardo-Pettinelli
Mattia Proietti,it ITA,DF,0,0,,,,,,,/en/players/d8c83ccf/Mattia-Proietti,d8c83ccf,Mattia-Proietti
Simone Rossin,it ITA,GK,0,0,,,,,,,/en/players/17783890/Simone-Rossin,17783890,Simone-Rossi
Pierre Zebli,ci CIV,FW,0,0,,,,,,,/en/players/17894253/Pierre-Zebli,17894253,Pierre-Zebli
Marco Zemelo,it ITA,FW,0,0,,,,,,,/en/players/38ad6ebf/Marco-Zemelo,38ad6ebf,Marco-Zemelo
