,Player,Link,Player_name(param),Player_id(param)
0,﻿Zé Maria,/en/players/c4e72f3d/Ze-Maria,Ze-Maria,c4e72f3d
1,Fabrizio Miccoli,/en/players/80221e9b/Fabrizio-Miccoli,Fabrizio-Miccoli,80221e9b
2,Marco Di Loreto,/en/players/b0c42340/Marco-Di-Loreto,Marco-Di-Loreto,b0c42340
3,Mauro Milanese,/en/players/51b36a39/Mauro-Milanese,Mauro-Milanese,51b36a39
4,Fabio Grosso,/en/players/db77a624/Fabio-Grosso,Fabio-Grosso,db77a624
5,Manuele Blasi,/en/players/7aae335a/Manuele-Blasi,Manuele-Blasi,7aae335a
6,Giovanni Tedesco,/en/players/01666ea1/Giovanni-Tedesco,Giovanni-Tedesco,01666ea1
7,Zisis Vryzas,/en/players/e477030a/Zisis-Vryzas,Zisis-Vryzas,e477030a
8,Christian Obodo,/en/players/dc97300e/Christian-Obodo,Christian-Obodo,dc97300e
9,Zeljko Kalac,/en/players/ecbb480a/Zeljko-Kalac,Zeljko-Kalac,ecbb480a
10,Sean Sogliano,/en/players/54875eee/Sean-Sogliano,Sean-Sogliano,54875eee
11,Massimiliano Fusani,/en/players/4dcbda67/Massimiliano-Fusani,Massimiliano-Fusani,4dcbda67
12,Sebastiano Rossi,/en/players/a34be5af/Sebastiano-Rossi,Sebastiano-Rossi,a34be5af
13,Rahman Rezaei,/en/players/601737c7/Rahman-Rezaei,Rahman-Rezaei,601737c7
14,Andrea Caracciolo,/en/players/61e267c5/Andrea-Caracciolo,Andrea-Caracciolo,61e267c5
15,William Viali,/en/players/2d4c95ac/William-Viali,William-Viali,2d4c95ac
16,Roberto Baronio,/en/players/6888b53a/Roberto-Baronio,Roberto-Baronio,6888b53a
17,Kostas Louboutis,/en/players/9d3f5895/Kostas-Louboutis,Kostas-Louboutis,9d3f5895
18,Emanuele Berrettoni,/en/players/84bee4da/Emanuele-Berrettoni,Emanuele-Berrettoni,84bee4da
19,Nicola Amoruso,/en/players/a65205a4/Nicola-Amoruso,Nicola-Amoruso,a65205a4
20,Michele Tardioli,/en/players/fd647b61/Michele-Tardioli,Michele-Tardioli,fd647b61
21,Giovanni Sulcis,/en/players/574b8c23/Giovanni-Sulcis,Giovanni-Sulcis,574b8c23
22,Lorenzo Crocetti,/en/players/87a6f455/Lorenzo-Crocetti,Lorenzo-Crocetti,87a6f455
23,Antonio Criniti,/en/players/ce8aed8c/Antonio-Criniti,Antonio-Criniti,ce8aed8c
24,Fabio Gatti,/en/players/4424bcaf/Fabio-Gatti,Fabio-Gatti,4424bcaf
25,﻿Marco Di Loreto,/en/players/b0c42340/Marco-Di-Loreto,Marco-Di-Loreto,b0c42340
26,Zé Maria,/en/players/c4e72f3d/Ze-Maria,Ze-Maria,c4e72f3d
27,Souleymane Diamoutene,/en/players/1b34cca1/Souleymane-Diamoutene,Souleymane-Diamoutene,1b34cca1
28,Jay Bothroyd,/en/players/8cdc5afd/Jay-Bothroyd,Jay-Bothroyd,8cdc5afd
29,Eusebio Di Francesco,/en/players/9a729928/Eusebio-Di-Francesco,Eusebio-Di-Francesco,9a729928
30,Giovanni Ignoffo,/en/players/63a7e33c/Giovanni-Ignoffo,Giovanni-Ignoffo,63a7e33c
31,Salvatore Fresi,/en/players/b1844739/Salvatore-Fresi,Salvatore-Fresi,b1844739
32,Massimo Margiotta,/en/players/8056b6e9/Massimo-Margiotta,Massimo-Margiotta,8056b6e9
33,Paul Codrea,/en/players/771fa9b8/Paul-Codrea,Paul-Codrea,771fa9b8
34,Christian Manfredini,/en/players/339ae404/Christian-Manfredini,Christian-Manfredini,339ae404
35,Ferdinand Coly,/en/players/da5d198d/Ferdinand-Coly,Ferdinand-Coly,da5d198d
36,Fabrizio Ravanelli,/en/players/dc462766/Fabrizio-Ravanelli,Fabrizio-Ravanelli,dc462766
37,Franco Brienza,/en/players/aff058a4/Franco-Brienza,Franco-Brienza,aff058a4
38,Fabiano,/en/players/2db8eed9/Fabiano,Fabiano,2db8eed9
39,Vaggelis Nastos,/en/players/f929aced/Vaggelis-Nastos,Vaggelis-Nastos,f929aced
40,Jamal Alioui,/en/players/7c4abc26/Jamal-Alioui,Jamal-Alioui,7c4abc26
41,Guly do Prado,/en/players/3ed6e788/Guly-do-Prado,Guly-do-Prado,3ed6e788
42,Luigi Giandomenico,/en/players/ea1e87eb/Luigi-Giandomenico,Luigi-Giandomenico,ea1e87eb
43,Marcelo Zalayeta,/en/players/707e472c/Marcelo-Zalayeta,Marcelo-Zalayeta,707e472c
44,Stefano Pardini,/en/players/e96799fd/Stefano-Pardini,Stefano-Pardini,e96799fd
45,Gabriele Scandurra,/en/players/77f1ba1c/Gabriele-Scandurra,Gabriele-Scandurra,77f1ba1c
46,Francesco Zerbini,/en/players/c5621949/Francesco-Zerbini,Francesco-Zerbini,c5621949
47,Roberto Cardinale,/en/players/ab42b3e9/Roberto-Cardinale,Roberto-Cardinale,ab42b3e9
48,Al-Saadi Gaddafi,/en/players/1d6a98c1/Al-Saadi-Gaddafi,Al-Saadi-Gaddafi,1d6a98c1
49,﻿Mauro Milanese,/en/players/51b36a39/Mauro-Milanese,Mauro-Milanese,51b36a39
50,Guglielmo Stendardo,/en/players/333a9ae7/Guglielmo-Stendardo,Guglielmo-Stendardo,333a9ae7
51,Davide Baiocco,/en/players/98a44c3c/Davide-Baiocco,Davide-Baiocco,98a44c3c
52,Giuseppe Mascara,/en/players/d4fb7e8e/Giuseppe-Mascara,Giuseppe-Mascara,d4fb7e8e
53,Gennaro Delvecchio,/en/players/8aa604d1/Gennaro-Delvecchio,Gennaro-Delvecchio,8aa604d1
54,Ferreira Pinto,/en/players/d50a481c/Ferreira-Pinto,Ferreira-Pinto,d50a481c
55,Jaroslav Šedivec,/en/players/92975769/Jaroslav-Sedivec,Jaroslav-Sedivec,92975769
56,Gionata Mingozzi,/en/players/3af3bc0e/Gionata-Mingozzi,Gionata-Mingozzi,3af3bc0e
57,Antonio Floro Flores,/en/players/d6846501/Antonio-Floro-Flores,Antonio-Floro-Flores,d6846501
58,Massimiliano Ferrigno,/en/players/d519a362/Massimiliano-Ferrigno,Massimiliano-Ferrigno,d519a362
59,Giorgio Gorgone,/en/players/db59324f/Giorgio-Gorgone,Giorgio-Gorgone,db59324f
