2017-2018,Pescara
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Gastón Brugman,uy URU,MF,41,41,4,7,"3,652",40.6,5,0,/en/players/e947ee4a/Gaston-Brugman,947ee4a,Gaston-Brugm
Stefano Pettinari,it ITA,FW,38,38,4,13,"3,160",35.1,2,0,/en/players/23f49f0e/Stefano-Pettinari,23f49f0e,Stefano-Pettinari
Vincenzo Fiorillo,it ITA,GK,34,34,0,0,"3,060",34.0,2,0,/en/players/a2565f79/Vincenzo-Fiorillo,2565f79,Vincenzo-Fiorillo
Marco Perrotta,it ITA,DF,32,32,0,0,"2,678",29.8,15,1,/en/players/90a4ec57/Marco-Perrotta,90a4ec57,Marco-Perrott
Leonardo Mancuso,it ITA,FW,34,29,3,9,"2,452",27.2,2,0,/en/players/311027cb/Leonardo-Mancuso,311027cb,Leonardo-Mancuso
Antonio Mazzotta,it ITA,DF,29,28,3,0,"2,505",27.8,2,0,/en/players/4366d5e9/Antonio-Mazzotta,4366d5e9,Antonio-Mazzott
Alessandro Crescenzi,it ITA,"DF,MF",29,25,2,1,"2,208",24.5,3,2,/en/players/fab1bd8e/Alessandro-Crescenzi,fab1bd8e,Alessandro-Crescenzi
Andrea Coda,it ITA,DF,26,24,1,0,"2,018",22.4,11,1,/en/players/6e110b50/Andrea-Coda,6e110b50,Andrea-Cod
Luca Valzania,it ITA,MF,33,23,4,5,"2,254",25.0,8,1,/en/players/2b28ba9f/Luca-Valzania,2b28ba9f,Luca-Valzani
Christian Capone,it ITA,FW,24,21,2,6,"1,660",18.4,0,0,/en/players/a05b2549/Christian-Capone,05b2549,Christian-Capo
Mamadou Coulibaly,sn SEN,MF,23,20,2,2,"1,618",18.0,6,0,/en/players/c976160c/Mamadou-Coulibaly,c976160c,Mamadou-Coulib
Marco Carraro,it ITA,MF,22,15,1,0,"1,466",16.3,11,0,/en/players/b09359c3/Marco-Carraro,b09359c3,Marco-Carraro
Michele Fornasier,it ITA,DF,15,12,0,0,"1,161",12.9,2,0,/en/players/fb3890d6/Michele-Fornasier,fb3890d6,Michele-Fornasi
Antonio Balzano,it ITA,"DF,MF",14,12,0,0,"1,080",12.0,4,0,/en/players/a5a44641/Antonio-Balzano,5a44641,Antonio-Balzano
Francesco Zampano,it ITA,DF,11,11,4,0,956,10.6,1,0,/en/players/8e45910b/Francesco-Zampano,8e45910b,Francesco-Zampano
Ferdinando Del Sole,it ITA,FW,14,10,2,0,802,8.9,0,0,/en/players/e6bddd1f/Ferdinando-Del-Sole,6bddd1f,Ferdinando-Del-So
Ahmad Benali,ly LBY,FW,15,9,2,4,958,10.6,1,0,/en/players/a128b07e/Ahmad-Benali,128b07e,Ahmad-Benali
Riccardo Fiamozzi,it ITA,"DF,MF",11,8,1,0,800,8.9,1,0,/en/players/9f9b9269/Riccardo-Fiamozzi,9f9b9269,Riccardo-Fiamozzi
Pepín,gq EQG,MF,10,8,0,2,764,8.5,1,0,/en/players/7afb1573/Pepin,7afb1573,Pepi
Andrew Gravillon,gp GLP,DF,9,8,0,0,744,8.3,3,0,/en/players/49136c42/Andrew-Gravillon,49136c42,Andrew-Gravillo
Mirko Pigliacelli,it ITA,GK,8,8,0,0,720,8.0,0,0,/en/players/6ab82588/Mirko-Pigliacelli,6ab82588,Mirko-Pigliacelli
Cesare Bovo,it ITA,DF,8,7,0,0,707,7.9,4,0,/en/players/6d584b34/Cesare-Bovo,6d584b34,Cesare-Bovo
Andrea Palazzi,it ITA,MF,9,7,0,0,580,6.4,1,0,/en/players/1f3cf2d5/Andrea-Palazzi,1f3cf2d5,Andrea-Palazzi
Mattia Proietti,it ITA,MF,7,6,2,0,464,5.2,1,0,/en/players/55d79b9c/Mattia-Proietti,55d79b9c,Mattia-Proietti
Hugo Campagnaro,ar ARG,DF,7,5,0,0,524,5.8,3,2,/en/players/2ac01901/Hugo-Campagnaro,2ac01901,Hugo-Campagnaro
Filippo Falco,it ITA,"FW,MF",8,5,1,0,408,4.5,0,0,/en/players/e23f56c1/Filippo-Falco,23f56c1,Filippo-Falco
Cristian Bunino,it ITA,FW,13,4,1,1,472,5.2,1,0,/en/players/2a12dacb/Cristian-Bunino,2a12dacb,Cristian-Bunino
Franck Kanouté,sn SEN,MF,7,4,1,0,361,4.0,3,0,/en/players/759e0be2/Franck-Kanoute,759e0be2,Franck-Kanout
Arthur Yamga,cm CMR,"FW,MF",4,4,0,0,337,3.7,0,0,/en/players/77f55dd8/Arthur-Yamga,77f55dd8,Arthur-Yamg
