Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Giacomo Dicara,it ITA,DF,38,38,0.0,1.0,2003-2004,d4bec4f1,Pescara,"3,343",37.1,14.0,1.0,195.0,9.0,
,Emanuele Calaiò,it ITA,FW,42,37,2.0,20.0,2003-2004,412488f,Pescara,"3,311",36.8,6.0,0.0,195.0,9.0,
,Nicola Pagani,it ITA,DF,36,35,0.0,2.0,2003-2004,36d35b09,Pescara,"3,049",33.9,6.0,3.0,195.0,9.0,
,Ottavio Palladini,it ITA,MF,38,33,3.0,3.0,2003-2004,4c3e94b5,Pescara,"3,038",33.8,2.0,0.0,195.0,9.0,
,Saul Santarelli,it ITA,GK,33,33,0.0,0.0,2003-2004,3f3d1ee,Pescara,"2,970",33.0,2.0,0.0,195.0,9.0,
,Marco Stella,it ITA,MF,41,33,1.0,2.0,2003-2004,b571d74,Pescara,"2,755",30.6,4.0,0.0,195.0,9.0,
,Gianluca Colonnello,it ITA,DF,33,29,1.0,0.0,2003-2004,bfccbe32,Pescara,"2,688",29.9,4.0,0.0,195.0,9.0,
,Federico Giampaolo,it ITA,FW,36,27,0.0,3.0,2003-2004,58548f92,Pescara,"2,473",27.5,6.0,0.0,195.0,9.0,
,Maurizio Caccavale,,,30,26,0.0,0.0,2003-2004,,Pescara,"2,350",26.1,13.0,1.0,195.0,,
,Giuseppe Antonaccio,it ITA,DF,24,23,0.0,0.0,2003-2004,b6fb52fa,Pescara,"1,938",21.5,6.0,0.0,195.0,9.0,
,Carlo Luisi,it ITA,MF,23,22,1.0,0.0,2003-2004,d83a204b,Pescara,"1,949",21.7,8.0,0.0,195.0,9.0,
,Andrea Cecchini,,,22,18,2.0,0.0,2003-2004,,Pescara,"1,670",18.6,2.0,0.0,195.0,,
,Stefano Bellè,it ITA,,37,16,4.0,1.0,2003-2004,4e4a7ef7,Pescara,"1,753",19.5,3.0,0.0,195.0,9.0,
,Luca Minopoli,it ITA,MF,19,16,0.0,1.0,2003-2004,668b66de,Pescara,"1,369",15.2,1.0,0.0,195.0,9.0,
,Giammarco Frezza,it ITA,"DF,MF",21,16,1.0,0.0,2003-2004,25477280,Pescara,"1,255",13.9,5.0,0.0,195.0,9.0,
,Alessandro Sbrizzo,it ITA,DF,18,15,1.0,1.0,2003-2004,4b7411c1,Pescara,"1,395",15.5,6.0,1.0,195.0,9.0,
,Giorgio Gorgone,it ITA,MF,16,15,0.0,1.0,2003-2004,db59324f,Pescara,"1,279",14.2,1.0,0.0,195.0,9.0,
,Antonio Aquilanti,it ITA,DF,19,12,1.0,0.0,2003-2004,0077dc9e,Pescara,"1,104",12.3,2.0,0.0,195.0,9.0,
,Daniele Russo,it ITA,,23,10,3.0,4.0,2003-2004,6265e639,Pescara,"1,000",11.1,5.0,1.0,195.0,9.0,
,Daniele Amerini,it ITA,MF,10,9,0.0,1.0,2003-2004,6d1a2fe,Pescara,694,7.7,2.0,0.0,195.0,9.0,
,Maurizio Pugliesi,it ITA,GK,8,8,0.0,0.0,2003-2004,09f1423a,Pescara,720,8.0,0.0,0.0,195.0,9.0,
,Julio Gutiérrez,cl CHI,FW,12,8,1.0,0.0,2003-2004,d47e6dc9,Pescara,695,7.7,1.0,0.0,195.0,31.0,
,Vittorio Micolucci,it ITA,DF,10,7,0.0,0.0,2003-2004,65b4dec6,Pescara,620,6.9,3.0,0.0,195.0,9.0,
,Fabio Alteri,it ITA,FW,25,5,0.0,3.0,2003-2004,cb8f8461,Pescara,677,7.5,1.0,0.0,195.0,9.0,
,Alessandro Cesaretti,it ITA,GK,4,4,0.0,0.0,2003-2004,da7fe3f6,Pescara,360,4.0,2.0,0.0,195.0,9.0,
