2008-2009,Piacenza
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mario Cassano,it ITA,GK,40,40,0,0,"3,600",40.0,4,0,/en/players/1c50c522/Mario-Cassano,1c50c522,Mario-Cassano
Luigi Riccio,it ITA,MF,39,39,3,3,"3,391",37.7,1,0,/en/players/0ca56b28/Luigi-Riccio,0ca56b28,Luigi-Riccio
Radja Nainggolan,be BEL,MF,38,37,1,3,"3,252",36.1,8,0,/en/players/1f9328da/Radja-Nainggolan,1f9328da,Radja-Nainggo
Davide Moscardelli,it ITA,FW,40,32,1,8,"2,766",30.7,4,0,/en/players/3031dca3/Davide-Moscardelli,3031dca3,Davide-Moscardelli
Michele Anaclerio,it ITA,DF,28,28,0,4,"2,441",27.1,9,0,/en/players/87264b8b/Michele-Anaclerio,87264b8b,Michele-Anaclerio
Tomás Guzmán,py PAR,"FW,MF",31,27,9,4,"2,099",23.3,1,0,/en/players/6755e384/Tomas-Guzman,6755e384,Tomas-Guzm
Stefano Avogadri,it ITA,DF,28,26,1,1,"2,356",26.2,5,0,/en/players/7f43ec0c/Stefano-Avogadri,7f43ec0c,Stefano-Avogadri
Angelo Iorio,it ITA,DF,25,25,0,0,"2,142",23.8,10,1,/en/players/c270215e/Angelo-Iorio,c270215e,Angelo-Iorio
Cesare Rickler,it ITA,DF,20,20,0,2,"1,737",19.3,6,2,/en/players/18e5e0f2/Cesare-Rickler,18e5e0f2,Cesare-Rick
Samuele Olivi,it ITA,DF,19,19,0,1,"1,627",18.1,2,0,/en/players/763ce925/Samuele-Olivi,763ce925,Samuele-Olivi
Jonathan Aspas,es ESP,MF,30,18,3,2,"1,653",18.4,4,1,/en/players/f76cd534/Jonathan-Aspas,f76cd534,Jonathan-A
Marco Calderoni,it ITA,"DF,MF",21,18,0,1,"1,560",17.3,4,0,/en/players/652811aa/Marco-Calderoni,652811aa,Marco-Calderoni
Dario Passoni,it ITA,MF,17,17,0,2,"1,510",16.8,5,0,/en/players/3b677966/Dario-Passoni,3b677966,Dario-Passoni
Emanuele Ferraro,it ITA,FW,32,15,3,7,"1,323",14.7,2,0,/en/players/371ac51a/Emanuele-Ferraro,371ac51a,Emanuele-Ferraro
Mattia Graffiedi,it ITA,FW,23,14,2,4,"1,274",14.2,1,0,/en/players/e1e9832c/Mattia-Graffiedi,1e9832c,Mattia-Graffiedi
Tommaso Bianchi,it ITA,MF,20,14,0,2,"1,180",13.1,2,0,/en/players/e72100f4/Tommaso-Bianchi,72100f4,Tommaso-Bianchi
Pietro Zammuto,it ITA,DF,14,14,0,0,"1,115",12.4,3,0,/en/players/f53d2dc2/Pietro-Zammuto,f53d2dc2,Pietro-Zammuto
Matteo Abbate,it ITA,DF,16,12,0,1,"1,169",13.0,5,1,/en/players/3a1947b9/Matteo-Abbate,3a1947b9,Matteo-Abbat
Julien Rantier,fr FRA,"FW,MF",19,12,1,1,"1,051",11.7,4,0,/en/players/9b5695be/Julien-Rantier,9b5695be,Julien-Ranti
Andrea Mengoni,it ITA,DF,17,11,0,0,"1,234",13.7,5,0,/en/players/747cb619/Andrea-Mengoni,747cb619,Andrea-Mengoni
Daniel Wolf,at AUT,MF,13,9,0,0,755,8.4,2,0,/en/players/3470c1d2/Daniel-Wolf,3470c1d2,Daniel-Wolf
Mirko Eramo,it ITA,MF,16,4,1,0,603,6.7,3,0,/en/players/d19fd132/Mirko-Eramo,d19fd132,Mirko-Eramo
Francesco Bini,it ITA,DF,7,3,0,0,438,4.9,1,1,/en/players/fefacc63/Francesco-Bini,fefacc63,Francesco-Bini
Rej Volpato,it ITA,FW,10,2,0,1,368,4.1,0,0,/en/players/80528dff/Rej-Volpato,80528dff,Rej-Volpato
Roberto Maurantonio,it ITA,GK,2,2,0,0,180,2.0,0,0,/en/players/4efddda1/Roberto-Maurantonio,4efddda1,Roberto-Maurantonio
Luca Siligardi,it ITA,"FW,MF",3,1,0,1,153,1.7,0,0,/en/players/1cac99dc/Luca-Siligardi,1cac99dc,Luca-Siligardi
Alessio Stamilla,it ITA,MF,4,1,0,0,125,1.4,1,0,/en/players/d0c5b5c6/Alessio-Stamilla,d0c5b5c6,Alessio-Stami
Pietro Visconti,it ITA,DF,1,1,0,0,90,1.0,0,0,/en/players/49a472d3/Pietro-Visconti,49a472d3,Pietro-Visconti
Simone Grippo,ch SUI,"DF,MF",3,1,0,0,88,1.0,0,0,/en/players/8f2d246e/Simone-Grippo,8f2d246e,Simone-Grippo
Simone Guerra,it ITA,FW,10,0,0,0,242,2.7,1,0,/en/players/faef3be7/Simone-Guerra,faef3be7,Simone-Gu
