2019-2020,Portsmouth
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Tom Naylor,eng ENG,MF,33,33,0,1,"2,970",33.0,7,0,/en/players/d3e47002/Tom-Naylor,d3e47002,Tom-Naylo
Christian Burgess,eng ENG,DF,32,31,0,3,"2,797",31.1,10,0,/en/players/f8766ef9/Christian-Burgess,f8766ef9,Christian-Burg
Ronan Curtis,ie IRL,MF,33,31,5,11,"2,783",30.9,4,0,/en/players/c81659bd/Ronan-Curtis,c81659bd,Ronan-Curti
Ben Close,eng ENG,MF,29,27,2,3,"2,415",26.8,3,0,/en/players/1e8a5099/Ben-Close,1e8a5099,Ben-Clo
Sean Raggett,eng ENG,DF,26,26,1,2,"2,339",26.0,7,0,/en/players/5dd438af/Sean-Raggett,5dd438af,Sean-Raggett
John Marquis,eng ENG,"FW,MF",33,25,3,8,"2,279",25.3,6,0,/en/players/e66b6ae0/John-Marquis,66b6ae0,John-Marqui
Craig MacGillivray,sct SCO,GK,20,20,0,0,"1,800",20.0,0,0,/en/players/97090f78/Craig-MacGillivray,97090f78,Craig-MacGilliv
James Bolton,eng ENG,DF,23,20,3,1,"1,785",19.8,0,0,/en/players/bf6fbdca/James-Bolton,bf6fbdca,James-Bolto
Ryan Williams,au AUS,MF,26,20,2,3,"1,598",17.8,2,0,/en/players/ae1d3932/Ryan-Williams,1d3932,Ryan-William
Ellis Harrison,wls WAL,FW,28,17,1,5,"1,593",17.7,8,1,/en/players/c9408be8/Ellis-Harrison,c9408be8,Ellis-Harriso
Marcus Harness,eng ENG,"MF,FW",25,16,5,5,"1,499",16.7,2,0,/en/players/90e9ca3d/Marcus-Harness,90e9ca3d,Marcus-H
Lee Brown,eng ENG,DF,16,16,0,1,"1,344",14.9,3,0,/en/players/315f6ae9/Lee-Brown,315f6ae9,Lee-Brow
Alex Bass,eng ENG,GK,15,15,0,0,"1,350",15.0,1,0,/en/players/3278d395/Alex-Bass,3278d395,Alex-B
Andy Cannon,eng ENG,MF,18,13,1,1,"1,078",12.0,3,0,/en/players/5d7b6611/Andy-Cannon,5d7b6611,Andy-Canno
Ross McCrorie,sct SCO,"DF,MF",17,12,3,0,"1,060",11.8,6,1,/en/players/94d628b1/Ross-McCrorie,94d628b1,Ross-McCrori
Gareth Evans,eng ENG,MF,17,10,0,5,995,11.1,2,0,/en/players/eccc9817/Gareth-Evans,ccc9817,Gareth-Ev
Steve Seddon,eng ENG,DF,12,10,1,1,938,10.4,2,0,/en/players/59fdf476/Steve-Seddon,59fdf476,Steve-Seddo
Cameron McGeehan,nir NIR,MF,12,10,1,0,881,9.8,1,0,/en/players/a3097cfa/Cameron-McGeehan,3097cfa,Cameron-McGeeh
Anton Walkes,eng ENG,"DF,MF",11,10,0,0,859,9.5,1,0,/en/players/8a062bba/Anton-Walkes,8a062bba,Anton-Walk
Brandon Haunstrup,eng ENG,DF,10,7,3,0,746,8.3,1,0,/en/players/d7831bf7/Brandon-Haunstrup,d7831bf7,Brandon-Haunstru
Paul Downing,eng ENG,DF,6,6,0,0,540,6.0,2,0,/en/players/1100cd5a/Paul-Downing,1100cd5a,Paul-Downing
Oliver Hawkins,eng ENG,"DF,FW",7,5,0,0,445,4.9,0,0,/en/players/38c59353/Oliver-Hawkins,38c59353,Oliver-Hawki
Brett Pitman,eng ENG,"MF,FW",11,4,1,2,467,5.2,2,0,/en/players/40634b28/Brett-Pitman,40634b28,Brett-Pitm
Jack Whatmough,eng ENG,DF,1,1,0,0,45,0.5,1,0,/en/players/8d32206c/Jack-Whatmough,8d32206c,Jack-Whatmough
Matthew Casey,eng ENG,DF,0,0,,,,,,,/en/players/93a63c9b/Matthew-Casey,93a63c9b,Matthew-C
Leon Maloney,eng ENG,MF,0,0,,,,,,,/en/players/cd32942d/Leon-Maloney,cd32942d,Leon-Malo
Luke McGee,eng ENG,GK,0,0,,,,,,,/en/players/bfa6049d/Luke-McGee,bfa6049d,Luke-McG
Haji Mnoga,tz TAN,DF,0,0,,,,,,,/en/players/467bc3c3/Haji-Mnoga,467bc3c3,Haji-Mnog
