2009-2010,Queens-Park-Rangers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Kaspars Gorkšs,lv LVA,DF,41,40,0,3,"3,645",40.5,3,0,/en/players/a340b996/Kaspars-Gorkss,340b996,Kaspars-Gork
Mikele Leigertwood,ag ATG,"DF,MF",40,39,0,5,"3,497",38.9,3,1,/en/players/3cd9228b/Mikele-Leigertwood,3cd9228b,Mikele-Leigertwood
Alejandro Faurlín,ar ARG,MF,41,36,4,1,"3,139",34.9,6,0,/en/players/594d286e/Alejandro-Faurlin,594d286e,Alejandro-Faurli
Jay Simpson,eng ENG,"FW,MF",39,34,2,12,"2,897",32.2,0,0,/en/players/fe9c9bfc/Jay-Simpson,fe9c9bfc,Jay-Simpso
Adel Taarabt,ma MAR,"FW,MF",41,32,5,7,"2,771",30.8,4,0,/en/players/47dc80f5/Adel-Taarabt,47dc80f5,Adel-Taarabt
Damion Stewart,jm JAM,DF,30,30,1,1,"2,490",27.7,6,1,/en/players/f14d2bd0/Damion-Stewart,f14d2bd0,Damion-Stewart
Radek Černý,cz CZE,GK,29,29,0,0,"2,610",29.0,0,0,/en/players/190c0bb8/Radek-Cerny,190c0bb8,Radek-C
Peter Ramage,eng ENG,DF,32,29,0,2,"2,567",28.5,2,2,/en/players/a3576e11/Peter-Ramage,3576e11,Peter-Ramag
Ákos Buzsáky,hu HUN,MF,39,29,3,10,"2,502",27.8,6,0,/en/players/3fe9ae90/Akos-Buzsaky,3fe9ae90,Akos-Buzsak
Wayne Routledge,eng ENG,"FW,MF",25,25,9,2,"2,194",24.4,3,0,/en/players/1d387eee/Wayne-Routledge,1d387eee,Wayne-Routledg
Gary Borrowdale,eng ENG,DF,21,18,0,0,"1,672",18.6,4,0,/en/players/e6076933/Gary-Borrowdale,6076933,Gary-Borrowd
Matthew Connolly,eng ENG,DF,19,17,0,2,"1,538",17.1,5,0,/en/players/2797fc1d/Matthew-Connolly,2797fc1d,Matthew-Conno
Carl Ikeme,ng NGA,GK,17,17,0,0,"1,530",17.0,0,0,/en/players/8646429b/Carl-Ikeme,8646429b,Carl-Ikem
Hogan Ephraim,eng ENG,"FW,MF",22,16,1,0,"1,432",15.9,2,0,/en/players/668b380c/Hogan-Ephraim,668b380c,Hogan-Ephraim
Ben Watson,eng ENG,MF,16,16,2,2,"1,368",15.2,2,2,/en/players/df540668/Ben-Watson,df540668,Ben-Watso
Matt Hill,eng ENG,DF,16,15,0,0,"1,370",15.2,3,0,/en/players/c1151f6b/Matt-Hill,c1151f6b,Matt-Hi
Tamás Priskin,hu HUN,FW,13,13,0,1,"1,053",11.7,1,0,/en/players/706da989/Tamas-Priskin,706da989,Tamas-Priski
Fitz Hall,eng ENG,"DF,FW",14,12,0,0,"1,009",11.2,3,0,/en/players/f799f31c/Fitz-Hall,f799f31c,Fitz-H
Rowan Vine,eng ENG,FW,31,8,2,1,"1,154",12.8,0,0,/en/players/8391daab/Rowan-Vine,8391daab,Rowan-Vi
Lee Cook,eng ENG,MF,16,8,0,1,743,8.3,1,0,/en/players/a8ac00c8/Lee-Cook,8ac00c8,Lee-Cook
Patrick Agyemang,gh GHA,FW,17,5,0,3,678,7.5,0,0,/en/players/80f1245c/Patrick-Agyemang,80f1245c,Patrick-Agyemang
Gavin Mahon,eng ENG,MF,7,5,1,1,485,5.4,0,0,/en/players/410f9002/Gavin-Mahon,410f9002,Gavin-Maho
Antonio German,gd GRN,"FW,MF",12,5,0,2,453,5.0,0,0,/en/players/12183e9e/Antonio-German,12183e9e,Antonio-Germ
Duško Tošić,rs SRB,DF,5,5,1,0,450,5.0,1,0,/en/players/523057ea/Dusko-Tosic,523057ea,Dusko-Tosic
Tom Williams,cy CYP,"DF,MF",5,5,0,0,450,5.0,0,0,/en/players/e83609e3/Tom-Williams,83609e3,Tom-William
Martin Rowlands,ie IRL,MF,6,5,0,0,415,4.6,1,1,/en/players/1a4829e0/Martin-Rowlands,1a4829e0,Martin-Rowland
Nigel Quashie,sct SCO,MF,4,4,,0,281,3.1,1,0,/en/players/9b9a2d62/Nigel-Quashie,9b9a2d62,Nigel-Quashi
Heiðar Helguson,is ISL,FW,5,3,0,1,233,2.6,1,0,/en/players/5491eca5/Heidar-Helguson,5491eca5,Heidar-Helguso
Marcus Bent,eng ENG,FW,3,2,0,0,136,1.5,0,0,/en/players/69166246/Marcus-Bent,69166246,Marcus-Bent
Alessandro Pellicori,it ITA,FW,8,1,0,0,170,1.9,1,0,/en/players/e01b1dfa/Alessandro-Pellicori,01b1dfa,Alessandro-Pellicori
Josh Parker,ag ATG,"FW,MF",4,1,0,0,140,1.6,0,0,/en/players/0264be98/Josh-Parker,0264be98,Josh-Park
Steven Reid,ie IRL,"DF,MF",2,1,0,0,101,1.1,0,0,/en/players/e26f852b/Steven-Reid,26f852b,Steven-Reid
Ángelo Balanta,co COL,"FW,MF",4,1,0,0,93,1.0,0,0,/en/players/91f37c8f/Angelo-Balanta,91f37c8f,Angelo-Balant
Joe Oastler,eng ENG,"DF,MF",1,0,0,0,20,0.2,0,0,/en/players/e1433105/Joe-Oastler,1433105,Joe-Oast
Romone Rose,eng ENG,"FW,MF",1,0,0,0,14,0.2,0,0,/en/players/3743152c/Romone-Rose,3743152c,Romone-Ro
Gareth Ainsworth,eng ENG,MF,1,0,0,0,4,0.0,0,0,/en/players/8ddfb8b9/Gareth-Ainsworth,8ddfb8b9,Gareth-Ainsworth
Lee Brown,eng ENG,DF,1,0,0,0,1,0.0,0,0,/en/players/315f6ae9/Lee-Brown,315f6ae9,Lee-Brow
