2014-2015,RB-Leipzig
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Anthony Jung,de GER,"DF,MF",32,32,1,0,"2,750",30.6,6,1,/en/players/de838f86/Anthony-Jung,de838f86,Anthony-Jung
Dominik Kaiser,de GER,MF,30,28,4,8,"2,535",28.2,8,0,/en/players/733fecf1/Dominik-Kaiser,733fecf1,Dominik-Kai
Yussuf Poulsen,dk DEN,FW,29,27,4,11,"2,486",27.6,5,1,/en/players/d2416c2e/Yussuf-Poulsen,d2416c2e,Yussuf-Pou
Georg Teigl,at AUT,"DF,MF",30,27,0,3,"2,382",26.5,6,0,/en/players/c8cfb04d/Georg-Teigl,c8cfb04d,Georg-Teig
Tim Sebastian,de GER,DF,27,26,0,0,"2,233",24.8,7,0,/en/players/5418f984/Tim-Sebastian,5418f984,Tim-Sebasti
Diego Demme,de GER,"DF,MF",30,26,2,0,"2,139",23.8,6,0,/en/players/dc3fa3b5/Diego-Demme,dc3fa3b5,Diego-Demm
Marvin Compper,de GER,DF,27,24,0,0,"2,112",23.5,7,1,/en/players/3e99c613/Marvin-Compper,3e99c613,Marvin-Com
Joshua Kimmich,de GER,"DF,MF",27,23,1,2,"2,083",23.1,4,0,/en/players/49296448/Joshua-Kimmich,49296448,Joshua-Kimmich
Rani Khedira,de GER,"DF,MF",22,22,1,0,"1,828",20.3,7,0,/en/players/59e4b92e/Rani-Khedira,59e4b92e,Rani-Khedi
Fabio Coltorti,ch SUI,GK,21,21,0,1,"1,890",21.0,0,0,/en/players/6695cec2/Fabio-Coltorti,6695cec2,Fabio-Coltorti
Daniel Frahn,de GER,FW,23,16,1,4,"1,200",13.3,5,0,/en/players/1119ed04/Daniel-Frahn,1119ed04,Daniel-Frah
Emil Forsberg,se SWE,"FW,MF",14,14,3,0,"1,226",13.6,2,1,/en/players/9a2e0ccc/Emil-Forsberg,9a2e0ccc,Emil-Forsberg
Benjamin Bellot,de GER,GK,13,13,0,0,"1,170",13.0,0,0,/en/players/0c489ae9/Benjamin-Bellot,0c489ae9,Benjamin-Bellot
Lukas Klostermann,de GER,"DF,MF",13,12,1,1,"1,083",12.0,1,0,/en/players/ca8033cb/Lukas-Klostermann,ca8033cb,Lukas-Klosterm
Sebastian Heidinger,de GER,"DF,MF",15,9,0,0,892,9.9,1,0,/en/players/fd4de6d7/Sebastian-Heidinger,fd4de6d7,Sebastian-Heiding
Matthias Morys,de GER,"FW,MF",13,8,3,1,660,7.3,0,0,/en/players/abd79a39/Matthias-Morys,bd79a39,Matthias-Mo
Omer Damari,il ISR,FW,10,7,3,0,600,6.7,1,0,/en/players/b9da83d5/Omer-Damari,b9da83d5,Omer-Damari
Niklas Hoheneder,at AUT,DF,10,6,0,1,703,7.8,2,0,/en/players/23ee7962/Niklas-Hoheneder,23ee7962,Niklas-Hohened
Yordy Reyna,pe PER,"FW,MF",13,6,0,1,684,7.6,4,0,/en/players/eec316d9/Yordy-Reyna,c316d9,Yordy-R
Stefan Hierländer,at AUT,MF,21,6,0,0,665,7.4,4,0,/en/players/3642b47f/Stefan-Hierlander,3642b47f,Stefan-Hierland
Rodnei,br BRA,DF,6,6,0,1,540,6.0,1,0,/en/players/86aab4db/Rodnei,86aab4db,Rodnei
Ante Rebić,hr CRO,"FW,MF",10,4,0,0,409,4.5,3,0,/en/players/536cebe5/Ante-Rebic,536cebe5,Ante-Rebic
Terrence Boyd,us USA,FW,7,4,0,2,353,3.9,1,0,/en/players/6e282452/Terrence-Boyd,6e282452,Terrence-Boyd
Zsolt Kalmár,hu HUN,MF,17,3,0,0,429,4.8,2,0,/en/players/9233cab5/Zsolt-Kalmar,9233cab5,Zsolt-Kalm
Clemens Fandrich,de GER,MF,8,3,0,0,321,3.6,2,1,/en/players/2f0cd69e/Clemens-Fandrich,2f0cd69e,Clemens-Fandrich
Denis Thomalla,de GER,"FW,MF",3,1,0,1,99,1.1,0,0,/en/players/b9ac6e0e/Denis-Thomalla,b9ac6e0e,Denis-Thom
Federico Palacios Martínez,de GER,"FW,MF",2,0,0,0,25,0.3,0,0,/en/players/434cf5b7/Federico-Palacios-Martinez,434cf5b7,Federico-Palacios-Martinez
Smail Prevljak,ba BIH,FW,1,0,0,0,21,0.2,0,0,/en/players/d6f5490e/Smail-Prevljak,d6f5490e,Smail-Prevljak
Henrik Ernst,de GER,MF,1,0,0,0,5,0.1,0,0,/en/players/4bd2c060/Henrik-Ernst,4bd2c060,Henrik-Ernst
Thomas Dähne,de GER,GK,0,0,,,,,,,/en/players/f194035d/Thomas-Dahne,f194035d,Thomas-Dah
Tom Nattermann,de GER,MF,0,0,,,,,,,/en/players/2b13e756/Tom-Nattermann,2b13e756,Tom-Natterm
John-Patrick Strauß,ph PHI,"DF,MF",0,0,,,,,,,/en/players/eba92bc2/John-Patrick-Strauss,ba92bc2,John-Patrick-Strau
Mikko Sumusalo,fi FIN,DF,0,0,,,,,,,/en/players/de25754c/Mikko-Sumusalo,de25754c,Mikko-Sumusalo
Tobias Willers,de GER,DF,0,0,,,,,,,/en/players/ece839a8/Tobias-Willers,ce839a8,Tobias-Wi
