2010-2011,Racing-Santander
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Toño,es ESP,GK,37,37,0,0,"3,330",37.0,5,0,/en/players/2ed4ea81/Tono,2ed4ea81,Tono
Marc Torrejón,es ESP,DF,36,36,1,1,"3,150",35.0,5,0,/en/players/6d7ff2c4/Marc-Torrejon,6d7ff2c4,Marc-Torrejo
Henrique,br BRA,DF,35,35,1,2,"3,078",34.2,8,1,/en/players/429163de/Henrique,429163de,Henriqu
Pedro Munitis,es ESP,FW,36,33,4,1,"2,830",31.4,9,1,/en/players/61b5cd53/Pedro-Munitis,61b5cd53,Pedro-Muniti
Gonzalo Colsa,es ESP,MF,31,30,1,2,"2,660",29.6,8,0,/en/players/6fa12b44/Gonzalo-Colsa,6fa12b44,Gonzalo-Co
Kennedy Bakircioglü,se SWE,MF,32,30,3,6,"2,339",26.0,5,0,/en/players/f6792b79/Kennedy-Bakircioglu,f6792b79,Kennedy-Bakircioglu
Markus Rosenberg,se SWE,FW,33,29,0,9,"2,391",26.6,9,1,/en/players/5faa73aa/Markus-Rosenberg,5faa73aa,Markus-Rosenberg
Domingo Cisma,es ESP,DF,32,27,1,0,"2,415",26.8,7,1,/en/players/4d85b73c/Domingo-Cisma,4d85b73c,Domingo-Cism
Mehdi Lacen,dz ALG,MF,33,24,1,1,"2,336",26.0,5,1,/en/players/a3a306f6/Mehdi-Lacen,3a306f6,Mehdi-Lac
Francis,es ESP,"DF,MF",24,20,1,0,"1,841",20.5,4,1,/en/players/ee4c7c24/Francis,4c7c24,Franci
Pablo Pinillos Caro,es ESP,DF,20,19,2,2,"1,638",18.2,5,0,/en/players/9d19d667/Pablo-Pinillos-Caro,9d19d667,Pablo-Pinillos-Caro
Adrián González,es ESP,MF,23,16,2,0,"1,311",14.6,2,0,/en/players/57ebd662/Adrian-Gonzalez,57ebd662,Adrian-Gonzalez
Ariel Nahuelpán,ar ARG,FW,30,15,0,3,"1,376",15.3,2,0,/en/players/3334db7c/Ariel-Nahuelpan,3334db7c,Ariel-Nahu
Christian,es ESP,DF,18,13,0,3,"1,249",13.9,1,1,/en/players/1d5a68fe/Christian,1d5a68fe,Christi
Papakouli Diop,sn SEN,MF,19,13,1,0,"1,060",11.8,5,0,/en/players/7329018e/Papakouli-Diop,7329018e,Papakouli-Dio
Giovani dos Santos,mx MEX,"FW,MF",16,9,1,5,958,10.6,1,0,/en/players/7dba6233/Giovani-dos-Santos,7dba6233,Giovani-dos-Santo
Alexandros Tziolis,gr GRE,MF,10,8,0,0,731,8.1,1,0,/en/players/99138b2e/Alexandros-Tziolis,99138b2e,Alexandros-Tzioli
Iván Bolado,gq EQG,FW,19,7,0,1,733,8.1,2,0,/en/players/5686e45d/Ivan-Bolado,5686e45d,Ivan-Bolado
Manuel Arana,es ESP,MF,14,5,1,1,587,6.5,3,0,/en/players/81fac4d9/Manuel-Arana,81fac4d9,Manuel-A
Álvaro González,es ESP,DF,3,3,0,0,261,2.9,2,0,/en/players/42dcf26d/Alvaro-Gonzalez,42dcf26d,Alvaro-Gonzalez
Osmar,es ESP,"DF,MF",4,2,0,0,258,2.9,0,0,/en/players/8598175c/Osmar,8598175c,Osm
Waldo Ponce,cl CHI,DF,2,2,0,0,180,2.0,0,0,/en/players/d10210a7/Waldo-Ponce,d10210a7,Waldo-Ponc
Julián Luque Conde,es ESP,"FW,MF",7,1,1,0,226,2.5,0,0,/en/players/61d8d347/Julian-Luque-Conde,61d8d347,Julian-Luque-Cond
Mario Fernández,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/02c89cb6/Mario-Fernandez,02c89cb6,Mario-Fernandez
Mohamed Tchité,bi BDI,FW,1,1,0,0,90,1.0,0,0,/en/players/39b8619d/Mohamed-Tchite,39b8619d,Mohamed-Tchit
Ramón Arcas,es ESP,MF,1,1,0,0,78,0.9,0,0,/en/players/40fc30d6/Ramon-Arcas,40fc30d6,Ramon-Arc
Tato,es ESP,MF,2,1,0,0,78,0.9,0,0,/en/players/03c45164/Tato,03c45164,Tato
Edu Bedia,es ESP,MF,6,0,0,0,80,0.9,0,0,/en/players/2dc8077c/Edu-Bedia,2dc8077c,Edu-Bedi
Óscar Serrano,es ESP,MF,4,0,0,1,57,0.6,1,0,/en/players/c862ecc5/Oscar-Serrano,c862ecc5,Oscar-Serrano
