2021-2022,Rayo-Vallecano
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Catena,es ESP,DF,36,36,2,2,"3,240",36.0,8,0,/en/players/274ab13c/Catena,274ab13c,Cat
Iván Balliu,al ALB,DF,35,35,2,1,"3,147",35.0,10,1,/en/players/cee88597/Ivan-Balliu,cee88597,Ivan-Balliu
Francisco Garcia,es ESP,DF,34,34,0,1,"3,025",33.6,4,0,/en/players/7226539b/Francisco-Garcia,7226539b,Francisco-Garci
Álvaro García,es ESP,MF,36,34,4,7,"2,998",33.3,6,0,/en/players/90bbd822/Alvaro-Garcia,90bbd822,Alvaro-Garci
Santi Comesaña,es ESP,MF,35,32,2,1,"2,682",29.8,12,1,/en/players/5ae499d0/Santi-Comesana,5ae499d0,Santi-Com
Stole Dimitrievski,mk MKD,GK,31,30,0,0,"2,772",30.8,0,0,/en/players/fc70e345/Stole-Dimitrievski,fc70e345,Stole-Dimitrievski
Óscar Valentín,es ESP,MF,35,29,0,0,"2,569",28.5,8,0,/en/players/592f3158/Oscar-Valentin,592f3158,Oscar-Valenti
Isaac Palazón Camacho,es ESP,MF,34,27,4,2,"2,288",25.4,7,0,/en/players/49dbab27/Isaac-Palazon-Camacho,49dbab27,Isaac-Palazon-Camacho
Óscar Trejo,ar ARG,MF,32,24,9,3,"2,007",22.3,13,0,/en/players/fc647b34/Oscar-Trejo,fc647b34,Oscar-Trejo
Esteban Saveljich,me MNE,DF,21,21,0,0,"1,700",18.9,4,0,/en/players/79f2a5f5/Esteban-Saveljich,79f2a5f5,Esteban-Saveljich
Sergi Guardiola,es ESP,FW,32,20,2,8,"1,710",19.0,3,0,/en/players/32974271/Sergi-Guardiola,32974271,Sergi-Guardio
Randy Ntekja,fr FRA,"FW,MF",34,16,0,3,"1,462",16.2,2,0,/en/players/a6103274/Randy-Ntekja,6103274,Randy-Ntekj
Unai López,es ESP,MF,27,13,0,0,"1,160",12.9,5,0,/en/players/88050721/Unai-Lopez,88050721,Unai-Lopez
Pathé Ciss,sn SEN,MF,31,11,1,2,"1,097",12.2,5,0,/en/players/9a0408b6/Pathe-Ciss,9a0408b6,Pathe-Ci
Nikola Maraš,rs SRB,DF,16,11,0,0,"1,044",11.6,4,0,/en/players/b9d0446f/Nikola-Maras,b9d0446f,Nikola-M
Radamel Falcao,co COL,FW,22,8,0,6,838,9.3,1,0,/en/players/66116290/Radamel-Falcao,66116290,Radamel-Falcao
Mario Suárez,es ESP,DF,14,8,0,0,712,7.9,2,0,/en/players/7106f0a0/Mario-Suarez,7106f0a0,Mario-Suarez
Luca Zidane,fr FRA,GK,8,8,0,0,645,7.2,0,1,/en/players/c818c4d9/Luca-Zidane,c818c4d9,Luca-Zid
Bebé,cv CPV,"MF,FW",29,6,2,1,867,9.6,2,0,/en/players/d8712bf9/Bebe,d8712bf9,Beb
Kévin Rodrigues,pt POR,"DF,MF",13,5,0,0,435,4.8,0,0,/en/players/f1bed920/Kevin-Rodrigues,f1bed920,Kevin-Rodrigu
Mario Hernández,es ESP,"DF,MF",9,5,0,1,395,4.4,3,0,/en/players/90162357/Mario-Hernandez,90162357,Mario-Hernandez
Martín Merquelanz,es ESP,MF,4,3,0,0,173,1.9,0,0,/en/players/ddd5348b/Martin-Merquelanz,ddd5348b,Martin-Merquelanz
Mamadou Sylla,sn SEN,"MF,FW",12,1,0,0,253,2.8,2,0,/en/players/e5ec95f8/Mamadou-Sylla,5ec95f8,Mamadou-S
Andrés Martín,es ESP,"MF,FW",7,1,0,0,186,2.1,0,0,/en/players/2ae30661/Andres-Martin,2ae30661,Andres-Marti
José Pozo,es ESP,"MF,DF",5,0,0,0,72,0.8,0,0,/en/players/fc8b614b/Jose-Pozo,fc8b614b,Jose-Pozo
Alejandro Asensio,es ESP,MF,2,0,0,0,12,0.1,0,0,/en/players/b4c23f36/Alejandro-Asensio,b4c23f36,Alejandro-Asensio
Álvaro Aguirre,es ESP,MF,1,0,0,0,9,0.1,0,0,/en/players/93b054dc/Alvaro-Aguirre,93b054dc,Alvaro-Agui
Yacine Qasmi,ma MAR,FW,1,0,0,0,4,0.0,0,0,/en/players/3b3cbebb/Yacine-Qasmi,3b3cbebb,Yacine-Qasmi
Iván Arboleda,co COL,GK,0,0,,,,,,,/en/players/f8cfae1f/Ivan-Arboleda,f8cfae1f,Ivan-Arboled
Jorge Moreno,es ESP,DF,0,0,,,,,,,/en/players/1f875ef8/Jorge-Moreno,1f875ef8,Jorge-Moreno
Sergio Moreno,es ESP,FW,0,0,,,,,,,/en/players/014b57f5/Sergio-Moreno,014b57f5,Sergio-Moreno
Morro,es ESP,GK,0,0,,,,,,,/en/players/117cd0a8/Morro,117cd0a8,Morro
Manuel Navarro,es ESP,MF,0,0,,,,,,,/en/players/5c103e63/Manuel-Navarro,5c103e63,Manuel-Navarro
Adrian Quintela,es ESP,GK,0,0,,,,,,,/en/players/86e0d803/Adrian-Quintela,86e0d803,Adrian-Quint
Iker Recio,es ESP,DF,0,0,,,,,,,/en/players/84b7090a/Iker-Recio,84b7090a,Iker-Recio
