Id,Player,Link,Player_name,Player_id,Nationality,Position,club
3402.0,﻿Patricio Graff,/en/players/b4a2cf8b/Patricio-Graff,Patricio-Graff,b4a2cf8b,ar ARG,DF,Rayo-Vallecano
3403.0,Imanol Etxeberria,/en/players/a4f6433c/Imanol-Etxeberria,Imanol-Etxeberri,4f6433c,es ESP,GK,Rayo-Vallecano
3404.0,Viktor Onopko,/en/players/bf6223cc/Viktor-Onopko,Viktor-Onopko,bf6223cc,ru RUS,DF,Rayo-Vallecano
3405.0,Mario Gómez Atanet,/en/players/f8f74950/Mario-Gomez-Atanet,Mario-Gomez-Atanet,f8f74950,es ESP,DF,Rayo-Vallecano
3406.0,Ramón de Quintana,/en/players/657ad2f1/Ramon-de-Quintana,Ramon-de-Quint,657ad2f1,es ESP,DF,Rayo-Vallecano
3407.0,Jorge Azkoitia,/en/players/4ac3dade/Jorge-Azkoitia,Jorge-Azkoiti,4ac3dade,es ESP,MF,Rayo-Vallecano
3408.0,Elvir Bolić,/en/players/779df1aa/Elvir-Bolic,Elvir-Bolic,779df1aa,ba BIH,FW,Rayo-Vallecano
3409.0,Bolo,/en/players/ca7589a9/Bolo,Bolo,ca7589a9,es ESP,FW,Rayo-Vallecano
3410.0,Mami Quevedo,/en/players/2c1d71b5/Mami-Quevedo,Mami-Quevedo,2c1d71b5,es ESP,MF,Rayo-Vallecano
3411.0,Sergio Corino,/en/players/bc624052/Sergio-Corino,Sergio-Corino,bc624052,es ESP,DF,Rayo-Vallecano
3412.0,Diego Mainz,/en/players/95db62b7/Diego-Mainz,Diego-Mainz,95db62b7,es ESP,DF,Rayo-Vallecano
3413.0,Sergio Segura,/en/players/0cf1c41e/Sergio-Segura,Sergio-Segu,0cf1c41e,es ESP,GK,Rayo-Vallecano
3414.0,Pablo Sanz Iniesta,/en/players/f56d83dd/Pablo-Sanz-Iniesta,Pablo-Sanz-Iniest,f56d83dd,es ESP,MF,Rayo-Vallecano
3415.0,Mauro García,/en/players/9171c383/Mauro-Garcia,Mauro-Garci,9171c383,es ESP,DF,Rayo-Vallecano
3416.0,Hélder Baptista,/en/players/d4a788b4/Helder-Baptista,Helder-Baptist,d4a788b4,pt POR,MF,Rayo-Vallecano
3417.0,Luis Cembranos,/en/players/bf313a5c/Luis-Cembranos,Luis-Cembrano,bf313a5c,es ESP,MF,Rayo-Vallecano
3418.0,Idan Tal,/en/players/0c9029e5/Idan-Tal,Idan-T,0c9029e5,il ISR,MF,Rayo-Vallecano
3419.0,Míchel,/en/players/5f68b183/Michel,Mich,5f68b183,es ESP,FW,Rayo-Vallecano
3420.0,Carlos de la Vega,/en/players/c1763238/Carlos-de-la-Vega,Carlos-de-la-Veg,c1763238,es ESP,DF,Rayo-Vallecano
3421.0,Rubén Pulido,/en/players/3a8be98c/Ruben-Pulido,Ruben-Pulido,3a8be98c,es ESP,DF,Rayo-Vallecano
3422.0,Sebastián Saja,/en/players/50a2cb6d/Sebastian-Saja,Sebastian-Saj,50a2cb6d,ar ARG,GK,Rayo-Vallecano
3423.0,Paco,/en/players/e52392a7/Paco,Paco,52392a7,es ESP,DF,Rayo-Vallecano
3424.0,Iñigo Idiakez,/en/players/caf38c72/Inigo-Idiakez,Inigo-Idiakez,caf38c72,es ESP,"FW,MF",Rayo-Vallecano
3425.0,David Palacios,/en/players/8779db47/David-Palacios,David-Palacio,8779db47,es ESP,MF,Rayo-Vallecano
3426.0,Iván Ania,/en/players/12d37503/Ivan-Ania,Ivan-Ani,12d37503,es ESP,MF,Rayo-Vallecano
3427.0,Roberto Fresnedoso,/en/players/16cc4352/Roberto-Fresnedoso,Roberto-Fresnedoso,16cc4352,es ESP,MF,Rayo-Vallecano
3428.0,Geni,/en/players/2a46bc48/Geni,Geni,2a46bc48,es ESP,FW,Rayo-Vallecano
3429.0,Jorge Valdivia,/en/players/11f1e522/Jorge-Valdivia,Jorge-Valdivi,11f1e522,cl CHI,MF,Rayo-Vallecano
3430.0,Mohamed Diamé,/en/players/b7d082af/Mohamed-Diame,Mohamed-Diam,b7d082af,sn SEN,MF,Rayo-Vallecano
3431.0,Salva,/en/players/dfbb5412/Salva,Salv,dfbb5412,es ESP,DF,Rayo-Vallecano
3432.0,Manuel Tena,/en/players/515e2eee/Manuel-Tena,Manuel-T,515e2eee,es ESP,DF,Rayo-Vallecano
3433.0,Piti,/en/players/ab530738/Piti,Piti,b530738,es ESP,"FW,MF",Rayo-Vallecano
3434.0,Juan Collantes,/en/players/d8d9186b/Juan-Collantes,Juan-Collant,d8d9186b,es ESP,"FW,MF",Rayo-Vallecano
3435.0,José Serrano,/en/players/9bc30fb8/Jose-Serrano,Jose-Serrano,9bc30fb8,es ESP,DF,Rayo-Vallecano
3436.0,Yuma,/en/players/ffc2f60e/Yuma,Yum,ffc2f60e,es ESP,"DF,MF",Rayo-Vallecano
3437.0,Manolo,/en/players/a10f05c4/Manolo,Manolo,10f05c4,es ESP,MF,Rayo-Vallecano
3438.0,Rubén Falcón,/en/players/bf651b09/Ruben-Falcon,Ruben-Falco,bf651b09,es ESP,GK,Rayo-Vallecano
3439.0,Juanma,/en/players/396b863a/Juanma,Juanm,396b863a,es ESP,DF,Rayo-Vallecano
3440.0,Jorge Sáez,/en/players/2c8f451b/Jorge-Saez,Jorge-Saez,2c8f451b,es ESP,MF,Rayo-Vallecano
3441.0,Borja García,/en/players/e7f4603c/Borja-Garcia,Borja-Garci,7f4603c,es ESP,"FW,MF",Rayo-Vallecano
3442.0,Néstor Susaeta,/en/players/ff0c8ca6/Nestor-Susaeta,Nestor-Susaet,ff0c8ca6,es ESP,"FW,MF",Rayo-Vallecano
3443.0,Juan Quero,/en/players/42107bed/Juan-Quero,Juan-Quero,42107bed,es ESP,MF,Rayo-Vallecano
3444.0,Tito,/en/players/7cefa219/Tito,Tito,7cefa219,es ESP,DF,Rayo-Vallecano
3445.0,Samuel Camille,/en/players/5279c822/Samuel-Camille,Samuel-Cami,5279c822,mq MTQ,DF,Rayo-Vallecano
3446.0,Germán Pacheco,/en/players/4a8b43e0/German-Pacheco,German-Pacheco,4a8b43e0,ar ARG,"FW,MF",Rayo-Vallecano
3447.0,Daniel Provencio,/en/players/998d51a2/Daniel-Provencio,Daniel-Provencio,998d51a2,es ESP,MF,Rayo-Vallecano
3448.0,Nono,/en/players/13289422/Nono,Nono,13289422,es ESP,MF,Rayo-Vallecano
3449.0,Borja Gómez Pérez,/en/players/95abfdfd/Borja-Gomez-Perez,Borja-Gomez-Perez,95abfdfd,es ESP,DF,Rayo-Vallecano
3450.0,Brayan Angulo,/en/players/af31b77b/Brayan-Angulo,Brayan-Angulo,f31b77b,co COL,"DF,MF",Rayo-Vallecano
3451.0,José Manuel Alcañiz,/en/players/6e33030c/Jose-Manuel-Alcaniz,Jose-Manuel-Alcaniz,6e33030c,es ESP,DF,Rayo-Vallecano
3452.0,Juan Carlos,/en/players/688b96e3/Juan-Carlos,Juan-Carlo,688b96e3,es ESP,GK,Rayo-Vallecano
3453.0,Lass Bangoura,/en/players/740f39d4/Lass-Bangoura,Lass-Bangou,740f39d4,gn GUI,"FW,MF",Rayo-Vallecano
3454.0,Diego Benito Rey,/en/players/049c2adb/Diego-Benito-Rey,Diego-Benito-R,049c2adb,es ESP,MF,Rayo-Vallecano
3455.0,Pape Maly Diamanka,/en/players/5d289e13/Pape-Maly-Diamanka,Pape-Maly-Diamank,5d289e13,sn SEN,MF,Rayo-Vallecano
3456.0,Rayco García Dauta,/en/players/018ce429/Rayco-Garcia-Dauta,Rayco-Garcia-Daut,018ce429,es ESP,FW,Rayo-Vallecano
3457.0,Aitor Núñez,/en/players/511e3986/Aitor-Nunez,Aitor-Nunez,511e3986,es ESP,DF,Rayo-Vallecano
3458.0,Alberto Perea,/en/players/5496cc91/Alberto-Perea,Alberto-P,5496cc91,es ESP,"FW,MF",Rayo-Vallecano
3459.0,Álex Gálvez,/en/players/960fb42d/Alex-Galvez,Alex-Galvez,960fb42d,es ESP,"DF,MF",Rayo-Vallecano
3460.0,Mohammed Abu,/en/players/c1f17b17/Mohammed-Abu,Mohammed-Abu,c1f17b17,gh GHA,"FW,MF",Rayo-Vallecano
3461.0,Rubén Ramiro,/en/players/9de36b0a/Ruben-Ramiro,Ruben-Ramiro,9de36b0a,es ESP,FW,Rayo-Vallecano
3462.0,Isaac Gómez,/en/players/2f235f73/Isaac-Gomez,Isaac-Gomez,2f235f73,es ESP,MF,Rayo-Vallecano
3463.0,Iago Falque,/en/players/440c84ed/Iago-Falque,Iago-Falqu,440c84ed,es ESP,"FW,MF",Rayo-Vallecano
3464.0,Răzvan Raț,/en/players/0a0ee36e/Razvan-Rat,Razvan-Rat,0a0ee36e,ro ROU,DF,Rayo-Vallecano
3465.0,Leonel Galeano,/en/players/53144c79/Leonel-Galeano,Leonel-Galeano,53144c79,ar ARG,DF,Rayo-Vallecano
3466.0,Nery Castillo,/en/players/bb34761d/Nery-Castillo,Nery-Castillo,bb34761d,mx MEX,"DF,FW",Rayo-Vallecano
3467.0,Christian Cueva,/en/players/57376761/Christian-Cueva,Christian-Cuev,57376761,pe PER,MF,Rayo-Vallecano
3468.0,Abdoulaye Ba,/en/players/1f54ed90/Abdoulaye-Ba,Abdoulaye-B,1f54ed90,sn SEN,DF,Rayo-Vallecano
3469.0,Licá,/en/players/41d84fed/Lica,Lic,41d84fed,pt POR,"FW,MF",Rayo-Vallecano
3470.0,Quini,/en/players/7a538238/Quini,Quini,7a538238,es ESP,"DF,MF",Rayo-Vallecano
3471.0,Mohammed Fatau,/en/players/b4dd30a0/Mohammed-Fatau,Mohammed-Fatau,b4dd30a0,gh GHA,MF,Rayo-Vallecano
3472.0,Pablo Clavería,/en/players/1624d75b/Pablo-Claveria,Pablo-Claveri,1624d75b,es ESP,MF,Rayo-Vallecano
3473.0,Álex Campos,/en/players/24ad632c/Alex-Campos,Alex-Campo,24ad632c,es ESP,GK,Rayo-Vallecano
3474.0,Aras Özbiliz,/en/players/5c081e18/Aras-Ozbiliz,Aras-Ozbiliz,5c081e18,am ARM,MF,Rayo-Vallecano
3475.0,Zhang Chengdong,/en/players/891016f1/Zhang-Chengdong,Zhang-Chengdong,891016f1,cn CHN,"DF,FW",Rayo-Vallecano
3476.0,Ousseynou Cissé,/en/players/d42d12b7/Ousseynou-Cisse,Ousseynou-Ci,d42d12b7,ml MLI,"DF,MF",Rayo-Vallecano
3477.0,Juancho,/en/players/ec81ad5b/Juancho,Juancho,c81ad5b,co COL,FW,Rayo-Vallecano
3478.0,﻿Paulo Gazzaniga,/en/players/63d17038/Paulo-Gazzaniga,Paulo-Gazzanig,63d17038,ar ARG,GK,Rayo-Vallecano
3479.0,Franco Cristaldo,/en/players/25b26e2e/Franco-Cristaldo,Franco-Cristaldo,25b26e2e,ar ARG,MF,Rayo-Vallecano
3480.0,﻿Alberto García,/en/players/17d9e354/Alberto-Garcia,Alberto-Garci,17d9e354,es ESP,GK,Rayo-Vallecano
