2003-2004,Real-Betis
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Joaquín,es ESP,"FW,MF",36,36,7,8,"3,178",35.3,5,1,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui
Juanito,es ESP,DF,35,35,0,4,"3,083",34.3,3,0,/en/players/3a6a5b63/Juanito,3a6a5b63,Juanito
Alejandro Lembo,uy URU,DF,29,28,2,1,"2,474",27.5,14,1,/en/players/e2d08dd6/Alejandro-Lembo,2d08dd6,Alejandro-Lembo
Fernando Varela,es ESP,"DF,MF",28,25,0,1,"2,273",25.3,9,0,/en/players/d7b759af/Fernando-Varela,d7b759af,Fernando-V
Denílson,br BRA,MF,29,24,4,2,"1,890",21.0,3,0,/en/players/87582241/Denilson,87582241,Denilso
Pedro Contreras,es ESP,GK,22,22,0,0,"1,971",21.9,2,0,/en/players/7d21afdb/Pedro-Contreras,7d21afdb,Pedro-Cont
Ito,es ESP,MF,30,22,1,0,"1,909",21.2,6,1,/en/players/dc620005/Ito,dc620005,Ito
Fernando,es ESP,"FW,MF",31,22,3,4,"1,810",20.1,2,0,/en/players/2a81fa5d/Fernando,2a81fa5d,Fernando
Arzu,es ESP,"DF,MF",30,20,4,0,"1,952",21.7,9,0,/en/players/a41e01ff/Arzu,41e01ff,Arzu
Luis Fernández,es ESP,DF,20,19,0,0,"1,756",19.5,8,1,/en/players/2e6263ab/Luis-Fernandez,2e6263ab,Luis-Fernandez
David Rivas,es ESP,DF,25,18,0,0,"1,747",19.4,6,0,/en/players/56da6c6e/David-Rivas,56da6c6e,David-Riv
Benjamín Zarandona,gq EQG,MF,22,18,0,3,"1,655",18.4,2,1,/en/players/4922ac7a/Benjamin-Zarandona,4922ac7a,Benjamin-Zarando
Marcos Assunção,br BRA,MF,19,18,2,7,"1,533",17.0,2,0,/en/players/2c563885/Marcos-Assuncao,2c563885,Marcos-Assuncao
Toni Prats,es ESP,GK,16,16,0,0,"1,440",16.0,1,0,/en/players/b40adcd0/Toni-Prats,b40adcd0,Toni-Prat
Ismael Santiago,es ESP,MF,32,14,1,1,"1,520",16.9,1,0,/en/players/59c55e77/Ismael-Santiago,59c55e77,Ismael-Santiago
Alfonso Pérez,es ESP,FW,20,14,2,4,"1,308",14.5,1,0,/en/players/22a2f25e/Alfonso-Perez,22a2f25e,Alfonso-Perez
Daniel Martín,es ESP,FW,19,13,2,4,"1,120",12.4,2,0,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
Capi,es ESP,MF,24,12,0,2,"1,290",14.3,6,0,/en/players/523503fe/Capi,523503fe,Capi
Mingo,es ESP,DF,12,12,0,1,"1,009",11.2,2,0,/en/players/6fc287d5/Mingo,6fc287d5,Mingo
Tote,es ESP,"FW,MF",17,9,2,2,823,9.1,1,0,/en/players/e3e74421/Tote,3e74421,Tot
Washington Tais,uy URU,DF,8,8,0,0,691,7.7,3,1,/en/players/6b310a03/Washington-Tais,6b310a03,Washington-Tai
Martín Palermo,ar ARG,FW,11,7,0,2,618,6.9,1,0,/en/players/02aa1dbe/Martin-Palermo,02aa1dbe,Martin-Palermo
Melli,es ESP,DF,4,4,0,0,287,3.2,2,0,/en/players/83215889/Melli,83215889,Melli
Juan José Cañas,es ESP,MF,7,1,0,0,144,1.6,0,0,/en/players/72a2e37e/Juan-Jose-Canas,72a2e37e,Juan-Jose-C
Tati Maldonado,es ESP,FW,1,0,,0,21,0.2,0,0,/en/players/57dc3c00/Tati-Maldonado,57dc3c00,Tati-Maldonado
Antonio Román,es ESP,MF,1,0,0,0,16,0.2,0,0,/en/players/c518d89e/Antonio-Roman,c518d89e,Antonio-Rom
David Relaño Luque,es ESP,GK,1,0,0,0,9,0.1,0,0,/en/players/0fa393b5/David-Relano-Luque,0fa393b5,David-Relano-Luqu
