2002-2003,Real-Betis
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Toni Prats,es ESP,GK,38,38,0,0,"3,420",38.0,3,0,/en/players/b40adcd0/Toni-Prats,b40adcd0,Toni-Prat
Joaquín,es ESP,"FW,MF",37,36,11,9,"3,139",34.9,2,1,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui
Fernando Varela,es ESP,"DF,MF",34,31,1,1,"2,834",31.5,17,1,/en/players/d7b759af/Fernando-Varela,d7b759af,Fernando-V
Arzu,es ESP,"DF,MF",35,30,2,4,"2,650",29.4,6,0,/en/players/a41e01ff/Arzu,41e01ff,Arzu
Luis Fernández,es ESP,DF,30,29,0,0,"2,507",27.9,12,1,/en/players/2e6263ab/Luis-Fernandez,2e6263ab,Luis-Fernandez
Capi,es ESP,MF,33,28,3,5,"2,583",28.7,3,0,/en/players/523503fe/Capi,523503fe,Capi
Marcos Assunção,br BRA,MF,30,27,6,5,"2,386",26.5,9,0,/en/players/2c563885/Marcos-Assuncao,2c563885,Marcos-Assuncao
Fernando,es ESP,"FW,MF",35,26,4,15,"2,440",27.1,7,0,/en/players/2a81fa5d/Fernando,2a81fa5d,Fernando
Juanito,es ESP,DF,26,26,0,2,"2,313",25.7,5,0,/en/players/3a6a5b63/Juanito,3a6a5b63,Juanito
Denílson,br BRA,MF,25,23,5,2,"1,953",21.7,5,2,/en/players/87582241/Denilson,87582241,Denilso
Ito,es ESP,MF,26,21,1,0,"1,911",21.2,9,0,/en/players/dc620005/Ito,dc620005,Ito
Iulian Filipescu,ro ROU,DF,19,18,0,2,"1,459",16.2,7,2,/en/players/4ba41443/Iulian-Filipescu,4ba41443,Iulian-Filipescu
David Rivas,es ESP,DF,19,16,0,0,"1,502",16.7,2,0,/en/players/56da6c6e/David-Rivas,56da6c6e,David-Riv
Alfonso Pérez,es ESP,FW,15,11,2,6,"1,053",11.7,8,0,/en/players/22a2f25e/Alfonso-Perez,22a2f25e,Alfonso-Perez
Mingo,es ESP,DF,12,8,1,0,673,7.5,2,0,/en/players/6fc287d5/Mingo,6fc287d5,Mingo
Gastón Casas,ar ARG,FW,19,7,2,1,664,7.4,3,1,/en/players/66258864/Gaston-Casas,66258864,Gaston-C
Melli,es ESP,DF,8,7,0,0,648,7.2,4,0,/en/players/83215889/Melli,83215889,Melli
Daniel Martín,es ESP,FW,10,7,,4,546,6.1,1,0,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
Washington Tais,uy URU,DF,8,7,0,0,543,6.0,3,0,/en/players/6b310a03/Washington-Tais,6b310a03,Washington-Tai
Benjamín Zarandona,gq EQG,MF,16,7,0,0,512,5.7,2,0,/en/players/4922ac7a/Benjamin-Zarandona,4922ac7a,Benjamin-Zarando
João Tomás,pt POR,FW,11,5,0,0,548,6.1,1,0,/en/players/74b3eb9d/Joao-Tomas,74b3eb9d,Joao-Tom
Juan José Cañas,es ESP,MF,11,4,0,0,438,4.9,1,0,/en/players/72a2e37e/Juan-Jose-Canas,72a2e37e,Juan-Jose-C
David Belenguer,es ESP,DF,3,3,0,0,270,3.0,0,0,/en/players/68c448f7/David-Belenguer,68c448f7,David-Belengu
César de Loma,es ESP,MF,6,1,,0,155,1.7,1,0,/en/players/bd95bcc9/Cesar-de-Loma,bd95bcc9,Cesar-de-Lom
José Calado,pt POR,MF,8,1,0,0,144,1.6,2,0,/en/players/51bb57da/Jose-Calado,51bb57da,Jose-Calado
Tati Maldonado,es ESP,FW,3,1,0,0,113,1.3,0,0,/en/players/57dc3c00/Tati-Maldonado,57dc3c00,Tati-Maldonado
Francisco Javier Flores Sánchez,es ESP,,1,0,0,0,15,0.2,0,0,/en/players/090ac9c8/Francisco-Javier-Flores-Sanchez,090ac9c8,Francisco-Javier-Flores-Sanchez
Joey Guðjónsson,is ISL,MF,1,0,0,0,3,0.0,0,0,/en/players/b79e0fde/Joey-Gudjonsson,b79e0fde,Joey-Gudjonsso
﻿2003-2004,Real-Betis
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Joaquín,es ESP,"FW,MF",36,36,7,8,"3,178",35.3,5,1,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui
Juanito,es ESP,DF,35,35,0,4,"3,083",34.3,3,0,/en/players/3a6a5b63/Juanito,3a6a5b63,Juanito
Alejandro Lembo,uy URU,DF,29,28,2,1,"2,474",27.5,14,1,/en/players/e2d08dd6/Alejandro-Lembo,2d08dd6,Alejandro-Lembo
Fernando Varela,es ESP,"DF,MF",28,25,0,1,"2,273",25.3,9,0,/en/players/d7b759af/Fernando-Varela,d7b759af,Fernando-V
Denílson,br BRA,MF,29,24,4,2,"1,890",21.0,3,0,/en/players/87582241/Denilson,87582241,Denilso
Pedro Contreras,es ESP,GK,22,22,0,0,"1,971",21.9,2,0,/en/players/7d21afdb/Pedro-Contreras,7d21afdb,Pedro-Cont
Ito,es ESP,MF,30,22,1,0,"1,909",21.2,6,1,/en/players/dc620005/Ito,dc620005,Ito
Fernando,es ESP,"FW,MF",31,22,3,4,"1,810",20.1,2,0,/en/players/2a81fa5d/Fernando,2a81fa5d,Fernando
Arzu,es ESP,"DF,MF",30,20,4,0,"1,952",21.7,9,0,/en/players/a41e01ff/Arzu,41e01ff,Arzu
Luis Fernández,es ESP,DF,20,19,0,0,"1,756",19.5,8,1,/en/players/2e6263ab/Luis-Fernandez,2e6263ab,Luis-Fernandez
David Rivas,es ESP,DF,25,18,0,0,"1,747",19.4,6,0,/en/players/56da6c6e/David-Rivas,56da6c6e,David-Riv
Benjamín Zarandona,gq EQG,MF,22,18,0,3,"1,655",18.4,2,1,/en/players/4922ac7a/Benjamin-Zarandona,4922ac7a,Benjamin-Zarando
Marcos Assunção,br BRA,MF,19,18,2,7,"1,533",17.0,2,0,/en/players/2c563885/Marcos-Assuncao,2c563885,Marcos-Assuncao
Toni Prats,es ESP,GK,16,16,0,0,"1,440",16.0,1,0,/en/players/b40adcd0/Toni-Prats,b40adcd0,Toni-Prat
Ismael Santiago,es ESP,MF,32,14,1,1,"1,520",16.9,1,0,/en/players/59c55e77/Ismael-Santiago,59c55e77,Ismael-Santiago
Alfonso Pérez,es ESP,FW,20,14,2,4,"1,308",14.5,1,0,/en/players/22a2f25e/Alfonso-Perez,22a2f25e,Alfonso-Perez
Daniel Martín,es ESP,FW,19,13,2,4,"1,120",12.4,2,0,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
Capi,es ESP,MF,24,12,0,2,"1,290",14.3,6,0,/en/players/523503fe/Capi,523503fe,Capi
Mingo,es ESP,DF,12,12,0,1,"1,009",11.2,2,0,/en/players/6fc287d5/Mingo,6fc287d5,Mingo
Tote,es ESP,"FW,MF",17,9,2,2,823,9.1,1,0,/en/players/e3e74421/Tote,3e74421,Tot
Washington Tais,uy URU,DF,8,8,0,0,691,7.7,3,1,/en/players/6b310a03/Washington-Tais,6b310a03,Washington-Tai
Martín Palermo,ar ARG,FW,11,7,0,2,618,6.9,1,0,/en/players/02aa1dbe/Martin-Palermo,02aa1dbe,Martin-Palermo
Melli,es ESP,DF,4,4,0,0,287,3.2,2,0,/en/players/83215889/Melli,83215889,Melli
Juan José Cañas,es ESP,MF,7,1,0,0,144,1.6,0,0,/en/players/72a2e37e/Juan-Jose-Canas,72a2e37e,Juan-Jose-C
Tati Maldonado,es ESP,FW,1,0,,0,21,0.2,0,0,/en/players/57dc3c00/Tati-Maldonado,57dc3c00,Tati-Maldonado
Antonio Román,es ESP,MF,1,0,0,0,16,0.2,0,0,/en/players/c518d89e/Antonio-Roman,c518d89e,Antonio-Rom
David Relaño Luque,es ESP,GK,1,0,0,0,9,0.1,0,0,/en/players/0fa393b5/David-Relano-Luque,0fa393b5,David-Relano-Luqu
﻿2004-2005,Real-Betis
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Ricardo Oliveira,br BRA,FW,37,37,5,22,"3,283",36.5,5,1,/en/players/420c1246/Ricardo-Oliveira,420c1246,Ricardo-Olivei
Joaquín,es ESP,"FW,MF",38,37,15,5,"3,257",36.2,2,0,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui
Juanito,es ESP,DF,33,33,1,4,"2,949",32.8,10,1,/en/players/3a6a5b63/Juanito,3a6a5b63,Juanito
David Rivas,es ESP,DF,32,32,2,4,"2,836",31.5,6,1,/en/players/56da6c6e/David-Rivas,56da6c6e,David-Riv
Edu,br BRA,"FW,MF",32,32,4,11,"2,652",29.5,4,0,/en/players/71a2b3ed/Edu,71a2b3ed,Edu
Fernando,es ESP,"FW,MF",34,31,4,5,"2,426",27.0,3,0,/en/players/2a81fa5d/Fernando,2a81fa5d,Fernando
Marcos Assunção,br BRA,MF,34,29,4,8,"2,679",29.8,7,1,/en/players/2c563885/Marcos-Assuncao,2c563885,Marcos-Assuncao
Toni Doblas,es ESP,GK,29,29,0,0,"2,610",29.0,3,0,/en/players/d5c35223/Toni-Doblas,d5c35223,Toni-Dob
Melli,es ESP,DF,29,28,1,1,"2,518",28.0,8,0,/en/players/83215889/Melli,83215889,Melli
Arzu,es ESP,"DF,MF",30,23,1,0,"2,022",22.5,6,0,/en/players/a41e01ff/Arzu,41e01ff,Arzu
Luis Fernández,es ESP,DF,22,20,0,0,"1,714",19.0,7,1,/en/players/2e6263ab/Luis-Fernandez,2e6263ab,Luis-Fernandez
Juan José Cañas,es ESP,MF,24,18,0,0,"1,515",16.8,8,0,/en/players/72a2e37e/Juan-Jose-Canas,72a2e37e,Juan-Jose-C
Fernando Varela,es ESP,"DF,MF",24,16,3,0,"1,627",18.1,7,0,/en/players/d7b759af/Fernando-Varela,d7b759af,Fernando-V
Washington Tais,uy URU,DF,11,11,0,0,958,10.6,2,0,/en/players/6b310a03/Washington-Tais,6b310a03,Washington-Tai
Benjamín Zarandona,gq EQG,MF,26,9,0,0,968,10.8,2,0,/en/players/4922ac7a/Benjamin-Zarandona,4922ac7a,Benjamin-Zarando
Toni Prats,es ESP,GK,9,9,0,0,810,9.0,1,0,/en/players/b40adcd0/Toni-Prats,b40adcd0,Toni-Prat
Alejandro Lembo,uy URU,DF,13,7,1,0,759,8.4,5,2,/en/players/e2d08dd6/Alejandro-Lembo,2d08dd6,Alejandro-Lembo
Paolo Castellini,it ITA,DF,6,6,0,0,540,6.0,2,0,/en/players/be445f85/Paolo-Castellini,be445f85,Paolo-Castellini
Capi,es ESP,MF,11,3,1,0,345,3.8,2,0,/en/players/523503fe/Capi,523503fe,Capi
Denílson,br BRA,MF,10,3,0,0,289,3.2,0,0,/en/players/87582241/Denilson,87582241,Denilso
Pablo Niño,es ESP,MF,6,3,0,0,266,3.0,2,0,/en/players/eb477bff/Pablo-Nino,b477bff,Pablo-Nino
Israel,es ESP,MF,8,1,0,0,215,2.4,1,0,/en/players/bf6d20c9/Israel,bf6d20c9,I
Ismael Santiago,es ESP,MF,4,1,,0,118,1.3,1,0,/en/players/59c55e77/Ismael-Santiago,59c55e77,Ismael-Santiago
Alfonso Pérez,es ESP,FW,10,0,0,0,186,2.1,1,0,/en/players/22a2f25e/Alfonso-Perez,22a2f25e,Alfonso-Perez
Daniel Martín,es ESP,FW,7,0,0,1,86,1.0,0,0,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
﻿2005-2006,Real-Betis
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Joaquín,es ESP,"FW,MF",35,35,6,3,"3,047",33.9,6,1,/en/players/4c5b14d2/Joaquin,4c5b14d2,Joaqui
Juanito,es ESP,DF,34,34,0,2,"3,060",34.0,6,0,/en/players/3a6a5b63/Juanito,3a6a5b63,Juanito
Edu,br BRA,"FW,MF",34,34,6,3,"2,971",33.0,5,0,/en/players/71a2b3ed/Edu,71a2b3ed,Edu
Melli,es ESP,DF,31,30,1,0,"2,577",28.6,10,1,/en/players/83215889/Melli,83215889,Melli
Alberto Rivera,es ESP,MF,34,28,0,0,"2,648",29.4,7,1,/en/players/7002b605/Alberto-Rivera,7002b605,Alberto-Riv
Fernando Varela,es ESP,"DF,MF",29,26,0,1,"2,318",25.8,3,1,/en/players/d7b759af/Fernando-Varela,d7b759af,Fernando-V
Toni Doblas,es ESP,GK,24,23,0,0,"2,009",22.3,3,0,/en/players/d5c35223/Toni-Doblas,d5c35223,Toni-Dob
Marcos Assunção,br BRA,MF,25,21,4,1,"1,830",20.3,3,0,/en/players/2c563885/Marcos-Assuncao,2c563885,Marcos-Assuncao
David Rivas,es ESP,DF,21,19,0,1,"1,618",18.0,6,0,/en/players/56da6c6e/David-Rivas,56da6c6e,David-Riv
Arzu,es ESP,"DF,MF",29,19,0,1,"1,616",18.0,3,0,/en/players/a41e01ff/Arzu,41e01ff,Arzu
Luis Fernández,es ESP,DF,19,19,0,1,"1,524",16.9,6,0,/en/players/2e6263ab/Luis-Fernandez,2e6263ab,Luis-Fernandez
Óscar López,es ESP,DF,18,18,0,0,"1,610",17.9,7,1,/en/players/14ae8df8/Oscar-Lopez,14ae8df8,Oscar-Lopez
Xisco,es ESP,"FW,MF",25,16,2,1,"1,357",15.1,5,0,/en/players/efaaae13/Xisco,faaae13,Xisco
Pedro Contreras,es ESP,GK,17,15,0,0,"1,411",15.7,0,1,/en/players/7d21afdb/Pedro-Contreras,7d21afdb,Pedro-Cont
Capi,es ESP,MF,21,14,1,1,"1,216",13.5,4,0,/en/players/523503fe/Capi,523503fe,Capi
Robert,br BRA,FW,19,13,1,7,"1,225",13.6,5,0,/en/players/05ac7500/Robert,05ac7500,Robert
Daniel Martín,es ESP,FW,25,12,1,5,"1,135",12.6,3,0,/en/players/c8d2987f/Daniel-Martin,c8d2987f,Daniel-Marti
Nano,es ESP,DF,13,10,1,0,932,10.4,6,0,/en/players/3d6dd9f9/Nano,3d6dd9f9,Nano
Ricardo Oliveira,br BRA,FW,9,9,0,4,718,8.0,4,1,/en/players/420c1246/Ricardo-Oliveira,420c1246,Ricardo-Olivei
Paolo Castellini,it ITA,DF,7,6,0,0,556,6.2,2,0,/en/players/be445f85/Paolo-Castellini,be445f85,Paolo-Castellini
Miguel Ángel,es ESP,MF,10,6,0,0,526,5.8,5,0,/en/players/7542ce83/Miguel-Angel,7542ce83,Miguel-Ang
Diego Tardelli,br BRA,"FW,MF",12,5,2,0,551,6.1,1,0,/en/players/98682f30/Diego-Tardelli,98682f30,Diego-Tardelli
