2007-2008,Real-Madrid
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Iker Casillas,es ESP,GK,36,36,0,0,"3,240",36.0,3,0,/en/players/1ddbb0da/Iker-Casillas,1ddbb0da,Iker-Casi
Raúl,es ESP,FW,37,36,3,18,"3,111",34.6,3,0,/en/players/2b81295d/Raul,2b81295d,Rau
Sergio Ramos,es ESP,DF,33,33,3,5,"2,815",31.3,14,3,/en/players/08511d65/Sergio-Ramos,08511d65,Sergio-Ramo
Fabio Cannavaro,it ITA,DF,33,33,0,0,"2,788",31.0,6,1,/en/players/51152527/Fabio-Cannavaro,51152527,Fabio-Cannavaro
Guti,es ESP,"FW,MF",32,27,14,3,"2,498",27.8,9,1,/en/players/dd0a0fa1/Guti,dd0a0fa1,Guti
Wesley Sneijder,nl NED,MF,30,27,6,9,"2,265",25.2,8,0,/en/players/ad625c12/Wesley-Sneijder,d625c12,Wesley-Sneijd
Robinho,br BRA,"FW,MF",32,27,8,11,"2,123",23.6,3,0,/en/players/f034613c/Robinho,f034613c,Robinho
Mahamadou Diarra,ml MLI,MF,30,25,1,0,"2,259",25.1,4,0,/en/players/4a6c3ade/Mahamadou-Diarra,4a6c3ade,Mahamadou-Di
Marcelo,br BRA,"DF,MF",24,24,0,0,"2,091",23.2,8,0,/en/players/603116a7/Marcelo,603116a7,Marcelo
Ruud van Nistelrooy,nl NED,FW,24,22,5,16,"1,872",20.8,2,0,/en/players/80a30989/Ruud-van-Nistelrooy,80a30989,Ruud-van-Nistelroo
Fernando Gago,ar ARG,MF,31,21,2,0,"1,975",21.9,7,0,/en/players/e86337bd/Fernando-Gago,86337bd,Fernando-Gago
Pepe,pt POR,"DF,MF",19,17,1,0,"1,533",17.0,5,0,/en/players/c906ce0f/Pepe,c906ce0f,P
Gabriel Heinze,ar ARG,DF,20,17,0,1,"1,473",16.4,6,0,/en/players/54629cf9/Gabriel-Heinze,54629cf9,Gabriel-Heinz
Miguel Torres,es ESP,DF,20,13,0,0,"1,301",14.5,3,1,/en/players/44b61913/Miguel-Torres,44b61913,Miguel-To
Júlio Baptista,br BRA,"FW,MF",26,13,1,3,"1,141",12.7,2,0,/en/players/44557475/Julio-Baptista,44557475,Julio-Baptist
Arjen Robben,nl NED,"FW,MF",21,12,3,4,"1,190",13.2,4,0,/en/players/09586899/Arjen-Robben,09586899,Arjen-Robb
Gonzalo Higuaín,ar ARG,"FW,MF",25,7,2,8,865,9.6,3,0,/en/players/8a08491a/Gonzalo-Higuain,8a08491a,Gonzalo-Higuai
Royston Drenthe,nl NED,"DF,MF",18,7,1,2,743,8.3,1,0,/en/players/3d512ff2/Royston-Drenthe,3d512ff2,Royston-Drenth
Christoph Metzelder,de GER,DF,9,7,0,0,704,7.8,1,0,/en/players/3f866377/Christoph-Metzelder,3f866377,Christoph-Metzeld
Míchel Salgado,es ESP,DF,8,6,0,0,602,6.7,3,0,/en/players/68f36bc6/Michel-Salgado,68f36bc6,Michel-Salgado
Javier Saviola,ar ARG,FW,9,5,0,3,402,4.5,0,0,/en/players/de544fdb/Javier-Saviola,de544fdb,Javier-Savio
Roberto Soldado,es ESP,FW,5,1,0,0,137,1.5,0,0,/en/players/9d66fbe3/Roberto-Soldado,9d66fbe3,Roberto-Soldado
Jordi Codina,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/812088cd/Jordi-Codina,812088cd,Jordi-Codi
Jerzy Dudek,pl POL,GK,1,1,0,0,90,1.0,0,0,/en/players/1064659d/Jerzy-Dudek,1064659d,Jerzy-Dudek
Javier Balboa,gq EQG,"FW,MF",6,0,0,0,91,1.0,0,0,/en/players/cf0dbde3/Javier-Balboa,cf0dbde3,Javier-Balbo
