2002-2003,Real-Murcia
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Andreas Reinke,de GER,GK,40,40,0,1,"3,582",39.8,4,0,/en/players/e0adfb87/Andreas-Reinke,0adfb87,Andreas-Reink
Tito,es ESP,MF,40,39,8,7,"3,471",38.6,7,0,/en/players/8f451bf9/Tito,8f451bf9,Tito
Ismael Santiago,es ESP,MF,39,39,8,12,"3,144",34.9,4,0,/en/players/59c55e77/Ismael-Santiago,59c55e77,Ismael-Santiago
Francisco Maciel,ar ARG,DF,38,38,6,2,"3,313",36.8,7,0,/en/players/09b9b9e6/Francisco-Maciel,09b9b9e6,Francisco-Maci
José Acciari,ar ARG,MF,38,37,1,3,"3,112",34.6,15,1,/en/players/9e98922b/Jose-Acciari,9e98922b,Jose-Acciari
Juanma,es ESP,DF,36,34,3,2,"3,063",34.0,5,1,/en/players/f3b5db81/Juanma,f3b5db81,Juanm
Ibán Cuadrado,es ESP,DF,35,33,0,0,"2,905",32.3,8,2,/en/players/8db7ef49/Iban-Cuadrado,8db7ef49,Iban-Cuadrado
David Karanka,es ESP,FW,36,33,3,13,"2,672",29.7,5,0,/en/players/8e19b9f6/David-Karanka,8e19b9f6,David-Karank
Pedro Largo Carazo,es ESP,DF,34,32,1,1,"2,880",32.0,3,1,/en/players/373dc94c/Pedro-Largo-Carazo,373dc94c,Pedro-Largo-Carazo
Richi,es ESP,"FW,MF",38,31,2,6,"2,764",30.7,1,0,/en/players/90517f8a/Richi,90517f8a,Richi
Mikel Lasa,es ESP,DF,31,24,0,0,"2,125",23.6,10,0,/en/players/63140312/Mikel-Lasa,63140312,Mikel-L
José Luis Loreto,es ESP,FW,26,20,1,4,"1,660",18.4,4,0,/en/players/7619d928/Jose-Luis-Loreto,7619d928,Jose-Luis-Loreto
Rafael Clavero,es ESP,DF,27,19,1,0,"1,873",20.8,3,1,/en/players/1590d66a/Rafael-Clavero,1590d66a,Rafael-Clavero
Josep Setvalls,es ESP,MF,27,12,0,3,"1,201",13.3,3,0,/en/players/18c53e9e/Josep-Setvalls,18c53e9e,Josep-Setv
Ricardo Carrero,es ESP,DF,14,9,0,0,722,8.0,5,0,/en/players/38c23b0a/Ricardo-Carrero,38c23b0a,Ricardo-Carrero
José Antonio Gómez Casado,es ESP,,11,7,0,0,523,5.8,4,0,/en/players/3f47a956/Jose-Antonio-Gomez-Casado,3f47a956,Jose-Antonio-Gomez-Casado
Miguel Albiol,es ESP,MF,19,5,1,0,734,8.2,1,0,/en/players/ca8aa471/Miguel-Albiol,ca8aa471,Miguel-Albio
Jaime Ramos,es ESP,MF,10,5,0,1,418,4.6,1,0,/en/players/0efbd49c/Jaime-Ramos,0efbd49c,Jaime-Ramo
Carlos Isach,,,24,3,4,3,668,7.4,3,0,No detected,,
Xavi Valero,es ESP,GK,3,2,0,0,198,2.2,0,0,/en/players/3db74cf4/Xavi-Valero,3db74cf4,Xavi-Valero
Diego Quintana,ar ARG,MF,7,0,0,0,202,2.2,0,0,/en/players/2b79305d/Diego-Quintana,2b79305d,Diego-Quint
Alfonso Pérez,es ESP,FW,4,0,0,0,87,1.0,0,1,/en/players/22a2f25e/Alfonso-Perez,22a2f25e,Alfonso-Perez
Rodri,es ESP,MF,6,0,0,0,83,0.9,0,0,/en/players/329b7718/Rodri,329b7718,Rodri
Juan Valera Espín,es ESP,"DF,MF",1,0,0,0,37,0.4,0,0,/en/players/947fa33c/Juan-Valera-Espin,947fa33c,Juan-Valera-Espi
Patricio Pelegrin,,,1,0,0,0,24,0.3,0,0,No detected,,
