2006-2007,Real-Sociedad
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Xabi Prieto,es ESP,MF,33,31,2,4,"2,689",29.9,4,0,/en/players/d054d8b0/Xabi-Prieto,d054d8b0,Xabi-Prieto
Claudio Bravo,cl CHI,GK,29,29,0,0,"2,610",29.0,5,0,/en/players/10072610/Claudio-Bravo,10072610,Claudio-Bravo
Gerardo,es ESP,"DF,MF",30,28,1,0,"2,410",26.8,9,1,/en/players/07c345de/Gerardo,07c345de,Gerardo
Darko Kovačević,rs SRB,FW,33,27,1,3,"2,394",26.6,6,0,/en/players/12c6ec44/Darko-Kovacevic,12c6ec44,Darko-Kovacevic
López Rekarte,es ESP,DF,28,25,3,1,"2,248",25.0,5,0,/en/players/346b3104/Lopez-Rekarte,346b3104,Lopez-Rekart
Juanito,es ESP,"DF,MF",28,25,0,1,"2,180",24.2,5,0,/en/players/47176127/Juanito,47176127,Juanito
Javier Garrido,es ESP,DF,25,23,1,1,"2,036",22.6,4,0,/en/players/3b142ce5/Javier-Garrido,3b142ce5,Javier-Garrido
Gaizka Garitano,es ESP,MF,31,22,1,2,"2,172",24.1,12,0,/en/players/0f5ededa/Gaizka-Garitano,0f5ededa,Gaizka-Garitano
Mikel Aranburu,es ESP,MF,29,21,1,3,"1,899",21.1,1,1,/en/players/9452d85a/Mikel-Aranburu,9452d85a,Mikel-Aranburu
Ion Ansotegi,es ESP,DF,20,19,0,2,"1,727",19.2,2,0,/en/players/72b26e8e/Ion-Ansotegi,72b26e8e,Ion-Ansotegi
Diego Rivas,es ESP,MF,21,19,0,1,"1,495",16.6,6,1,/en/players/eecf46bc/Diego-Rivas,cf46bc,Diego-Riv
Sávio,br BRA,MF,19,18,2,5,"1,617",18.0,2,0,/en/players/4abe5c93/Savio,4abe5c93,Savio
Mikel González,es ESP,DF,19,18,0,0,"1,610",17.9,6,1,/en/players/7cc5bd9c/Mikel-Gonzalez,7cc5bd9c,Mikel-Gonzalez
Víctor López,ar ARG,DF,17,17,2,0,"1,530",17.0,5,0,/en/players/cc7c8a52/Victor-Lopez,cc7c8a52,Victor-Lopez
Gari Uranga,es ESP,MF,20,17,1,2,"1,470",16.3,5,0,/en/players/2a701b9e/Gari-Uranga,2a701b9e,Gari-Urang
Mikel Labaka,es ESP,DF,11,11,1,0,990,11.0,2,0,/en/players/e83de90d/Mikel-Labaka,83de90d,Mikel-Labak
Iñigo Díaz de Cerio,es ESP,FW,27,10,0,4,"1,070",11.9,4,0,/en/players/757bd109/Inigo-Diaz-de-Cerio,757bd109,Inigo-Diaz-de-Cerio
Asier Riesgo,es ESP,GK,9,9,0,0,810,9.0,0,0,/en/players/581c5276/Asier-Riesgo,581c5276,Asier-Riesgo
Germán Herrera,ar ARG,FW,19,9,1,1,804,8.9,3,0,/en/players/2c72c960/German-Herrera,2c72c960,German-H
Jesuli,es ESP,MF,11,9,1,0,695,7.7,1,0,/en/players/3bfc833a/Jesuli,3bfc833a,Jesuli
Mikel Alonso,es ESP,MF,18,7,0,0,776,8.6,0,0,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso
Álvaro Novo,es ESP,MF,11,6,0,1,470,5.2,2,0,/en/players/e2b88098/Alvaro-Novo,2b88098,Alvaro-Novo
Dani Estrada,es ESP,"DF,MF",8,5,1,0,476,5.3,1,0,/en/players/519412fd/Dani-Estrada,519412fd,Dani-Estrad
Gorka Elustondo,es ESP,"DF,MF",6,5,0,0,427,4.7,0,0,/en/players/7b309e55/Gorka-Elustondo,7b309e55,Gorka-Elustondo
Fábio Felício,pt POR,"FW,MF",10,4,0,0,383,4.3,2,0,/en/players/a8d8dc0d/Fabio-Felicio,8d8dc0d,Fabio-Felicio
Morten Skoubo,dk DEN,FW,5,1,0,0,173,1.9,0,0,/en/players/ab2a3515/Morten-Skoubo,b2a3515,Morten-Skoubo
Dalibor Stevanović,si SVN,MF,1,1,0,0,71,0.8,0,0,/en/players/aeda8e51/Dalibor-Stevanovic,da8e51,Dalibor-Stevanovic
Daniel Cifuentes,es ESP,DF,1,1,0,0,54,0.6,1,0,/en/players/488a3de8/Daniel-Cifuentes,488a3de8,Daniel-Cifuent
Imanol Agirretxe,es ESP,FW,6,0,0,0,79,0.9,0,0,/en/players/c84c1afc/Imanol-Agirretxe,c84c1afc,Imanol-Agirretx
Adriano Rossato,br BRA,DF,2,0,0,0,60,0.7,0,0,/en/players/38c090c1/Adriano-Rossato,38c090c1,Adriano-Rossato
